run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s4_bola_ElephantsDream,0,0.0,1789320785.487,1789320795.785,0.249134,0.045801,0.23387,0.477341,65.449053,66.817147,0.0,0,261.832173,289.874851,78.224436,102,325584,325,2,102
CONT_s4_bola_ElephantsDream,1,10.0,1789320795.785,1789320805.785,0.250303,0.047925,0.232755,0.476875,66.048391,68.317289,0.0,0,245.539796,289.892434,95.428286,98,314083,315,2,98
CONT_s4_bola_ElephantsDream,2,20.0,1789320805.785,1789320815.785,0.24711,0.1689,0.0,1.298125,60.789026,68.763066,0.327869,1,256.292842,289.891534,89.361698,91,313148,305,2,99
CONT_s4_bola_ElephantsDream,3,30.0,1789320815.785,1789320825.785,0.157835,0.282445,0.0,1.212121,35.704112,177.728214,0.0,0,190.398135,475.808831,150.198155,27,200487,166,2,99
CONT_s4_bola_ElephantsDream,4,40.0,1789320825.785,1789320835.785,0.284495,0.307886,0.0,1.353912,70.463497,213.762219,0.0,0,1068.448591,310.906619,6154.509507,52,357065,297,2,98
CONT_s4_bola_ElephantsDream,5,50.0,1789320835.785,1789320845.785,0.463018,0.283168,0.0,0.945625,52.058972,49.094481,0.0,0,208.79037,310.725066,107.284165,80,587371,494,4,99
CONT_s4_bola_ElephantsDream,6,60.0,1789320845.785,1789320855.785,0.461139,0.279914,0.0,1.062812,32.94831,45.896545,0.207039,1,214.823175,310.94642,106.148383,79,579059,483,4,98
CONT_s4_bola_ElephantsDream,7,70.0,1789320855.785,1789320865.785,0.407207,0.335327,0.0,1.210938,37.437433,107.267712,0.0,0,183.863627,308.838896,81.654012,65,517060,444,4,99
CONT_s4_bola_ElephantsDream,8,80.0,1789320865.785,1789320875.785,0.604244,0.1537,0.237741,1.05758,79.800047,130.281417,0.0,0,210.133005,297.385273,72.872327,98,760787,716,4,98
CONT_s4_bola_ElephantsDream,9,90.0,1789320875.785,1789320885.785,0.607328,0.119084,0.236819,0.94324,77.595219,94.189627,0.0,0,232.568868,296.623405,45.502626,98,766953,721,4,98
CONT_s4_bola_ElephantsDream,10,100.0,1789320885.785,1789320895.785,0.605698,0.161084,0.0,1.171988,64.931937,102.445636,0.0,0,209.544989,296.455361,61.050305,97,765264,691,4,98
CONT_s4_bola_ElephantsDream,11,110.0,1789320895.785,1789320905.785,0.357143,0.851572,0.0,8.052919,17.797563,47.132546,0.0,0,148.632227,239.065062,81.44874,45,451177,369,2,98
CONT_s4_bola_ElephantsDream,12,120.0,1789320905.785,1789320915.785,0.242934,1.367746,0.0,8.291778,7.479088,0.0,0.0,0,10.700133,42.166249,18.166975,4,306323,233,2,98
CONT_s4_bola_ElephantsDream,13,130.0,1789320915.785,1789320925.785,0.422438,2.306328,0.0,18.679536,2.162091,0.0,0.0,0,0.214674,0.319536,0.078884,4,534492,405,2,98
