run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s4_bola_OfForestAndMen,0,0.0,1789323478.168,1789323488.168,0.247417,0.250126,0.0,0.592895,312562,263,2,99,43.863583,83.796268,0.0,0,332.301211,488.425163,186.215436,55,0.0,0.242294,0.2336,0.592895,0.247417,0.0,263,0.247461,0.999822,312562,0.464646
CONT_s4_bola_OfForestAndMen,1,10.0,1789323488.168,1789323498.168,0.248186,0.260121,0.0,0.710658,313469,263,2,99,41.640176,85.290496,0.0,0,342.074767,537.70812,183.048614,50,0.35321,0.263531,0.278086,0.709961,0.000769,1.003108,0,0.247829,1.001441,626031,0.494949
CONT_s4_bola_OfForestAndMen,2,20.0,1789323498.168,1789323508.168,0.231641,0.280193,0.0,1.217193,292640,242,2,99,37.498697,84.590148,0.0,0,316.022195,537.763979,173.18841,44,0.0,0.20786,0.306974,1.217193,-0.016545,0.933336,-21,0.242436,0.955473,918671,0.555556
CONT_s4_bola_OfForestAndMen,3,30.0,1789323508.168,1789323518.168,0.263019,0.349969,0.0,1.46818,332349,281,2,99,40.050004,125.172741,2.135231,6,226.950211,310.964964,120.163158,42,0.587133,0.384752,0.356893,1.361333,0.031378,1.13546,39,0.247602,1.062265,1251020,0.575758
CONT_s4_bola_OfForestAndMen,4,40.0,1789323518.168,1789323528.168,0.468394,0.282514,0.0,0.950265,592181,490,2,99,37.024944,52.502735,0.0,0,216.127647,310.866055,102.174032,78,0.830872,0.473512,0.280246,0.950265,0.205375,1.780837,209,0.291802,1.605177,1843201,0.212121
CONT_s4_bola_OfForestAndMen,5,50.0,1789323528.168,1789323538.168,0.467725,0.25176,0.0,0.834252,590697,493,4,99,36.709078,46.759627,0.20284,1,219.443788,310.908513,95.794666,84,0.356321,0.463715,0.183082,0.834252,-0.000669,0.998572,3,0.321102,1.456624,2433898,0.161616
CONT_s4_bola_OfForestAndMen,6,60.0,1789323538.168,1789323548.168,0.322053,0.336421,0.0,1.216,403049,325,2,98,32.551942,108.592771,0.0,0,212.872358,310.727476,99.979199,51,0.590577,0.196746,0.290352,1.097277,-0.145672,0.688552,-168,0.321211,1.002621,2836947,0.479592
CONT_s4_bola_OfForestAndMen,7,70.0,1789323548.168,1789323558.168,0.377395,0.337527,0.0,1.21362,477895,405,4,99,52.000482,144.362513,0.493827,2,187.260272,309.546598,83.617419,62,1.065834,0.634359,0.188785,1.171362,0.055342,1.171841,80,0.328268,1.149655,3314842,0.373737
CONT_s4_bola_OfForestAndMen,8,80.0,1789323558.168,1789323568.168,0.607815,0.1488,0.238437,1.065834,771043,714,5,99,78.451756,110.275404,0.0,0,217.334736,297.570396,45.801515,99,0.590029,0.600976,0.129372,0.947836,0.23042,1.610554,309,0.359463,1.690897,4085885,0.0
CONT_s4_bola_OfForestAndMen,9,90.0,1789323568.168,1789323578.168,0.604307,0.148768,0.237741,0.949688,760313,706,5,98,77.128533,100.562512,0.0,0,232.682088,299.189757,50.117861,98,0.591751,0.59656,0.11107,0.830877,-0.003508,0.994229,-8,0.383864,1.574274,4846198,0.0
CONT_s4_bola_OfForestAndMen,10,100.0,1789323578.168,1789323588.168,0.49559,0.294375,0.0,1.207712,624347,556,4,98,54.823961,110.142771,0.0,0,196.105196,296.513581,71.099104,79,0.588277,0.247099,0.351444,1.207712,-0.108717,0.820096,-150,0.394005,1.257827,5470545,0.193878
CONT_s4_bola_OfForestAndMen,11,110.0,1789323588.168,1789323598.168,0.210431,1.006085,0.0,7.84601,267172,217,2,99,15.426101,89.223856,4.608295,10,96.269501,199.629547,82.05022,13,0.0,0.261534,1.408402,7.84601,-0.285159,0.424607,-339,0.378572,0.555855,5737717,0.868687
CONT_s4_bola_OfForestAndMen,12,120.0,1789323598.168,1789323608.168,1.001791,8.361072,0.0,82.634864,1261361,962,2,98,1.460021,0.0,0.0,0,0.401705,0.690704,0.209567,3,0.0,2.754495,14.833412,82.634864,0.79136,4.760663,745,0.426383,2.34951,6999078,0.969388
CONT_s4_bola_OfForestAndMen,13,130.0,1789323608.168,1789323618.168,1.169598,5.60596,0.0,45.012164,1471946,1115,4,98,1.677085,16.717339,0.0,0,102.230518,213.022784,102.194826,12,0.0,2.911327,8.59335,45.012164,0.167807,1.167507,153,0.479288,2.440282,8471024,0.908163
CONT_s4_bola_OfForestAndMen,14,140.0,1789323618.168,1789323628.168,2.537373,5.914502,0.0,27.653953,3199749,2449,4,98,13.420719,42.863975,0.0,0,109.062418,213.826075,96.660265,55,0.004035,2.335092,5.898565,27.653953,1.367775,2.16944,1334,0.616341,4.116833,11670773,0.653061
CONT_s4_bola_OfForestAndMen,15,150.0,1789323628.168,1789323638.168,2.233258,5.266557,0.0,26.269098,2821942,2172,4,98,10.326535,32.006116,0.0,0,112.054869,215.738506,96.244115,51,0.0,2.283536,5.704085,26.269098,-0.304115,0.880146,-277,0.717463,3.112715,14492715,0.704082
CONT_s4_bola_OfForestAndMen,16,160.0,1789323638.168,1789323648.168,0.787466,3.344271,0.0,29.018976,996949,783,4,98,46.149867,186.409206,0.383142,3,211.858461,393.640925,159.927347,46,0.468693,0.339922,0.207788,0.702386,-1.445792,0.352609,-1389,0.721595,1.091285,15489664,0.561224
CONT_s4_bola_OfForestAndMen,17,170.0,1789323648.168,1789323658.623,0.333528,0.273452,0.0,0.585426,439740,354,2,102,38.026067,72.679614,0.0,0,324.000047,360.734846,84.085547,63,0.0,0.331004,0.289471,0.585426,-0.453938,0.423546,-429,0.699148,0.477049,15929404,0.392157
CONT_s4_bola_OfForestAndMen,18,180.0,1789323658.623,1789323668.623,0.266058,0.297862,0.0,1.201783,336584,279,2,98,40.523248,135.161258,0.0,0,240.249146,358.388574,136.697061,47,0.585426,0.347151,0.277005,0.585994,-0.06747,0.797708,-75,0.67635,0.393373,16265988,0.520408
CONT_s4_bola_OfForestAndMen,19,190.0,1789323668.623,1789323678.623,0.338575,0.290287,0.0,0.864666,428729,346,2,98,34.939977,65.272867,0.0,0,324.996091,358.493008,88.688989,57,0.584294,0.346513,0.283774,0.585426,0.072517,1.272561,67,0.659467,0.513407,16694717,0.418367
CONT_s4_bola_OfForestAndMen,20,200.0,1789323678.623,1789323688.623,0.446167,1.543296,0.0,15.260843,560928,453,2,97,30.08429,59.570257,2.207506,10,286.856599,358.542203,124.821374,47,0.467787,0.696542,2.724193,15.260843,0.107592,1.317779,107,0.649488,0.686952,17255645,0.505155
CONT_s4_bola_OfForestAndMen,21,210.0,1789323688.623,1789323698.623,0.273912,0.412002,0.0,1.20186,346694,286,2,98,32.904816,147.637451,0.0,0,128.573846,184.767115,45.702094,33,0.0,0.323193,0.430187,1.20186,-0.172255,0.613923,-167,0.632394,0.433135,17602339,0.663265
CONT_s4_bola_OfForestAndMen,22,220.0,1789323698.623,1789323708.623,0.676226,0.326288,0.0,1.402008,857624,762,4,98,59.916422,130.67406,0.131234,1,170.166641,198.985185,31.350456,83,0.703691,0.78074,0.131774,1.28742,0.402314,2.468771,476,0.634316,1.066071,18459963,0.153061
CONT_s4_bola_OfForestAndMen,23,230.0,1789323708.623,1789323718.623,1.207409,4.535115,0.0,42.786808,1516871,1264,4,97,33.099594,65.919022,0.474684,6,123.811215,183.265883,47.79544,76,0.0,2.198651,8.205998,42.786808,0.531183,1.785511,502,0.658054,1.834818,19976834,0.216495
CONT_s4_bola_OfForestAndMen,24,240.0,1789323718.623,1789323728.623,1.337649,0.650588,0.0,2.218976,1700349,1599,4,98,28.904913,108.88528,0.0,0,60.425683,117.469432,29.406101,80,1.871553,1.655373,0.078759,1.873359,0.13024,1.107867,335,0.685375,1.951704,21677183,0.183673
CONT_s4_bola_OfForestAndMen,25,250.0,1789323728.623,1789323738.623,1.644366,0.139412,1.168092,2.220578,2071386,1955,4,97,30.601847,78.489063,0.0,0,71.518722,126.611813,34.106324,97,1.643385,1.638642,0.159778,2.220578,0.306717,1.229296,356,0.722106,2.277181,23748569,0.0
CONT_s4_bola_OfForestAndMen,26,260.0,1789323738.623,1789323748.623,2.741682,11.688415,0.580923,113.152878,3457105,2963,5,97,37.10935,51.081016,1.61998,48,109.19278,147.883015,37.15097,97,1.168722,1.131376,0.112808,1.401963,1.097316,1.667319,1008,0.796654,3.441497,27205674,0.0
CONT_s4_bola_OfForestAndMen,27,270.0,1789323748.623,1789323758.623,1.127384,0.105823,0.817335,1.294741,1426120,1322,6,97,43.598896,46.716811,0.0,0,125.537026,135.982817,7.695708,97,1.166481,1.124162,0.103629,1.167601,-1.614298,0.411202,-1641,0.808465,1.394475,28631794,0.0
CONT_s4_bola_OfForestAndMen,28,280.0,1789323758.623,1789323768.623,1.125334,0.10694,0.815071,1.39908,1425373,1322,6,97,43.541787,47.478696,0.0,0,124.975117,135.855598,9.971759,97,0.931494,1.124177,0.102325,1.166481,-0.00205,0.998182,0,0.819407,1.373352,30057167,0.0
CONT_s4_bola_OfForestAndMen,29,290.0,1789323768.623,1789323778.623,0.188253,0.415085,0.0,1.168429,236232,219,4,96,7.769376,45.418478,0.0,0,123.319016,127.342281,9.777019,17,0.0,0.0,0.0,0.0,-0.937081,0.167286,-1103,0.798539,0.235747,30293399,0.822917
