run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s4_dynamic_TearsOfSteel,0,0.0,1789226078.71,1789226090.329,0.252484,0.12303,0.0,0.592314,368545,364,4,114,130.619803,226.572843,0.274725,1,380.411468,870.336344,222.009242,104,0.355625,0.251166,0.088634,0.476875,0.252484,0.0,364,0.252484,1.0,368545,0.122807
CONT_s4_dynamic_TearsOfSteel,1,10.0,1789226090.329,1789226111.44,0.249391,0.120624,0.0,1.344922,660977,643,3,207,136.367509,554.573451,0.311042,2,335.135952,580.233694,153.838796,192,0.473738,0.251551,0.26122,1.344922,-0.003093,0.98775,279,0.250494,0.995597,1029522,0.072464
CONT_s4_dynamic_TearsOfSteel,2,20.0,1789226111.44,1789226121.44,0.469886,0.21546,0.0,0.830059,595872,521,4,99,160.994723,514.667437,0.575816,3,230.898256,310.953984,87.512119,88,0.829247,0.468176,0.251555,0.829247,0.220495,1.884134,-122,0.302227,1.554745,1625394,0.080808
CONT_s4_dynamic_TearsOfSteel,3,30.0,1789226121.44,1789226131.44,0.469836,0.169979,0.0,0.830059,595315,550,4,99,100.122779,215.407333,0.0,0,234.588768,310.426149,75.214247,95,0.355625,0.469677,0.133525,0.733828,-5e-05,0.999894,29,0.334178,1.405945,2220709,0.040404
CONT_s4_dynamic_TearsOfSteel,4,40.0,1789226131.44,1789226141.44,0.465926,0.147483,0.0,0.750531,584713,532,4,98,104.792293,273.36391,0.0,0,208.193603,309.134979,78.957005,97,0.355973,0.465218,0.167945,0.745132,-0.00391,0.991678,-18,0.355111,1.312057,2805422,0.010204
CONT_s4_dynamic_TearsOfSteel,5,50.0,1789226141.44,1789226151.44,0.25248,0.331198,0.0,1.451898,319785,280,4,99,56.249818,216.949525,0.0,0,146.844437,309.100717,97.70173,45,0.0,0.190733,0.322269,1.210547,-0.213446,0.541889,-252,0.340912,0.740602,3125207,0.555556
CONT_s4_dynamic_TearsOfSteel,6,60.0,1789226151.44,1789226161.44,0.467366,0.324772,0.0,1.211808,592833,528,4,99,73.795472,172.81221,0.189394,1,201.692641,304.785365,82.342387,72,0.596378,0.608468,0.16288,0.949688,0.214886,1.851101,248,0.356297,1.311732,3718040,0.272727
CONT_s4_dynamic_TearsOfSteel,7,70.0,1789226161.44,1789226171.44,0.607502,0.123153,0.353897,0.839493,764420,736,6,98,183.992935,510.811442,0.407609,3,225.692176,316.013664,44.748648,98,0.592327,0.602119,0.151362,0.826823,0.140136,1.299842,208,0.383331,1.584797,4482460,0.0
CONT_s4_dynamic_TearsOfSteel,8,80.0,1789226171.44,1789226181.44,0.607215,0.139744,0.35321,0.945992,765779,727,7,98,94.697628,132.130992,0.137552,1,241.274489,316.252922,49.944403,98,0.590602,0.616543,0.148352,0.829261,-0.000287,0.999528,-9,0.405127,1.498826,5248239,0.0
CONT_s4_dynamic_TearsOfSteel,9,90.0,1789226181.44,1789226191.44,0.605819,0.140264,0.237049,1.084961,765350,710,6,98,86.429838,115.024405,0.0,0,213.802631,306.716547,63.958433,98,0.586563,0.618046,0.176507,1.084961,-0.001396,0.997701,-17,0.422961,1.432328,6013589,0.0
CONT_s4_dynamic_TearsOfSteel,10,100.0,1789226191.44,1789226201.44,0.909214,3.783141,0.0,31.241749,1147447,900,4,98,15.199622,46.285561,1.0,9,121.868472,239.367794,97.835579,21,0.0,0.696323,2.694047,13.09936,0.303395,1.500801,190,0.462571,1.965566,7161036,0.785714
CONT_s4_dynamic_TearsOfSteel,11,110.0,1789226201.44,1789226211.44,0.401885,2.013995,0.0,13.983456,507273,382,2,98,2.671609,0.0,0.0,0,0.238743,0.272288,0.024665,4,0.0,0.259727,1.398673,7.791814,-0.507329,0.442014,-518,0.457982,0.877513,7668309,0.959184
CONT_s4_dynamic_TearsOfSteel,12,120.0,1789226211.44,1789226221.44,0.951251,3.301276,0.0,18.679536,1203318,914,4,98,9.21399,36.125587,0.0,0,66.595135,210.0951,93.978015,15,0.047752,2.218458,5.247732,18.679536,0.549366,2.366973,532,0.49267,1.930808,8871627,0.877551
CONT_s4_dynamic_TearsOfSteel,13,130.0,1789226221.44,1789226231.44,2.067064,4.748201,0.0,26.36817,2615737,2020,5,98,11.148232,39.633023,0.0,0,115.982164,214.220889,97.636207,53,0.0,2.285481,5.565599,26.36817,1.115813,2.172995,1106,0.596026,3.468077,11487364,0.683673
CONT_s4_dynamic_TearsOfSteel,14,140.0,1789226231.44,1789226241.44,2.301239,4.76681,0.0,24.979942,2887913,2226,4,97,12.326413,42.022415,0.044924,1,111.602841,213.817521,105.593463,54,0.0,2.217784,5.479698,24.979942,0.234175,1.113289,206,0.700254,3.286292,14375277,0.670103
CONT_s4_dynamic_TearsOfSteel,15,150.0,1789226241.44,1789226251.44,0.341108,0.244541,0.0,1.402934,433193,428,4,98,219.841474,738.14712,10.280374,44,393.577815,394.289404,1151.290564,78,0.0,0.322147,0.305418,0.703259,-1.960131,0.148228,-1798,0.679329,0.502125,14808470,0.204082
CONT_s4_dynamic_TearsOfSteel,16,160.0,1789226251.44,1789226261.876,0.337606,0.217879,0.0,0.704986,441955,401,5,101,451.11884,2087.724493,0.0,0,305.356575,394.42213,121.136672,86,0.466435,0.331556,0.200795,0.704986,-0.003502,0.989733,-27,0.65997,0.511547,15250425,0.178218
CONT_s4_dynamic_TearsOfSteel,17,170.0,1789226261.876,1789226272.283,0.340545,0.115984,0.0,0.638382,450941,416,4,102,115.083507,182.025159,0.0,0,327.807512,532.564633,129.137492,98,0.350829,0.334522,0.073462,0.470443,0.002939,1.008705,15,0.642653,0.529905,15701366,0.039216
CONT_s4_dynamic_TearsOfSteel,18,180.0,1789226272.283,1789226282.283,0.33455,0.19689,0.0,0.702334,421219,383,4,97,130.557181,390.990278,0.0,0,290.541552,461.378075,125.175837,81,0.0,0.32775,0.201955,0.58605,-0.005995,0.982396,-33,0.627551,0.533104,16122585,0.154639
CONT_s4_dynamic_TearsOfSteel,19,190.0,1789226282.283,1789226292.283,0.544724,0.324422,0.0,1.652469,686036,619,4,97,100.248638,262.774455,1.292407,8,214.113863,384.573365,103.404815,91,0.701657,0.780687,0.273046,1.280926,0.210174,1.628229,236,0.623687,0.873393,16808621,0.061856
CONT_s4_dynamic_TearsOfSteel,20,200.0,1789226292.283,1789226302.283,0.768254,0.273317,0.0,1.397992,977610,839,4,98,56.843677,132.985669,0.0,0,147.194175,199.342923,51.536558,95,0.929836,0.793081,0.12828,1.165207,0.22353,1.410355,220,0.630207,1.21905,17786231,0.030612
CONT_s4_dynamic_TearsOfSteel,21,210.0,1789226302.283,1789226312.283,0.789974,0.107165,0.473538,1.051473,996260,961,6,97,83.344405,119.047537,0.0,0,195.786878,265.844778,44.428573,97,0.818905,0.784535,0.135709,1.051473,0.02172,1.028272,122,0.637042,1.240066,18782491,0.0
CONT_s4_dynamic_TearsOfSteel,22,220.0,1789226312.283,1789226322.283,0.694529,0.590588,0.0,2.088923,876209,770,6,97,46.756975,134.589789,0.0,0,143.093859,268.394867,81.510836,67,0.867462,0.518381,0.752222,2.088923,-0.095445,0.87918,-191,0.639401,1.086218,19658700,0.309278
CONT_s4_dynamic_TearsOfSteel,23,230.0,1789226322.283,1789226332.283,1.217013,0.718511,0.0,2.123154,1538296,1301,4,97,28.950286,38.384579,0.0,0,109.741176,117.072682,18.187626,73,1.628253,1.630266,0.016074,1.709433,0.522484,1.752285,531,0.662222,1.837772,21196996,0.247423
CONT_s4_dynamic_TearsOfSteel,24,240.0,1789226332.283,1789226342.283,2.350574,7.005746,1.160916,70.970335,2977186,2478,7,97,74.93714,261.456999,0.645682,16,113.048894,133.758488,16.304398,97,70.970335,4.024938,12.652708,70.970335,1.133561,1.931429,1177,0.726491,3.235517,24174182,0.0
