run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s4_dynamic_TearsOfSteel,0,0.251142,400.0,405192.0,115.0,0.912698,0.056,0.026,12.805,0.251535,0.253146,31232.022227,5953.083184,3215.809524,2371744.363429,1540.046871,0.478899,-0.28591,1.083326,0.0,7552.0,3.174603,1.87327,1.368674,0.431132,-0.505385,1.292025,0.0,7.0,400.0,405192.0,115.0,0.912698,0.056,0.026,12.805,0.251535,0.253146,31232.022227,5953.083184,3215.809524,2371744.363429,1540.046871,0.478899,-0.28591,1.083326,0.0,7552.0,3.174603,1.87327,1.368674,0.431132,-0.505385,1.292025,0.0,7.0,400.0,405192.0,115.0,0.912698,0.056,0.026,12.805,0.251535,0.253146,31232.022227,5953.083184,3215.809524,2371744.363429,1540.046871,0.478899,-0.28591,1.083326,0.0,7552.0,3.174603,1.87327,1.368674,0.431132,-0.505385,1.292025,0.0,7.0,0
CONT_s4_dynamic_TearsOfSteel,1,0.261122,663.0,688887.0,191.0,0.927184,0.076,0.137,20.898,0.261053,0.263714,31197.180822,2290.087252,3344.11165,3082477.514303,1755.698583,0.525012,2.554243,18.547818,0.0,17215.0,3.218447,2.52278,1.588326,0.493507,3.087396,27.02208,0.0,17.0,1063.0,1094079.0,306.0,0.921687,0.056,0.137,33.805,0.257445,0.258915,31142.751631,6257.40502,3295.418675,2808649.253185,1675.902519,0.508555,1.747366,14.374038,0.0,17215.0,3.201807,2.270329,1.506761,0.470597,2.100942,21.124769,0.0,17.0,1063.0,1094079.0,306.0,0.921687,0.056,0.137,33.805,0.257445,0.258915,31142.751631,6257.40502,3295.418675,2808649.253185,1675.902519,0.508555,1.747366,14.374038,0.0,17215.0,3.201807,2.270329,1.506761,0.470597,2.100942,21.124769,0.0,17.0,1
CONT_s4_dynamic_TearsOfSteel,2,0.469804,512.0,583514.0,88.0,0.907216,0.068,0.099,9.833,0.466811,0.474739,58432.259597,9626.766846,6015.608247,8348072.865765,2889.30318,0.480301,-0.650718,-0.265954,0.0,10604.0,5.278351,5.911297,2.431316,0.46062,-0.69428,-0.035034,0.0,9.0,1575.0,1677593.0,394.0,0.918415,0.056,0.099,43.843,0.305031,0.306109,35578.284582,-51978.409399,3910.473193,5342372.525565,2311.357291,0.591068,1.021612,2.694047,0.0,17215.0,3.671329,3.837984,1.959077,0.533615,1.078889,5.067434,0.0,17.0,1575.0,1677593.0,394.0,0.918415,0.056,0.099,43.843,0.305031,0.306109,35578.284582,-51978.409399,3910.473193,5342372.525565,2311.357291,0.591068,1.021612,2.694047,0.0,17215.0,3.671329,3.837984,1.959077,0.533615,1.078889,5.067434,0.0,17.0,2
CONT_s4_dynamic_TearsOfSteel,3,0.46915,544.0,588533.0,96.0,0.979592,0.003,0.062,9.935,0.470826,0.473907,58347.297129,8390.891062,6005.438776,3752415.176625,1937.115169,0.32256,-0.348034,0.639779,0.0,10604.0,5.55102,3.21902,1.794163,0.323213,-0.277303,0.603288,0.0,10.0,1719.0,1860934.0,375.0,0.935162,0.076,0.062,40.973,0.362129,0.363348,45618.081345,-142827.251927,4640.733167,6273786.486122,2504.752779,0.539732,0.553308,0.906641,0.0,17215.0,4.286783,4.71005,2.170265,0.506269,0.655928,2.369799,0.0,17.0,2119.0,2266126.0,490.0,0.929791,0.056,0.062,53.88,0.335735,0.33647,40562.633113,-132780.622258,4300.049336,5704652.97855,2388.441538,0.555445,0.670295,1.303002,0.0,17215.0,4.020873,4.252415,2.062139,0.512858,0.728477,2.758271,0.0,17.0,3
CONT_s4_dynamic_TearsOfSteel,4,0.466792,535.0,585747.0,97.0,0.989796,0.041,0.025,9.934,0.468598,0.471711,58444.10737,6069.5725,5977.010204,3664154.773091,1914.198206,0.32026,0.176158,-0.206216,0.0,9710.0,5.459184,3.158111,1.777107,0.325526,0.194822,-0.26257,0.0,10.0,1591.0,1757794.0,281.0,0.959044,0.068,0.025,29.907,0.468745,0.470203,58495.140249,9627.237975,5999.296928,5208563.223175,2282.227689,0.380416,-0.462239,0.358313,0.0,10604.0,5.430034,4.074711,2.018591,0.371746,-0.467243,0.450783,0.0,10.0,2654.0,2851873.0,587.0,0.9392,0.056,0.025,63.917,0.356495,0.356947,44399.357431,-207716.972229,4562.9968,5750725.166656,2398.066965,0.525546,0.503201,0.817287,0.0,17215.0,4.2464,4.349446,2.085533,0.49113,0.571531,1.95269,0.0,17.0,4
CONT_s4_dynamic_TearsOfSteel,5,0.214419,228.0,266070.0,34.0,0.350515,0.078,0.093,9.829,0.212856,0.216559,22982.763485,53198.46188,2742.989691,19475179.635309,4413.069185,1.608854,1.553049,1.724114,0.0,18548.0,2.350515,13.480026,3.671515,1.562004,1.394006,0.997604,0.0,15.0,1307.0,1440350.0,227.0,0.774744,0.003,0.093,29.904,0.384093,0.385326,51488.612362,69565.665249,4915.870307,11211276.352985,3348.32441,0.681125,0.183253,0.493639,0.0,18548.0,4.460751,8.763009,2.960238,0.663619,-0.052973,-0.308417,0.0,15.0,2882.0,3117943.0,621.0,0.860111,0.056,0.093,73.849,0.337084,0.337764,45905.14485,-241139.477937,4318.480609,7955905.689637,2820.621508,0.653151,0.649398,1.443669,0.0,18548.0,3.99169,5.977739,2.444942,0.612508,0.484835,1.279447,0.0,17.0,5
CONT_s4_dynamic_TearsOfSteel,6,0.522408,594.0,656207.0,81.0,0.826531,0.009,0.047,9.944,0.524966,0.527922,63484.556664,-8327.1872,6695.989796,13180451.453503,3630.489148,0.542189,-0.58595,0.076096,0.0,15496.0,6.061224,10.387965,3.223037,0.531747,-0.749947,-0.141942,0.0,12.0,1357.0,1508024.0,212.0,0.723549,0.041,0.047,29.912,0.40214,0.403323,43792.316121,80907.607325,5146.83959,14954742.676235,3867.136237,0.751361,0.152933,-0.31487,0.0,18548.0,4.631399,11.575997,3.402352,0.734627,-0.026958,-0.827476,0.0,15.0,3476.0,3774150.0,702.0,0.856098,0.056,0.047,83.895,0.359451,0.359893,46261.271292,-250892.900087,4602.621951,9160510.279371,3026.633489,0.657589,0.520674,0.751482,0.0,18548.0,4.239024,6.944019,2.635151,0.621641,0.372208,0.542783,0.0,17.0,6
CONT_s4_dynamic_TearsOfSteel,7,0.604214,720.0,752486.0,97.0,1.0,0.056,0.085,9.859,0.601989,0.610598,75871.40366,7770.165388,7757.587629,2693843.724012,1641.293308,0.211573,-0.127681,-0.559497,4552.0,10656.0,7.42268,2.496564,1.580052,0.212868,0.015298,-0.265635,4.0,11.0,1542.0,1674763.0,212.0,0.726027,0.078,0.085,29.837,0.446603,0.449043,56622.514873,-163330.86693,5735.489726,16365645.295427,4045.447478,0.705336,-0.169208,-0.641819,0.0,18548.0,5.280822,13.329803,3.651,0.69137,-0.33572,-1.026731,0.0,15.0,4196.0,4526636.0,799.0,0.87132,0.056,0.085,93.857,0.385254,0.385833,48066.362739,-304599.742189,4936.353326,9415342.754937,3068.443051,0.621601,0.324659,0.283433,0.0,18548.0,4.575791,7.430112,2.725823,0.595705,0.220501,0.08473,0.0,17.0,7
CONT_s4_dynamic_TearsOfSteel,8,0.609648,725.0,761306.0,97.0,1.0,0.018,0.095,9.887,0.609045,0.616006,75913.870923,10054.802011,7848.515464,3385616.356529,1840.004445,0.23444,-0.249713,-0.771663,4552.0,12156.0,7.474227,3.460266,1.860179,0.248879,-0.125159,-0.300628,4.0,12.0,2039.0,2169999.0,275.0,0.941781,0.009,0.095,29.896,0.578666,0.580679,74102.040472,-62628.039655,7431.503425,6674674.683837,2583.539178,0.347647,-1.017745,2.243474,0.0,15496.0,6.982877,5.858812,2.420498,0.346633,-1.099947,1.929158,0.0,12.0,4921.0,5287942.0,896.0,0.883629,0.056,0.095,103.847,0.406773,0.407364,50403.764817,-381628.966714,5214.932939,9569009.681579,3093.381593,0.593178,0.185197,0.019888,0.0,18548.0,4.853057,7.774043,2.788197,0.574524,0.122561,-0.139204,0.0,17.0,8
CONT_s4_dynamic_TearsOfSteel,9,0.604645,692.0,756084.0,97.0,1.0,0.009,0.091,9.9,0.604867,0.610977,75678.297129,7735.00421,7794.680412,3977105.157216,1994.268076,0.25585,0.549046,2.11881,3052.0,15097.0,7.134021,3.283935,1.812163,0.254017,0.25339,0.585541,3.0,13.0,2137.0,2269876.0,291.0,1.0,0.056,0.091,29.853,0.6053,0.608281,75818.589714,7920.533525,7800.261168,3330468.228108,1824.957048,0.233961,0.125579,0.675004,3052.0,15097.0,7.343643,3.081503,1.755421,0.23904,0.0389,0.035782,3.0,13.0,5613.0,6044026.0,993.0,0.893789,0.056,0.091,113.851,0.42415,0.424697,52786.869466,-468001.085927,5440.167417,9607560.04582,3099.606434,0.569763,0.101933,-0.019729,0.0,18548.0,5.052205,7.793669,2.791714,0.552573,0.039973,-0.185436,0.0,17.0,9
CONT_s4_dynamic_TearsOfSteel,10,0.845633,824.0,1056282.0,9.0,0.092784,0.012,1.533,8.455,0.845026,0.999439,104481.437893,97119.388356,10889.505155,2431778708.690077,49313.068336,4.528495,5.997172,40.748854,0.0,401847.0,8.494845,1434.440077,37.874003,4.458469,5.827382,38.43232,0.0,304.0,2241.0,2573672.0,203.0,0.697595,0.018,1.533,28.449,0.686313,0.723729,87099.284358,-81282.33538,8844.233677,809539186.434862,28452.402121,3.217057,10.514834,129.777496,0.0,401847.0,7.701031,477.417206,21.849879,2.837267,10.120362,121.428822,0.0,304.0,6437.0,7100308.0,1002.0,0.82947,0.056,1.533,122.409,0.458092,0.464038,55858.020834,-589710.460703,5877.738411,204444321.641539,14298.402765,2.432637,20.470012,512.647761,0.0,401847.0,5.328642,122.132998,11.05138,2.073958,19.368259,469.015838,0.0,304.0,10
CONT_s4_dynamic_TearsOfSteel,11,0.464385,437.0,580153.0,7.0,0.072165,1.561,0.194,8.245,0.464122,0.562914,57920.42123,42632.410696,5980.958763,733145799.519115,27076.665222,4.527145,4.738373,22.604459,0.0,180037.0,4.505155,411.023411,20.273712,4.500115,4.744263,22.66534,0.0,135.0,1953.0,2392519.0,113.0,0.388316,0.009,0.194,29.797,0.638005,0.642352,86996.006633,-2656.528231,8221.714777,1053136685.052851,32452.0675,3.947117,7.99089,79.83802,0.0,401847.0,6.71134,614.750871,24.79417,3.694369,7.815466,76.636999,0.0,304.0,6874.0,7680461.0,1009.0,0.77318,0.056,0.194,133.748,0.458542,0.459399,58388.107135,-697930.664747,5885.410728,243211081.010621,15595.226225,2.649811,16.422232,351.221215,0.0,401847.0,5.267433,143.354038,11.973055,2.273034,15.756806,329.355219,0.0,304.0,11
