run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s4_l2a_TheSwissAccount,0,0.247573,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_l2a_TheSwissAccount,1,0.14125,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,18141.0,3.684,0.102,3.582,0.039394
CONT_s4_l2a_TheSwissAccount,2,0.249417,0,0.0,0.0,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,2,266642.0,8.1785,18141.0,3.684,0.102,3.582,0.039394
CONT_s4_l2a_TheSwissAccount,3,0.258026,2,312843.0,9.101,2,312843.0,9.101,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,4,289742.5,8.63975,80546.0,2.147,1.124,1.023,0.300125
CONT_s4_l2a_TheSwissAccount,4,0.354662,1,97098.0,1.33,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,5,0.468918,0,0.0,0.0,1,97098.0,1.33,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,6,0.462346,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,7,1.018123,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,8,0.609407,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,9,0.604097,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
CONT_s4_l2a_TheSwissAccount,10,0.605512,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,240928.0,6.510667,3,240928.0,6.510667,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,5,251213.6,7.1778,97098.0,3.987,1.33,2.657,0.194829
