run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s4_throughput_TearsOfSteel,0,0.249835,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,1,0.24805,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,2,0.71058,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,3,0.468264,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,4,0.469861,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,5,0.470708,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s4_throughput_TearsOfSteel,6,0.624024,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,195014.0,2.777,2.365,0.412,0.561798
CONT_s4_throughput_TearsOfSteel,7,0.607128,0,0.0,0.0,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,195014.0,2.777,2.365,0.412,0.561798
CONT_s4_throughput_TearsOfSteel,8,0.604921,0,0.0,0.0,0,0.0,0.0,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,195014.0,2.777,2.365,0.412,0.561798
CONT_s4_throughput_TearsOfSteel,9,0.607172,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,2,2213823.5,41.0515,195014.0,2.777,2.365,0.412,0.561798
