run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s5_bola_BigBuckBunny,0,0.0,4.2838,3.12,Critical
CONT_s5_bola_BigBuckBunny,1,10.0,4.2975,0,Excellent
CONT_s5_bola_BigBuckBunny,2,20.0,4.2533,0,Excellent
CONT_s5_bola_BigBuckBunny,3,30.0,4.2533,0,Excellent
CONT_s5_bola_BigBuckBunny,4,40.0,4.2533,0,Excellent
CONT_s5_bola_BigBuckBunny,5,50.0,3.1616,0,Good
CONT_s5_bola_BigBuckBunny,6,60.0,2.8864,0,Degraded
CONT_s5_bola_BigBuckBunny,7,70.0,2.8353,0,Degraded
CONT_s5_bola_BigBuckBunny,8,80.0,2.8569,0,Degraded
CONT_s5_bola_BigBuckBunny,9,90.0,3.2639,0,Good
CONT_s5_bola_BigBuckBunny,10,100.0,2.9381,0,Degraded
CONT_s5_bola_BigBuckBunny,11,110.0,2.7888,1.214,Critical
CONT_s5_bola_BigBuckBunny,12,120.0,1.5735,0,Critical
CONT_s5_bola_BigBuckBunny,13,130.0,1.6007,0,Critical
CONT_s5_bola_BigBuckBunny,14,140.0,1.5923,0,Critical
CONT_s5_bola_BigBuckBunny,15,150.0,1.5923,0,Critical
CONT_s5_bola_BigBuckBunny,16,160.0,1.6512,0,Critical
CONT_s5_bola_BigBuckBunny,17,170.0,2.7465,0,Degraded
CONT_s5_bola_BigBuckBunny,18,180.0,2.8393,0,Degraded
CONT_s5_bola_BigBuckBunny,19,190.0,2.8393,0,Degraded
CONT_s5_bola_BigBuckBunny,20,200.0,3.1221,0,Good
CONT_s5_bola_BigBuckBunny,21,210.0,2.6089,0,Degraded
CONT_s5_bola_BigBuckBunny,22,220.0,3.6207,0,Good
CONT_s5_bola_BigBuckBunny,23,230.0,3.8344,0,Good
CONT_s5_bola_BigBuckBunny,24,240.0,3.7878,0,Good
CONT_s5_bola_BigBuckBunny,25,250.0,4.0592,0,Excellent
CONT_s5_bola_BigBuckBunny,26,260.0,4.3678,0,Excellent
CONT_s5_bola_BigBuckBunny,27,270.0,4.3573,0,Excellent
CONT_s5_bola_BigBuckBunny,28,280.0,4.3573,0,Excellent
CONT_s5_bola_BigBuckBunny,29,290.0,4.3957,0,Excellent
