run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s5_bola_TheSwissAccount,0,0.0,1789282246.417,1789282256.417,1.947175,0.716069,0.0,2.950519,13.654169,28.236774,0.0,0,76.077295,104.420256,27.60095,90,2463823,2077,4,99
CONT_s5_bola_TheSwissAccount,1,10.0,1789282256.417,1789282266.417,0.074632,0.313567,0.0,1.924701,13.808138,142.947465,8.988764,8,35.058687,66.512971,24.614552,6,94368,89,2,99
CONT_s5_bola_TheSwissAccount,2,20.0,1789282266.417,1789282276.417,0.647782,0.723705,0.0,1.923761,27.785767,143.878957,1.623816,12,89.015919,128.255107,26.648495,47,819956,739,2,99
CONT_s5_bola_TheSwissAccount,3,30.0,1789282276.417,1789282286.417,0.864344,0.711686,0.0,1.900881,18.997016,71.889072,1.844262,18,112.719949,137.97981,41.373271,63,1093193,976,2,99
CONT_s5_bola_TheSwissAccount,4,40.0,1789282286.417,1789282296.417,0.747254,0.445835,0.0,1.935984,29.340966,59.147869,11.871227,118,110.051492,231.287321,59.123291,87,938076,994,6,98
CONT_s5_bola_TheSwissAccount,5,50.0,1789282296.417,1789282306.417,0.561833,0.228692,0.120778,1.320156,27.836433,42.474656,16.886228,141,57.508434,114.424725,27.830107,98,707185,835,4,98
CONT_s5_bola_TheSwissAccount,6,60.0,1789282306.417,1789282316.545,0.682048,0.15628,0.354586,1.615331,31.690754,39.983276,18.156162,193,81.069569,189.177284,42.858038,100,877896,1063,6,100
CONT_s5_bola_TheSwissAccount,7,70.0,1789282316.545,1789282326.545,0.68846,0.129296,0.236589,1.331113,31.963629,46.837469,15.774099,162,81.919962,156.00865,34.541383,98,871509,1027,4,98
CONT_s5_bola_TheSwissAccount,8,80.0,1789282326.545,1789282336.545,0.640694,0.162453,0.124101,1.082362,27.834539,37.748118,15.920916,153,75.826006,147.546043,36.752255,97,803911,961,6,97
CONT_s5_bola_TheSwissAccount,9,90.0,1789282336.545,1789282346.545,0.476197,0.255576,0.0,1.422669,29.798131,54.911696,15.129683,105,71.859324,196.869964,61.303157,89,603748,694,2,98
