run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s5_bola_Valkaama,0,2.196122,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s5_bola_Valkaama,1,1.135899,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,540193.0,4.088,3.066,1.022,1.057129
CONT_s5_bola_Valkaama,2,1.292012,0,0.0,0.0,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,540193.0,4.088,3.066,1.022,1.057129
CONT_s5_bola_Valkaama,3,1.402147,0,0.0,0.0,0,0.0,0.0,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,3,1519581.0,5.893667,540193.0,4.088,3.066,1.022,1.057129
CONT_s5_bola_Valkaama,4,0.865965,1,3831778.0,21.793,1,3831778.0,21.793,1,3831778.0,21.793,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,3831778.0,22.201,21.793,0.408,1.380759
CONT_s5_bola_Valkaama,5,0.58086,0,0.0,0.0,1,3831778.0,21.793,1,3831778.0,21.793,1,3831778.0,21.793,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,3831778.0,22.201,21.793,0.408,1.380759
CONT_s5_bola_Valkaama,6,0.679738,0,0.0,0.0,0,0.0,0.0,1,3831778.0,21.793,1,3831778.0,21.793,1,3831778.0,21.793,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,3831778.0,22.201,21.793,0.408,1.380759
CONT_s5_bola_Valkaama,7,0.692564,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3831778.0,21.793,1,3831778.0,21.793,1,3831778.0,21.793,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,3831778.0,22.201,21.793,0.408,1.380759
CONT_s5_bola_Valkaama,8,0.632058,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3831778.0,21.793,1,3831778.0,21.793,1,3831778.0,21.793,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,4,2097630.25,9.8685,3831778.0,22.201,21.793,0.408,1.380759
CONT_s5_bola_Valkaama,9,0.309354,3,1410854.0,17.576333,3,1410854.0,17.576333,3,1410854.0,17.576333,3,1410854.0,17.576333,3,1410854.0,17.576333,4,2016085.0,18.6305,4,2016085.0,18.6305,4,2016085.0,18.6305,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,7,1803297.571,13.171857,100639.0,4.329,1.753,2.576,0.185981
