run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s5_dynamic_BigBuckBunny,0,0.0,4.2989,1.818,Critical
CONT_s5_dynamic_BigBuckBunny,1,10.0,4.1295,0,Excellent
CONT_s5_dynamic_BigBuckBunny,2,20.0,4.3338,0,Excellent
CONT_s5_dynamic_BigBuckBunny,3,30.0,4.3238,0,Excellent
CONT_s5_dynamic_BigBuckBunny,4,40.0,4.3179,0,Excellent
CONT_s5_dynamic_BigBuckBunny,5,50.0,3.4035,0,Good
CONT_s5_dynamic_BigBuckBunny,6,60.0,2.9381,0,Degraded
CONT_s5_dynamic_BigBuckBunny,7,70.0,2.9341,0,Degraded
CONT_s5_dynamic_BigBuckBunny,8,80.0,2.8745,0,Degraded
CONT_s5_dynamic_BigBuckBunny,9,90.0,2.8686,0,Degraded
CONT_s5_dynamic_BigBuckBunny,10,100.0,2.8272,0,Degraded
CONT_s5_dynamic_BigBuckBunny,11,110.0,2.7988,0,Degraded
CONT_s5_dynamic_BigBuckBunny,12,120.0,2.7988,0,Degraded
CONT_s5_dynamic_BigBuckBunny,13,130.0,2.7723,0,Degraded
CONT_s5_dynamic_BigBuckBunny,14,140.0,2.7458,1.649,Critical
CONT_s5_dynamic_BigBuckBunny,15,150.0,1.6574,0,Critical
CONT_s5_dynamic_BigBuckBunny,16,160.0,1.6512,0,Critical
CONT_s5_dynamic_BigBuckBunny,17,170.0,1.5923,0,Critical
CONT_s5_dynamic_BigBuckBunny,18,180.0,1.5923,0,Critical
CONT_s5_dynamic_BigBuckBunny,19,190.0,3.2648,0,Good
CONT_s5_dynamic_BigBuckBunny,20,200.0,3.5876,0,Good
CONT_s5_dynamic_BigBuckBunny,21,210.0,3.3529,0,Good
CONT_s5_dynamic_BigBuckBunny,22,220.0,2.9381,0,Degraded
CONT_s5_dynamic_BigBuckBunny,23,230.0,2.9381,0,Degraded
CONT_s5_dynamic_BigBuckBunny,24,240.0,3.871,0,Good
CONT_s5_dynamic_BigBuckBunny,25,250.0,4.3342,0,Excellent
CONT_s5_dynamic_BigBuckBunny,26,260.0,4.3238,0,Excellent
CONT_s5_dynamic_BigBuckBunny,27,270.0,4.3271,0,Excellent
CONT_s5_dynamic_BigBuckBunny,28,280.0,4.3573,0,Excellent
CONT_s5_dynamic_BigBuckBunny,29,290.0,4.3573,0,Excellent
