run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s5_throughput_TheSwissAccount,0,2.562073,2717.0,3243678.0,96.0,0.969697,0.375,0.054,9.722,2.556342,2.669145,332021.09448,-229577.941225,32764.424242,5431530832.38961,73698.920158,2.249358,9.657996,92.214135,0.0,755266.0,27.444444,3195.535147,56.529065,2.059763,9.625184,91.787326,0.0,581.0,2717.0,3243678.0,96.0,0.969697,0.375,0.054,9.722,2.556342,2.669145,332021.09448,-229577.941225,32764.424242,5431530832.38961,73698.920158,2.249358,9.657996,92.214135,0.0,755266.0,27.444444,3195.535147,56.529065,2.059763,9.625184,91.787326,0.0,581.0,2717.0,3243678.0,96.0,0.969697,0.375,0.054,9.722,2.556342,2.669145,332021.09448,-229577.941225,32764.424242,5431530832.38961,73698.920158,2.249358,9.657996,92.214135,0.0,755266.0,27.444444,3195.535147,56.529065,2.059763,9.625184,91.787326,0.0,581.0,0
CONT_s5_throughput_TheSwissAccount,1,1.211048,1385.0,1517252.0,87.0,0.887755,0.048,0.95,9.002,1.213802,1.348369,161528.003543,27572.428276,15482.163265,52547677.354513,7248.977677,0.468215,-0.949952,0.162045,0.0,28656.0,14.132653,48.239954,6.945499,0.49145,-0.383421,0.728349,0.0,33.0,4102.0,4760930.0,183.0,0.928934,0.375,0.95,18.826,1.890102,2.02313,258329.162286,156935.723294,24167.15736,2816819321.745518,53073.715922,2.196109,13.361347,181.650317,0.0,755266.0,20.822335,1666.167254,40.818712,1.960333,13.210069,178.901254,0.0,581.0,4102.0,4760930.0,183.0,0.928934,0.375,0.95,18.826,1.890102,2.02313,258329.162286,156935.723294,24167.15736,2816819321.745518,53073.715922,2.196109,13.361347,181.650317,0.0,755266.0,20.822335,1666.167254,40.818712,1.960333,13.210069,178.901254,0.0,581.0,1
CONT_s5_throughput_TheSwissAccount,2,1.329458,1513.0,1665211.0,93.0,0.94898,0.583,0.01,9.407,1.332169,1.416146,174683.508641,-72741.60849,16991.94898,29571922.584999,5438.007226,0.320034,-1.691154,3.261404,0.0,25604.0,15.438776,32.372502,5.689684,0.368532,-0.551265,2.152206,0.0,32.0,5615.0,6426141.0,276.0,0.935593,0.375,0.01,29.766,1.705055,1.727109,207191.265825,563870.088381,21783.528814,1899096465.181988,43578.623948,2.000531,16.236576,270.905693,0.0,755266.0,19.033898,1127.910412,33.584377,1.764451,15.951723,264.568362,0.0,581.0,5615.0,6426141.0,276.0,0.935593,0.375,0.01,29.766,1.705055,1.727109,207191.265825,563870.088381,21783.528814,1899096465.181988,43578.623948,2.000531,16.236576,270.905693,0.0,755266.0,19.033898,1127.910412,33.584377,1.764451,15.951723,264.568362,0.0,581.0,2
CONT_s5_throughput_TheSwissAccount,3,0.980451,1264.0,1216424.0,95.0,0.979381,0.092,0.082,9.826,0.973139,0.990372,117927.250422,141557.544553,12540.453608,28741365.479596,5361.097414,0.427504,0.290471,-0.591942,0.0,24616.0,13.030928,22.405284,4.733422,0.363245,0.207476,0.670221,0.0,26.0,4162.0,4398887.0,275.0,0.938567,0.048,0.082,29.87,1.173037,1.178142,153516.591365,49952.327287,15013.266212,40147749.949437,6336.225213,0.422042,-0.726322,0.023056,0.0,28656.0,14.204778,35.115457,5.92583,0.417172,-0.28075,1.232662,0.0,33.0,6879.0,7642565.0,371.0,0.946429,0.375,0.082,39.694,1.522765,1.540296,186712.404834,803580.122795,19496.339286,1450971938.541877,38091.62557,1.953783,18.446875,353.935909,0.0,755266.0,17.548469,860.32501,29.331297,1.671445,18.143965,346.179956,0.0,581.0,3
CONT_s5_throughput_TheSwissAccount,4,0.611011,912.0,768048.0,98.0,1.0,0.02,0.026,9.954,0.614438,0.617278,75100.616182,32611.279743,7837.22449,6193417.701662,2488.657811,0.317543,0.1091,-0.176047,3052.0,14048.0,9.306122,10.09089,3.176616,0.341347,0.276806,-0.271343,3.0,18.0,3689.0,3649683.0,286.0,0.976109,0.583,0.026,29.391,0.973249,0.993415,124658.779421,292844.490045,12456.255973,35397524.362336,5949.581864,0.477638,0.147941,-0.903117,0.0,25604.0,12.590444,27.879634,5.280117,0.419375,0.279427,0.702666,0.0,32.0,7791.0,8410613.0,469.0,0.957143,0.375,0.026,49.75,1.341646,1.35246,163379.380274,1152975.037694,17164.516327,1183206728.385211,34397.772143,2.004005,20.220246,431.440066,0.0,755266.0,15.9,700.80184,26.472662,1.664947,19.90693,422.505477,0.0,581.0,4
CONT_s5_throughput_TheSwissAccount,5,0.657875,969.0,819524.0,97.0,1.0,0.076,0.063,9.861,0.655619,0.664861,84059.08931,-16614.390872,8448.701031,6723575.815936,2592.985888,0.306909,0.20618,1.437008,3052.0,17313.0,9.989691,10.572809,3.251586,0.325494,0.533734,1.803714,3.0,22.0,3145.0,2803996.0,290.0,0.993151,0.092,0.063,29.845,0.747732,0.751616,84071.615373,321920.675987,9602.726027,18134629.244269,4258.477339,0.443465,1.134492,1.546072,0.0,24616.0,10.770548,16.871569,4.107502,0.381364,0.664826,1.197743,0.0,26.0,8760.0,9230137.0,566.0,0.964225,0.375,0.063,59.713,1.227595,1.2366,144487.147705,1497228.801959,15724.253833,998949750.469587,31606.166336,2.010026,21.879572,509.407221,0.0,755266.0,14.923339,591.357594,24.317845,1.629518,21.543267,498.949643,0.0,581.0,5
CONT_s5_throughput_TheSwissAccount,6,0.690943,1004.0,863447.0,97.0,1.0,0.04,0.066,9.894,0.690758,0.698158,86444.456812,8826.259278,8901.515464,875099.064863,935.467298,0.105091,-0.60806,0.859374,6180.0,10872.0,10.350515,2.563359,1.601049,0.154683,0.303749,0.389759,7.0,16.0,2885.0,2451019.0,292.0,1.0,0.02,0.066,29.914,0.653605,0.655484,81011.062537,-14464.886021,8393.900685,4762504.893883,2182.316406,0.259988,-0.104465,1.656631,3052.0,17313.0,9.880137,7.885927,2.808189,0.284226,0.266537,1.501726,3.0,22.0,9764.0,10093584.0,663.0,0.969298,0.375,0.066,69.71,1.151069,1.158351,131467.214405,1777671.967434,14756.701754,862874902.619557,29374.732384,1.990603,23.477707,589.175431,0.0,755266.0,14.274854,510.281592,22.589413,1.582462,23.141273,577.90057,0.0,581.0,6
CONT_s5_throughput_TheSwissAccount,7,0.642526,941.0,805110.0,97.0,1.0,0.039,0.042,9.919,0.644088,0.649348,82027.986092,22814.11821,8300.103093,3371857.718428,1836.261887,0.221234,-0.767188,1.45588,3052.0,14016.0,9.701031,5.982603,2.445936,0.252132,-0.221312,0.7583,3.0,17.0,2914.0,2488081.0,291.0,1.0,0.076,0.042,29.882,0.663488,0.666108,85594.625425,-21708.832239,8550.106529,3697274.529992,1922.829823,0.22489,-0.245796,3.233012,3052.0,17313.0,10.013746,6.39981,2.529785,0.252631,0.25591,2.643713,3.0,22.0,10705.0,10898694.0,760.0,0.973111,0.375,0.042,79.734,1.087816,1.093505,122185.94451,2008647.178959,13954.793854,760524017.312577,27577.599919,1.97621,24.92777,667.267784,0.0,755266.0,13.706786,449.838274,21.209391,1.547364,24.557662,654.048255,0.0,581.0,7
CONT_s5_throughput_TheSwissAccount,8,0.30496,442.0,381773.0,46.0,0.474227,0.061,0.64,9.299,0.305418,0.328442,31831.407002,45605.110446,3935.804124,72646127.596649,8523.269771,2.165573,6.472582,51.976284,0.0,76355.0,4.556701,72.791022,8.531765,1.872356,5.090236,36.030854,0.0,71.0,2387.0,2050330.0,240.0,0.824742,0.04,0.64,29.32,0.546755,0.559435,71115.578237,136491.537346,7045.80756,30367489.852494,5510.670545,0.782121,6.538368,84.150366,0.0,76355.0,8.202749,33.665648,5.802211,0.70735,3.997119,45.393637,0.0,71.0,11147.0,11280467.0,806.0,0.917995,0.375,0.64,89.136,1.001029,1.012427,113508.067634,2254412.676861,12847.912301,694234803.674169,26348.335881,2.050787,25.549833,716.637488,0.0,755266.0,12.6959,416.289402,20.403171,1.607068,24.686207,684.229295,0.0,581.0,8
CONT_s5_throughput_TheSwissAccount,9,0.239477,242.0,297040.0,44.0,0.458333,2.974,0.103,6.923,0.237632,0.34325,33354.26571,-53065.45856,3094.166667,14306770.645614,3782.429199,1.222439,0.756386,-0.403786,0.0,15505.0,2.520833,9.178509,3.029605,1.201827,0.739756,-0.421975,0.0,12.0,1625.0,1483923.0,187.0,0.644828,0.039,0.103,29.858,0.395713,0.397595,44091.328976,252318.131543,5116.975862,35182846.521907,5931.513004,1.159183,5.954014,69.64605,0.0,76355.0,5.603448,38.343933,6.192248,1.105078,4.151018,40.875113,0.0,71.0,11389.0,11577507.0,850.0,0.87269,0.375,0.103,99.673,0.924804,0.929239,104595.045287,2535837.556563,11886.557495,635597025.102035,25211.049663,2.120971,26.39326,774.773213,0.0,755266.0,11.693018,385.320876,19.629592,1.678745,25.121184,725.042903,0.0,581.0,9
