run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s6_throughput_OfForestAndMen,0,0.459572,894.0,756520.0,115.0,0.891473,0.001,0.018,13.067,0.462491,0.463164,56564.796405,72142.176628,5864.496124,16632657.861313,4078.315567,0.695425,0.48722,0.016406,0.0,18896.0,6.930233,24.299782,4.929481,0.711301,0.658028,0.412271,0.0,24.0,894.0,756520.0,115.0,0.891473,0.001,0.018,13.067,0.462491,0.463164,56564.796405,72142.176628,5864.496124,16632657.861313,4078.315567,0.695425,0.48722,0.016406,0.0,18896.0,6.930233,24.299782,4.929481,0.711301,0.658028,0.412271,0.0,24.0,894.0,756520.0,115.0,0.891473,0.001,0.018,13.067,0.462491,0.463164,56564.796405,72142.176628,5864.496124,16632657.861313,4078.315567,0.695425,0.48722,0.016406,0.0,18896.0,6.930233,24.299782,4.929481,0.711301,0.658028,0.412271,0.0,24.0,0
CONT_s6_throughput_OfForestAndMen,1,0.283409,448.0,386865.0,92.0,0.859813,0.084,0.054,10.818,0.282486,0.28609,34444.939614,23281.760954,3615.560748,5211572.324105,2282.88684,0.631406,-0.103548,-0.985653,0.0,7796.0,4.186916,6.926997,2.631919,0.628606,0.001854,-0.836486,0.0,10.0,1342.0,1143385.0,207.0,0.877119,0.001,0.054,23.987,0.380463,0.381335,44818.981166,141897.53643,4844.851695,12669015.463018,3559.356046,0.734668,0.803543,0.946609,0.0,18896.0,5.686441,18.233177,4.270032,0.750915,0.999259,1.581463,0.0,24.0,1342.0,1143385.0,207.0,0.877119,0.001,0.054,23.987,0.380463,0.381335,44818.981166,141897.53643,4844.851695,12669015.463018,3559.356046,0.734668,0.803543,0.946609,0.0,18896.0,5.686441,18.233177,4.270032,0.750915,0.999259,1.581463,0.0,24.0,1
CONT_s6_throughput_OfForestAndMen,2,0.646686,939.0,808595.0,89.0,0.908163,0.048,0.049,9.903,0.646876,0.653212,84771.319469,8678.344948,8250.969388,23195579.535136,4816.178935,0.583711,-0.105075,-0.775571,0.0,18544.0,9.581633,32.699453,5.718344,0.596803,0.07111,-0.585623,0.0,22.0,2281.0,1951980.0,296.0,0.886228,0.001,0.049,33.992,0.458723,0.459398,50513.461324,82785.271079,5844.251497,18109763.239863,4255.556749,0.728161,0.617122,-0.081108,0.0,18896.0,6.829341,25.547365,5.05444,0.740107,0.761992,0.317047,0.0,24.0,2281.0,1951980.0,296.0,0.886228,0.001,0.049,33.992,0.458723,0.459398,50513.461324,82785.271079,5844.251497,18109763.239863,4255.556749,0.728161,0.617122,-0.081108,0.0,18896.0,6.829341,25.547365,5.05444,0.740107,0.761992,0.317047,0.0,24.0,2
CONT_s6_throughput_OfForestAndMen,3,0.564108,821.0,705515.0,82.0,0.836735,0.053,0.046,9.901,0.564412,0.570056,72904.044109,57453.31084,7199.132653,24087774.837892,4907.929791,0.681739,0.029947,-0.960382,0.0,18764.0,8.377551,34.340522,5.860079,0.699498,0.181194,-0.752842,0.0,24.0,2208.0,1900975.0,263.0,0.867987,0.084,0.046,30.826,0.491271,0.493343,67591.057233,-182069.078976,6273.844884,21066266.012283,4589.800215,0.731577,0.457246,-0.581481,0.0,18764.0,7.287129,29.463642,5.428042,0.744881,0.59788,-0.247222,0.0,24.0,3102.0,2657495.0,378.0,0.875,0.001,0.046,43.995,0.48272,0.483236,58299.580914,-16969.605659,6151.608796,19735855.709714,4442.505567,0.72217,0.477955,-0.418576,0.0,18896.0,7.180556,27.888438,5.28095,0.735452,0.621211,-0.072078,0.0,24.0,3
CONT_s6_throughput_OfForestAndMen,4,0.76184,1059.0,955101.0,95.0,0.969388,0.056,0.017,9.927,0.764081,0.7697,92815.688382,4344.743469,9745.928571,14149273.902062,3761.55206,0.385961,-0.19818,2.815735,0.0,24796.0,10.806122,19.291921,4.392257,0.40646,0.389144,3.480318,0.0,29.0,2819.0,2469211.0,266.0,0.904762,0.048,0.017,29.935,0.658456,0.659886,78130.163712,42720.850036,8398.676871,21433428.048815,4629.625044,0.551233,-0.192833,-0.243268,0.0,24796.0,9.588435,29.567238,5.437576,0.567097,0.056519,0.050223,0.0,29.0,4161.0,3612596.0,473.0,0.892453,0.001,0.017,54.024,0.534783,0.534962,63186.863451,-97297.868168,6816.218868,20624960.50021,4541.471182,0.666274,0.292163,-0.396401,0.0,24796.0,7.850943,28.244281,5.314535,0.676929,0.471243,0.040784,0.0,29.0,4
CONT_s6_throughput_OfForestAndMen,5,0.522577,557.0,648398.0,54.0,0.556701,0.085,0.086,9.829,0.518718,0.527743,50676.342258,93383.635149,6684.515464,41778855.919029,6463.656544,0.96696,0.167349,-1.539931,0.0,19656.0,5.742268,30.297466,5.504313,0.958561,0.099803,-1.67596,0.0,16.0,2437.0,2309014.0,231.0,0.788396,0.053,0.086,29.861,0.615737,0.618603,78474.921042,23696.383251,7880.593857,28236407.563935,5313.794084,0.674289,-0.1694,-0.804612,0.0,24796.0,8.317406,32.059867,5.662143,0.680758,0.004676,-0.288634,0.0,29.0,4718.0,4260994.0,527.0,0.84051,0.001,0.086,63.955,0.532275,0.532999,67084.707202,-172091.992367,6795.8437,23838333.093742,4882.451545,0.718447,0.248707,-0.672923,0.0,24796.0,7.524721,29.096433,5.394111,0.716852,0.382106,-0.165721,0.0,29.0,5
CONT_s6_throughput_OfForestAndMen,6,0.92504,971.0,1162767.0,98.0,1.0,0.016,0.031,9.953,0.930214,0.934606,115920.037863,11649.74997,11864.969388,10959500.298022,3310.5136,0.279016,0.36886,-0.480993,4552.0,19656.0,9.908163,8.950242,2.991695,0.301942,1.052725,3.476644,4.0,24.0,2587.0,2766266.0,247.0,0.843003,0.056,0.031,29.913,0.737671,0.739816,86507.766973,25136.662705,9441.180887,26603667.874702,5157.874356,0.546317,-0.505722,-0.199672,0.0,24796.0,8.829352,24.210505,4.920417,0.55728,-0.216308,0.756831,0.0,29.0,5689.0,5423761.0,625.0,0.862069,0.001,0.031,74.01,0.58602,0.586273,70905.161527,-260568.861638,7481.049655,25087965.163277,5008.788792,0.66953,0.118336,-0.737601,0.0,24796.0,7.846897,27.022107,5.198279,0.662463,0.283714,-0.047255,0.0,29.0,6
CONT_s6_throughput_OfForestAndMen,7,0.932088,1008.0,1161187.0,97.0,1.0,0.072,0.062,9.866,0.92895,0.941567,116408.530061,13587.198344,11971.0,6542482.375,2557.827667,0.213669,0.138215,0.073437,6052.0,18104.0,10.391753,4.907431,2.215272,0.213176,-0.369382,-0.234907,5.0,14.0,2536.0,2972352.0,249.0,0.85274,0.085,0.062,29.853,0.792627,0.79653,101897.182939,-193886.017398,10179.287671,25692387.738267,5068.765899,0.497949,-0.808392,-0.001348,0.0,19656.0,8.684932,18.95881,4.354172,0.501348,-0.749021,0.252715,0.0,24.0,6697.0,6584948.0,722.0,0.878345,0.001,0.062,83.979,0.626824,0.627295,75946.003782,-393201.958127,8010.885645,24989640.215896,4998.963914,0.624021,-0.044037,-0.780927,0.0,24796.0,8.147202,25.078183,5.007812,0.614667,0.146288,0.01407,0.0,29.0,7
CONT_s6_throughput_OfForestAndMen,8,0.931268,1037.0,1160917.0,97.0,1.0,0.041,0.09,9.869,0.928734,0.941062,116207.170666,14077.05186,11968.216495,4478399.546392,2116.222943,0.17682,-0.208644,0.016077,6104.0,16708.0,10.690722,3.507517,1.872837,0.175183,-0.386869,0.753679,6.0,15.0,3016.0,3484871.0,292.0,1.0,0.016,0.09,29.894,0.929299,0.932594,116237.161034,9543.559914,11934.489726,7291372.759344,2700.254203,0.226256,0.212272,0.047237,4552.0,19656.0,10.328767,5.864049,2.42158,0.23445,0.351635,2.686144,4.0,24.0,7734.0,7745865.0,819.0,0.891186,0.001,0.09,93.951,0.658928,0.659566,80852.534711,-538350.103053,8428.579978,24297548.707921,4929.254376,0.584826,-0.196603,-0.753855,0.0,24796.0,8.415669,23.406552,4.838032,0.574884,0.016105,0.109798,0.0,29.0,8
CONT_s6_throughput_OfForestAndMen,9,0.762619,793.0,960101.0,80.0,0.816327,0.013,0.018,9.969,0.768081,0.770469,90600.721045,65416.400383,9796.94898,29485985.079844,5430.099914,0.554264,-0.677902,-0.456979,0.0,19656.0,8.091837,19.713129,4.439947,0.548695,-0.749646,-0.446864,0.0,16.0,2838.0,3282205.0,274.0,0.938356,0.072,0.018,29.91,0.875255,0.877888,112037.793125,53509.597273,11240.428082,14520591.207868,3810.589352,0.339007,-1.28981,2.408502,0.0,19656.0,9.719178,10.704373,3.271754,0.336629,-1.441452,2.40412,0.0,16.0,8527.0,8705966.0,899.0,0.883972,0.001,0.018,104.023,0.669419,0.669542,84850.959141,-669497.006557,8560.438545,24932191.453159,4993.214541,0.58329,-0.238165,-0.75469,0.0,24796.0,8.384464,23.040034,4.800004,0.572488,-0.038539,0.092637,0.0,29.0,9
