run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s6_throughput_TearsOfSteel,0,0.0,1789311547.584,1789311559.273,0.52655,0.358398,0.0,1.582135,773372,945,5,115,52.803948,111.721319,17.460317,165,184.813117,326.245015,74.4647,101,0.839139,0.341979,0.367308,1.458196,0.52655,0.0,945,0.526332,1.000414,773372,0.104348
CONT_s6_throughput_TearsOfSteel,1,10.0,1789311559.273,1789311572.906,0.607786,0.316319,0.0,1.691875,1048580,1180,4,135,62.161764,118.599092,12.118644,143,176.753232,296.587232,58.255847,126,0.839021,0.775122,0.209519,1.311937,0.081236,1.15428,235,0.570316,1.0657,1821952,0.066667
CONT_s6_throughput_TearsOfSteel,2,20.0,1789311572.906,1789311582.906,0.683898,0.287571,0.0,1.343187,856473,953,4,98,52.585678,87.958828,10.912907,104,186.531661,253.332048,50.69115,96,0.244153,0.502628,0.340584,1.343187,0.076112,1.125228,-227,0.602313,1.135453,2678425,0.020408
CONT_s6_throughput_TearsOfSteel,3,30.0,1789311582.906,1789311592.906,0.757299,0.258086,0.0,1.83546,958130,1088,4,99,44.321778,69.601185,12.224265,133,172.882847,238.823398,34.112187,97,0.03498,0.733524,0.335995,1.83546,0.073401,1.107327,135,0.636652,1.189502,3636555,0.010101
CONT_s6_throughput_TearsOfSteel,4,40.0,1789311592.906,1789311602.906,0.722527,0.340777,0.0,1.350833,915862,1091,6,99,58.324496,197.367217,13.657195,149,211.259053,328.213522,71.264814,88,0.039805,0.734127,0.219834,0.980273,-0.034772,0.954084,3,0.652269,1.107713,4552417,0.090909
CONT_s6_throughput_TearsOfSteel,5,50.0,1789311602.906,1789311612.906,0.677884,0.473085,0.0,1.912366,853103,815,6,98,45.001973,118.696,2.331288,19,117.610411,191.809291,58.088313,72,0.0,0.422173,0.597883,1.912366,-0.044643,0.938213,-276,0.656167,1.033097,5405520,0.27551
CONT_s6_throughput_TearsOfSteel,6,60.0,1789311612.906,1789311622.906,0.490944,0.525543,0.0,1.795521,618310,509,6,98,29.914282,124.413361,0.0,0,108.908149,155.320995,47.850363,50,0.94103,0.47766,0.515223,1.408872,-0.18694,0.72423,-306,0.634239,0.774068,6023830,0.489796
CONT_s6_throughput_TearsOfSteel,7,70.0,1789311622.906,1789311632.906,0.744162,0.41993,0.0,1.430611,948251,800,4,99,31.332893,65.10154,0.0,0,138.471705,175.05934,34.909965,79,0.826047,0.926086,0.204752,1.430611,0.253218,1.515778,291,0.647258,1.149715,6972081,0.20202
CONT_s6_throughput_TearsOfSteel,8,80.0,1789311632.906,1789311642.906,0.934296,0.147569,0.466845,1.412842,1169226,1105,6,97,61.615216,80.822503,0.0,0,175.127048,227.365859,29.100194,97,1.059631,0.93652,0.118894,1.177773,0.190134,1.255501,305,0.677125,1.379798,8141307,0.0
CONT_s6_throughput_TearsOfSteel,9,90.0,1789311642.906,1789311652.906,0.798687,0.389079,0.0,1.670543,1010793,903,4,98,41.713541,71.875745,0.0,0,126.115993,192.536843,46.308668,84,0.0,0.650052,0.501174,1.402052,-0.135609,0.854854,-202,0.688683,1.159731,9152100,0.142857
CONT_s6_throughput_TearsOfSteel,10,100.0,1789311652.906,1789311662.906,1.188667,5.086349,0.0,51.091683,1505921,1238,5,98,50.106499,127.156651,1.050081,13,132.888015,218.193632,73.782055,74,0.475826,2.536325,9.180071,51.091683,0.38998,1.488276,335,0.732209,1.623399,10658021,0.244898
CONT_s6_throughput_TearsOfSteel,11,110.0,1789311662.906,1789311672.906,0.441783,0.095952,0.231431,0.609367,555621,567,6,97,161.0183,489.210687,0.176367,1,296.039026,428.919128,71.859793,97,0.58605,0.448668,0.08501,0.58605,-0.746884,0.371663,-671,0.709104,0.623016,11213642,0.0
CONT_s6_throughput_TearsOfSteel,12,120.0,1789311672.906,1789311686.076,0.444027,0.097566,0.231871,0.631162,739931,754,5,128,140.567469,238.015903,0.132626,1,335.871635,489.784214,74.246481,128,0.472176,0.442249,0.110859,0.587793,0.002244,1.005079,187,0.683831,0.649323,11953573,0.0
CONT_s6_throughput_TearsOfSteel,13,130.0,1789311686.076,1789311696.076,0.442131,0.090352,0.232075,0.63433,554742,560,5,96,136.413797,217.728945,0.0,0,339.573273,462.414339,78.277863,96,0.467292,0.438466,0.095774,0.586105,-0.001896,0.99573,-194,0.667636,0.662234,12508315,0.0
CONT_s6_throughput_TearsOfSteel,14,140.0,1789311696.076,1789311706.076,2.541092,20.972835,0.0,208.02325,3223408,2619,6,97,106.993835,235.229179,0.572738,15,314.817824,440.218983,98.361699,85,0.0,0.274398,0.252703,0.691652,2.098961,5.747374,2059,0.786384,3.231363,15731723,0.103093
CONT_s6_throughput_TearsOfSteel,15,150.0,1789311706.076,1789311716.076,0.279084,0.148338,0.0,0.590048,351294,328,4,96,212.47479,922.416337,0.914634,3,300.630038,468.896315,119.054866,82,0.461544,0.277712,0.154279,0.590048,-2.262008,0.109828,-2291,0.756363,0.368982,16083017,0.145833
CONT_s6_throughput_TearsOfSteel,16,160.0,1789311716.076,1789311732.788,0.283498,0.22821,0.0,0.693638,595217,530,4,160,154.711475,757.704912,0.943396,5,381.987664,475.778147,183.690696,114,0.239237,0.285573,0.126295,0.461544,0.004414,1.015816,202,0.713877,0.397124,16678234,0.29375
CONT_s6_throughput_TearsOfSteel,17,170.0,1789311732.788,1789311749.415,0.145607,0.123193,0.0,0.987302,306014,382,4,160,198.659424,434.173241,11.518325,44,514.873821,903.340171,255.079011,127,0.118248,0.134273,0.039874,0.237636,-0.137891,0.513609,-148,0.666982,0.218307,16984248,0.16875
CONT_s6_throughput_TearsOfSteel,18,180.0,1789311749.415,1789311775.009,0.150262,0.116413,0.0,1.280303,482845,590,5,244,206.967809,486.753081,10.169492,60,563.092013,899.463475,358.785672,205,0.344522,0.20182,0.146654,0.378561,0.004655,1.03197,208,0.609097,0.246696,17467093,0.143443
CONT_s6_throughput_TearsOfSteel,19,190.0,1789311775.009,1789311793.269,0.199933,0.152623,0.0,0.573751,456623,442,4,173,180.37791,593.792778,0.0,0,435.638327,660.743403,184.862474,125,0.033852,0.194131,0.113332,0.358937,0.049671,1.330563,-148,0.578906,0.345363,17923716,0.294798
CONT_s6_throughput_TearsOfSteel,20,200.0,1789311793.269,1789311809.475,0.572232,3.265144,0.0,33.132767,1171892,994,3,155,167.615933,654.058468,1.509054,15,360.582277,617.529759,217.598953,115,0.230993,2.192217,7.325313,33.132767,0.372299,2.862119,552,0.578513,0.989143,19095608,0.270968
CONT_s6_throughput_TearsOfSteel,21,210.0,1789311809.475,1789311819.475,0.179305,0.112335,0.0,0.572664,227201,241,4,96,201.115773,571.673185,10.788382,26,450.507522,818.872602,257.045294,74,0.0,0.178606,0.134488,0.572664,-0.392927,0.313343,-753,0.563752,0.318057,19322809,0.21875
CONT_s6_throughput_TearsOfSteel,22,220.0,1789311819.475,1789311833.375,0.428818,2.854729,0.0,33.081061,747719,675,4,132,270.091582,556.972062,1.037037,7,705.746444,1209.778984,358.867886,109,33.081061,1.316435,6.003949,33.081061,0.249513,2.391556,434,0.557192,0.769605,20070528,0.204545
CONT_s6_throughput_TearsOfSteel,23,230.0,1789311833.375,1789311843.375,0.596862,3.535885,0.0,33.081061,749602,590,4,95,2.866353,15.112855,1.186441,7,2.036564,12.040009,4.084153,7,0.0,0.331282,1.342361,6.95879,0.168044,1.391877,-85,0.558525,1.06864,20820130,0.936842
CONT_s6_throughput_TearsOfSteel,24,240.0,1789311843.375,1789311853.375,0.875888,3.110342,0.0,18.290379,1111278,853,4,96,13.600491,28.889357,0.0,0,79.642573,210.003538,97.25697,16,0.0,2.050893,4.670105,18.290379,0.279026,1.467488,263,0.568956,1.539465,21931408,0.875
