run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s7_l2a_Valkaama,0,2.939437,2969.0,3900745.0,13.0,0.125,0.216,1.132,9.199,2.958752,3.392321,315602.842692,941585.956774,37507.163462,54767775575.03126,234025.160132,6.239479,8.060511,69.468216,0.0,2200605.0,28.548077,31948.133588,178.740408,6.261031,8.136738,70.656944,0.0,1688.0,2969.0,3900745.0,13.0,0.125,0.216,1.132,9.199,2.958752,3.392321,315602.842692,941585.956774,37507.163462,54767775575.03126,234025.160132,6.239479,8.060511,69.468216,0.0,2200605.0,28.548077,31948.133588,178.740408,6.261031,8.136738,70.656944,0.0,1688.0,2969.0,3900745.0,13.0,0.125,0.216,1.132,9.199,2.958752,3.392321,315602.842692,941585.956774,37507.163462,54767775575.03126,234025.160132,6.239479,8.060511,69.468216,0.0,2200605.0,28.548077,31948.133588,178.740408,6.261031,8.136738,70.656944,0.0,1688.0,0
CONT_s7_l2a_Valkaama,1,1.755557,1635.0,2185609.0,4.0,0.041237,2.955,0.096,6.949,1.748487,2.516171,244274.787857,-239513.434596,22532.051546,18021590300.174404,134244.516835,5.957936,6.14726,37.042389,0.0,939932.0,16.85567,10068.083119,100.339838,5.952883,6.1425,36.982781,0.0,702.0,4604.0,6086354.0,17.0,0.084577,0.216,0.096,20.235,2.36973,2.406268,235782.786704,1282214.099689,30280.368159,36912043240.81377,192125.071869,6.344872,8.546895,84.310879,0.0,2200605.0,22.905473,21320.27602,146.014643,6.374662,8.684361,87.076508,0.0,1688.0,4604.0,6086354.0,17.0,0.084577,0.216,0.096,20.235,2.36973,2.406268,235782.786704,1282214.099689,30280.368159,36912043240.81377,192125.071869,6.344872,8.546895,84.310879,0.0,2200605.0,22.905473,21320.27602,146.014643,6.374662,8.684361,87.076508,0.0,1688.0,1
CONT_s7_l2a_Valkaama,2,3.691752,3517.0,4629847.0,51.0,0.520408,0.006,0.158,9.836,3.703878,3.765634,406438.086233,282262.02224,47243.336735,25592874752.04008,159977.732051,3.38625,5.477404,32.431467,0.0,1164277.0,35.887755,14268.265622,119.449846,3.328429,5.471582,32.398022,0.0,871.0,8121.0,10716201.0,68.0,0.227425,0.216,0.158,30.173,2.806482,2.841269,288998.161748,829296.859014,35840.137124,33167361901.15226,182119.087141,5.081428,7.912149,75.766642,0.0,2200605.0,27.160535,18990.5379,137.806161,5.073765,8.060137,78.978122,0.0,1688.0,8121.0,10716201.0,68.0,0.227425,0.216,0.158,30.173,2.806482,2.841269,288998.161748,829296.859014,35840.137124,33167361901.15226,182119.087141,5.081428,7.912149,75.766642,0.0,2200605.0,27.160535,18990.5379,137.806161,5.073765,8.060137,78.978122,0.0,1688.0,2
CONT_s7_l2a_Valkaama,3,3.695468,3497.0,4593640.0,49.0,0.505155,0.15,0.102,9.748,3.674912,3.769914,532171.833529,-207149.204624,47357.113402,39525267343.97659,198809.625884,4.198094,6.250599,39.5348,0.0,1479214.0,36.051546,21743.632732,147.457223,4.090177,6.232364,39.315144,0.0,1094.0,8649.0,11409096.0,104.0,0.356164,2.955,0.102,26.943,3.042426,3.387625,411942.826244,-1242913.566243,39072.246575,27652045974.502583,166289.043459,4.255938,6.246789,41.712194,0.0,1479214.0,29.619863,15332.002766,123.822465,4.180386,6.219615,41.313879,0.0,1094.0,11618.0,15309841.0,117.0,0.295455,0.216,0.102,40.229,3.020661,3.044538,348454.909644,127893.794687,38661.214646,34653200268.746185,186153.700658,4.814999,7.436433,64.746776,0.0,2200605.0,29.338384,19626.224447,140.093627,4.775097,7.549517,67.364397,0.0,1688.0,3
CONT_s7_l2a_Valkaama,4,1.172368,1605.0,1477462.0,98.0,1.0,0.001,0.02,9.979,1.18197,1.184457,145919.024134,16515.564392,15076.142857,7834527.752577,2799.022642,0.185659,-1.70359,8.733674,1552.0,24260.0,16.377551,15.495161,3.936389,0.240353,-0.557008,1.983721,2.0,28.0,8619.0,10700949.0,198.0,0.675768,0.006,0.02,29.974,2.853586,2.856062,380380.3362,740420.458469,36522.010239,21730889300.188274,147414.006459,4.036306,7.557778,61.343157,0.0,1479214.0,29.416382,11979.278087,109.449888,3.720712,7.526364,60.877511,0.0,1094.0,13223.0,16787303.0,215.0,0.435223,0.216,0.02,50.311,2.656902,2.669365,348057.18753,150510.52986,33982.394737,27854914351.959442,166897.915961,4.911305,8.349104,81.89861,0.0,2200605.0,26.767206,15754.682006,125.517656,4.689233,8.469403,85.138061,0.0,1688.0,4
CONT_s7_l2a_Valkaama,5,0.756126,915.0,945115.0,67.0,0.690722,0.083,0.119,9.798,0.756092,0.77168,95000.798846,106224.162709,9743.453608,65504241.958763,8093.469093,0.830657,-0.00055,-1.249417,0.0,27260.0,9.43299,63.3314,7.958103,0.843646,0.120095,-1.192613,0.0,28.0,6017.0,7016217.0,214.0,0.732877,0.15,0.119,29.731,1.870991,1.88792,216007.400421,1572136.902516,24028.140411,13339903838.33417,115498.501455,4.806802,11.075019,128.059536,0.0,1479214.0,20.606164,7326.370134,85.594218,4.153816,11.006787,126.876796,0.0,1094.0,14138.0,17732418.0,282.0,0.477157,0.216,0.119,60.212,2.342962,2.355998,317994.377912,709360.411763,30004.091371,23366775481.56109,152861.949096,5.094703,9.155848,98.726027,0.0,2200605.0,23.922166,13216.102406,114.961308,4.80564,9.282884,102.539014,0.0,1688.0,5
CONT_s7_l2a_Valkaama,6,0.736935,789.0,921452.0,67.0,0.690722,0.087,0.012,9.901,0.737162,0.744532,90531.472867,4234.765325,9499.505155,76050370.065077,8720.68633,0.918015,0.263271,-1.308015,0.0,27104.0,8.134021,58.013101,7.616633,0.936392,0.587908,-0.496494,0.0,28.0,3309.0,3344029.0,232.0,0.794521,0.001,0.012,29.987,0.891741,0.892128,106828.609569,286403.940257,11452.15411,55976999.48476,7481.777829,0.653307,-0.412942,-0.924013,0.0,27260.0,11.332192,58.380678,7.640725,0.67425,-0.225832,-1.022574,0.0,28.0,14927.0,18653870.0,349.0,0.507267,0.216,0.012,70.319,2.115341,2.1222,282556.431819,1480415.881734,27113.18314,20129157211.05226,141877.261078,5.232778,9.893891,115.502857,0.0,2200605.0,21.696221,11388.412679,106.716506,4.918668,10.0271,119.869897,0.0,1688.0,6
CONT_s7_l2a_Valkaama,7,1.079531,1366.0,1340196.0,90.0,0.9375,0.091,0.075,9.834,1.072157,1.090255,132972.730964,14072.777651,13960.375,33935036.384211,5825.378647,0.41728,-0.817627,0.967761,0.0,27708.0,14.229167,37.083772,6.089645,0.427969,-0.523261,0.793102,0.0,30.0,3070.0,3206763.0,224.0,0.772414,0.083,0.075,29.842,0.855137,0.859664,98870.78924,25229.685581,11057.803448,62370163.203448,7897.478281,0.7142,-0.195072,-1.095207,0.0,27708.0,10.586207,59.371435,7.705286,0.727861,-0.007709,-0.933942,0.0,30.0,16293.0,19994066.0,439.0,0.559949,0.216,0.075,80.256,1.985828,1.993029,254178.392152,2190188.186676,25502.635204,17683944946.755623,132980.994683,5.214402,10.577434,132.20311,0.0,2200605.0,20.781888,10002.630527,100.013152,4.812515,10.71426,137.112364,0.0,1688.0,7
CONT_s7_l2a_Valkaama,8,1.080377,1622.0,1539065.0,101.0,0.918182,0.028,0.476,10.881,1.081469,1.131561,143465.907911,12201.151698,13991.5,29000116.949541,5385.175666,0.384889,-1.207528,2.77991,0.0,30260.0,14.745455,32.778649,5.725264,0.388273,-1.311424,1.765676,0.0,28.0,3777.0,3800713.0,258.0,0.851485,0.087,0.476,30.822,0.968797,0.986494,127599.250557,-222747.917482,12543.607261,49694802.159815,7049.454033,0.561996,-0.572145,-0.349927,0.0,30260.0,12.465347,50.845649,7.130614,0.572035,-0.442751,-0.5148,0.0,30.0,17915.0,21533131.0,540.0,0.604027,0.216,0.476,91.24,1.873831,1.888043,230778.672268,2857516.355604,24086.276286,15523485064.807089,124593.27857,5.172791,11.309597,151.332311,0.0,2200605.0,20.03915,8778.440795,93.693334,4.675514,11.44936,156.845105,0.0,1688.0,8
CONT_s7_l2a_Valkaama,9,0.980243,1477.0,1245075.0,92.0,0.938776,0.457,0.018,9.641,0.984638,1.03315,138538.601064,-157036.899072,12704.846939,56907056.56396,7543.676595,0.593764,0.549471,0.159182,0.0,35916.0,15.071429,87.654639,9.362406,0.621202,0.743402,0.426339,0.0,45.0,4465.0,4124336.0,283.0,0.930921,0.091,0.018,31.392,1.047417,1.051054,129418.497212,64868.750183,13566.894737,39644710.569741,6296.404575,0.464101,-0.257779,0.856733,0.0,35916.0,14.6875,51.595091,7.182972,0.489053,0.237006,1.586999,0.0,45.0,19392.0,22778206.0,632.0,0.637097,0.216,0.018,101.814,1.785686,1.78979,214076.30848,3393966.485399,22961.90121,14005481999.326227,118344.75907,5.153962,11.919857,168.284606,0.0,2200605.0,19.548387,7921.119755,89.000673,4.55284,12.052409,174.15071,0.0,1688.0,9
