run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s8_dynamic_TearsOfSteel,1789301445.7,0.1001,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301445.802,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301445.904,0.1016,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.005,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.107,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.208,0.1017,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.31,0.1017,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.411,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.512,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.614,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.715,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.817,0.1016,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301446.918,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.02,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.121,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.223,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.324,0.1017,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.426,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.527,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.629,0.1024,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.731,0.1018,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.833,0.1017,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301447.934,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.036,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.137,0.1016,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.24,0.1032,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.342,0.1015,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.443,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.545,0.1014,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.646,0.1016,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.748,0.1022,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.85,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301448.951,0.1013,0,0,0,0,0,0
CONT_s8_dynamic_TearsOfSteel,1789301449.052,0.1013,0,0,0,0,0,0
