run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s8_dynamic_Valkaama,0,0.142708,270.0,215197.0,93.0,0.788136,0.056,0.014,11.964,0.143059,0.143896,17706.025529,3664.531188,1823.70339,2001391.783065,1414.705546,0.775732,0.712421,1.644685,0.0,7744.0,2.288136,2.839345,1.685036,0.736423,0.681773,1.569616,0.0,9.0,270.0,215197.0,93.0,0.788136,0.056,0.014,11.964,0.143059,0.143896,17706.025529,3664.531188,1823.70339,2001391.783065,1414.705546,0.775732,0.712421,1.644685,0.0,7744.0,2.288136,2.839345,1.685036,0.736423,0.681773,1.569616,0.0,9.0,270.0,215197.0,93.0,0.788136,0.056,0.014,11.964,0.143059,0.143896,17706.025529,3664.531188,1823.70339,2001391.783065,1414.705546,0.775732,0.712421,1.644685,0.0,7744.0,2.288136,2.839345,1.685036,0.736423,0.681773,1.569616,0.0,9.0,0
CONT_s8_dynamic_Valkaama,1,0.121845,180.0,150965.0,61.0,0.628866,0.088,0.102,9.81,0.120772,0.123111,13748.529747,10000.040285,1556.340206,2479378.768471,1574.604321,1.011735,0.827698,0.445747,0.0,6714.0,1.85567,3.083119,1.755881,0.946225,0.476671,-0.719886,0.0,7.0,450.0,366162.0,154.0,0.716279,0.056,0.102,21.876,0.132944,0.133905,16563.964872,10961.341744,1703.07907,2224246.540448,1491.390807,0.875703,0.739119,0.94226,0.0,7744.0,2.093023,2.98196,1.726835,0.825044,0.554615,0.469787,0.0,9.0,450.0,366162.0,154.0,0.716279,0.056,0.102,21.876,0.132944,0.133905,16563.964872,10961.341744,1703.07907,2224246.540448,1491.390807,0.875703,0.739119,0.94226,0.0,7744.0,2.093023,2.98196,1.726835,0.825044,0.554615,0.469787,0.0,9.0,1
CONT_s8_dynamic_Valkaama,2,0.100318,140.0,125588.0,49.0,0.5,0.0,0.692,9.308,0.10047,0.10794,11400.178225,14491.40464,1281.510204,2669564.891647,1633.880317,1.274965,1.240128,1.464599,0.0,7552.0,1.428571,2.639175,1.624554,1.137188,0.606979,-0.951294,0.0,6.0,590.0,491750.0,203.0,0.648562,0.056,0.692,31.286,0.122807,0.125743,15600.122566,20083.392658,1571.086262,2393910.341894,1547.226661,0.984813,0.872882,0.962097,0.0,7744.0,1.884984,2.961088,1.720781,0.912889,0.567819,0.110229,0.0,9.0,590.0,491750.0,203.0,0.648562,0.056,0.692,31.286,0.122807,0.125743,15600.122566,20083.392658,1571.086262,2393910.341894,1547.226661,0.984813,0.872882,0.962097,0.0,7744.0,1.884984,2.961088,1.720781,0.912889,0.567819,0.110229,0.0,9.0,2
CONT_s8_dynamic_Valkaama,3,0.083665,101.0,104715.0,32.0,0.326531,1.865,2.002,6.133,0.083772,0.136592,13077.864211,-9646.892172,1068.520408,4625656.149064,2150.733863,2.012815,3.189188,13.036007,0.0,13552.0,1.030612,3.32895,1.824541,1.770347,2.339593,6.877348,0.0,10.0,421.0,381268.0,142.0,0.484642,0.088,2.002,27.91,0.101671,0.109285,12719.833152,21016.882312,1301.255973,3278475.540418,1810.656108,1.391468,2.16502,8.405185,0.0,13552.0,1.43686,3.10987,1.763482,1.227317,1.151882,1.5309,0.0,10.0,691.0,596465.0,235.0,0.571776,0.056,2.002,39.976,0.11352,0.119365,14276.891275,35964.592355,1451.253041,2962045.882155,1721.059523,1.185913,1.828597,7.104737,0.0,13552.0,1.681265,3.17377,1.781508,1.059623,0.942647,1.180832,0.0,10.0,3
CONT_s8_dynamic_Valkaama,4,0.072164,76.0,90609.0,13.0,0.132653,0.042,0.547,9.411,0.072487,0.077024,8585.043975,-2835.793907,924.581633,8740269.503577,2956.39468,3.197549,3.515305,12.224693,0.0,15492.0,0.77551,5.495477,2.344243,3.02284,3.346202,11.01197,0.0,12.0,317.0,320912.0,94.0,0.319728,0.0,0.547,29.453,0.085577,0.087166,10050.897592,23383.651396,1091.537415,5330249.02078,2308.733207,2.115121,3.345383,14.130878,0.0,15492.0,1.078231,3.867579,1.966616,1.823928,2.482452,8.00067,0.0,12.0,767.0,687074.0,248.0,0.48723,0.056,0.547,51.431,0.105635,0.106873,12972.684877,56262.335748,1349.850688,4102745.481599,2025.523508,1.500554,2.813059,12.884502,0.0,15492.0,1.506876,3.738634,1.933555,1.283154,1.585787,3.940075,0.0,12.0,4
CONT_s8_dynamic_Valkaama,5,0.084331,90.0,105618.0,14.0,0.142857,2.008,0.219,7.773,0.084494,0.108702,11562.751426,-6219.424578,1077.734694,8975456.815485,2995.906677,2.779818,3.106572,9.672486,0.0,15597.0,0.918367,6.426257,2.535006,2.76034,3.09948,9.882545,0.0,14.0,267.0,300942.0,59.0,0.20068,1.865,0.219,27.916,0.080251,0.086242,9711.720027,3222.450807,1023.612245,7401228.320123,2720.519862,2.657764,3.368496,12.099067,0.0,15597.0,0.908163,5.059797,2.249399,2.476866,3.10284,10.505629,0.0,14.0,857.0,792692.0,262.0,0.431631,0.056,0.219,61.759,0.102227,0.102682,12213.45252,70491.610647,1305.917628,4885972.036108,2210.423497,1.692621,2.997638,12.827598,0.0,15597.0,1.411862,4.209628,2.051738,1.453215,1.969041,5.755672,0.0,14.0,5
CONT_s8_dynamic_Valkaama,6,0.150786,176.0,187011.0,43.0,0.443299,0.19,0.086,9.724,0.149609,0.153855,18631.208541,2197.091169,1927.948454,7567606.445232,2750.928288,1.426868,1.035825,-0.482205,0.0,7993.0,1.814433,5.881873,2.425257,1.336647,0.949058,-0.482536,0.0,9.0,342.0,383238.0,70.0,0.238908,0.042,0.086,29.872,0.102197,0.102635,12545.929241,-30663.720184,1307.979522,8567806.109168,2927.0815,2.237865,2.554939,6.846346,0.0,15597.0,1.167235,6.105498,2.470931,2.116908,2.353336,5.676497,0.0,14.0,1033.0,979703.0,305.0,0.433239,0.056,0.086,71.892,0.108805,0.109019,12209.285905,70349.396569,1391.62358,5291251.068632,2300.271955,1.652941,2.582875,9.281785,0.0,15597.0,1.46733,4.451278,2.109805,1.437854,1.78221,4.341347,0.0,14.0,6
CONT_s8_dynamic_Valkaama,7,0.9304,1124.0,1362929.0,79.0,0.692982,0.016,0.013,11.623,0.935756,0.938091,73873.654829,-199402.06616,11955.517544,11593229009.95102,107671.858022,9.006039,10.533307,108.970342,0.0,1151394.0,9.859649,6996.93588,83.647689,8.48384,10.531049,108.938917,0.0,895.0,1390.0,1655558.0,136.0,0.440129,2.008,0.013,29.631,0.41844,0.44698,25014.054978,-122813.341518,5357.79288,4284190740.619301,65453.729769,12.216547,17.455692,303.134904,0.0,1151394.0,4.498382,2587.90016,50.871408,11.308824,17.443224,302.844674,0.0,895.0,2157.0,2342632.0,384.0,0.469438,0.056,0.013,83.617,0.223945,0.22413,14006.284984,21649.838162,2863.853301,1621424201.476617,40266.911993,14.060396,28.420159,808.120777,0.0,1151394.0,2.636919,980.040594,31.3056,11.872036,28.366235,806.072593,0.0,895.0,7
CONT_s8_dynamic_Valkaama,8,0.09681,121.0,120741.0,40.0,0.412371,0.399,1.574,8.027,0.096593,0.120335,13190.626539,5575.968935,1244.752577,5089120.875644,2255.907994,1.812334,3.296582,15.780007,0.0,15596.0,1.247423,4.125644,2.031168,1.628292,2.967031,14.248763,0.0,14.0,1421.0,1670681.0,162.0,0.525974,0.19,1.574,29.888,0.422262,0.447184,67223.105745,-364374.17387,5424.288961,4296394232.088874,65546.885754,12.083959,17.435053,302.32215,0.0,1151394.0,4.613636,2594.824178,50.939417,11.041056,17.423373,302.050786,0.0,895.0,2278.0,2463373.0,424.0,0.463388,0.056,1.574,92.056,0.210351,0.214076,20996.846429,-183215.126625,2692.210929,1450130695.354804,38080.581605,14.144724,30.047219,903.86711,0.0,1151394.0,2.489617,876.648415,29.608249,11.89269,29.984301,901.3384,0.0,895.0,8
CONT_s8_dynamic_Valkaama,9,0.03838,41.0,47844.0,6.0,0.061856,2.027,3.342,4.631,0.038275,0.08265,5748.847876,-554.491347,493.237113,5036066.536942,2244.118209,4.549776,5.197982,27.987636,0.0,15544.0,0.42268,3.496564,1.86991,4.423934,5.070282,26.959922,0.0,13.0,1286.0,1531514.0,125.0,0.405844,0.016,3.342,28.294,0.387088,0.433029,60647.072947,54910.105816,4972.448052,4299218029.277422,65568.422501,13.186346,17.438545,302.402389,0.0,1151394.0,4.175325,2596.959389,50.960371,12.205128,17.427671,302.149493,0.0,895.0,2319.0,2511217.0,430.0,0.424901,0.056,3.342,100.288,0.193756,0.20032,24014.927264,-281482.902512,2481.439723,1311896144.879648,36220.106914,14.596408,31.584843,999.368156,0.0,1151394.0,2.291502,793.241352,28.164541,12.290865,31.512842,996.32388,0.0,895.0,9
