run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s8_l2a_BigBuckBunny,0,0.0,1789261911.135,1789261972.261,0.533349,9.486181,0.0,232.280816,61.071966,276.307656,1.481697,51,619.728207,1140.615654,327.976757,355,4097707,3442,4,598
CONT_s8_l2a_BigBuckBunny,1,10.0,1789261972.261,1789262016.342,0.123813,0.140065,0.0,0.849505,148.539831,561.816952,10.056657,71,538.083942,939.715511,316.029557,216,683131,706,3,428
CONT_s8_l2a_BigBuckBunny,2,20.0,1789262016.342,1789262026.342,0.198412,0.569738,0.0,5.474927,55.387529,141.531304,2.575107,6,403.716032,594.667333,214.82813,44,250730,233,2,98
CONT_s8_l2a_BigBuckBunny,3,30.0,1789262026.342,1789262036.342,0.168342,0.165961,0.0,0.387895,66.006671,187.227757,0.497512,1,457.175366,1075.883053,263.159466,51,212619,201,4,98
CONT_s8_l2a_BigBuckBunny,4,40.0,1789262036.342,1789262047.038,0.166007,0.172355,0.0,0.533101,73.510201,216.453171,0.0,0,443.800338,850.577629,246.048152,51,225013,208,2,105
CONT_s8_l2a_BigBuckBunny,5,50.0,1789262047.038,1789262057.038,0.166725,0.175833,0.0,0.476589,53.93942,115.723462,0.0,0,373.719675,434.875316,128.584521,48,211087,189,2,98
CONT_s8_l2a_BigBuckBunny,6,60.0,1789262057.038,1789262067.038,0.16776,0.15761,0.0,0.468693,79.477298,219.251606,0.990099,2,503.118454,1009.615489,279.083548,55,210308,202,4,97
CONT_s8_l2a_BigBuckBunny,7,70.0,1789262067.038,1789262077.038,0.214012,0.216022,0.0,1.203172,91.519758,247.244445,0.775194,2,287.810443,708.305803,241.833974,62,271183,258,2,98
CONT_s8_l2a_BigBuckBunny,8,80.0,1789262077.038,1789262087.038,0.36065,0.044965,0.340974,0.718994,52.495192,62.283344,0.0,0,185.756286,200.738608,44.869351,98,457354,408,2,98
CONT_s8_l2a_BigBuckBunny,9,90.0,1789262087.038,1789262097.038,0.360317,0.104048,0.0,0.703691,84.742998,146.776118,0.0,0,297.662737,499.407847,129.610178,96,453070,430,4,97
CONT_s8_l2a_BigBuckBunny,10,100.0,1789262097.038,1789262107.038,1.805306,15.504339,0.0,153.704942,87.468297,293.011287,1.300813,24,386.050678,933.253718,308.273693,73,2268194,1845,4,97
CONT_s8_l2a_BigBuckBunny,11,110.0,1789262107.038,1789262122.688,0.154004,0.136799,0.0,0.369615,142.966132,295.919989,0.626959,2,607.593574,1186.480434,337.461072,96,304384,319,3,152
CONT_s8_l2a_BigBuckBunny,12,120.0,1789262122.688,1789262132.688,0.154919,0.136449,0.0,0.373845,111.206377,427.731642,0.0,0,574.164418,1162.685346,339.809069,56,194146,195,3,96
CONT_s8_l2a_BigBuckBunny,13,130.0,1789262132.688,1789262142.688,0.149366,0.287039,0.0,1.275402,75.733039,412.579019,2.409639,4,432.953156,1242.320496,379.482538,26,189376,166,2,97
CONT_s8_l2a_BigBuckBunny,14,140.0,1789262142.688,1789262152.688,0.242576,0.291133,0.0,0.692976,57.342287,134.772147,0.0,0,424.718179,550.809687,239.104088,50,307614,261,4,97
CONT_s8_l2a_BigBuckBunny,15,150.0,1789262152.688,1789262162.688,0.238649,0.250505,0.0,0.694962,63.194552,194.340418,0.0,0,457.199765,891.959019,209.503623,53,299902,261,4,96
CONT_s8_l2a_BigBuckBunny,16,160.0,1789262162.688,1789262172.688,0.221613,0.177341,0.0,0.937731,135.668374,238.81329,2.749141,8,528.894057,891.933236,231.490465,71,279147,291,4,96
CONT_s8_l2a_BigBuckBunny,17,170.0,1789262172.688,1789262182.688,0.214358,0.193225,0.0,0.803962,92.11818,232.871921,5.841924,17,401.542558,786.138786,234.471255,69,273085,291,4,97
CONT_s8_l2a_BigBuckBunny,18,180.0,1789262182.688,1789262192.688,0.217266,0.182451,0.0,0.719314,56.248853,116.835779,7.189542,22,355.283265,686.28299,197.534442,73,274205,306,4,96
