run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s9_dynamic_TheSwissAccount,0,0.0,1789314629.563,1789314639.563,1.052144,0.136371,0.583729,1.321369,1331898,1283,6,99,44.144669,50.350074,0.0,0,139.913202,170.598544,18.720723,99,1.191024,1.056658,0.117771,1.194521,1.052144,0.0,1283,1.052125,1.000018,1331898,0.0
CONT_s9_dynamic_TheSwissAccount,1,10.0,1789314639.563,1789314649.563,2.275653,14.837242,0.0,148.252819,2878485,2474,5,98,28.223001,46.113656,2.991108,74,159.98485,141.021297,317.17446,67,0.0,0.056885,0.305002,1.699356,1.223509,2.162872,1191,1.668924,1.363545,4210383,0.326531
CONT_s9_dynamic_TheSwissAccount,2,20.0,1789314649.563,1789314659.563,0.294557,0.536826,0.0,1.768273,374910,295,2,99,32.815906,178.714487,0.0,0,92.147947,118.801026,38.997451,24,1.290604,0.25931,0.53756,1.768273,-1.981096,0.129438,-2179,1.208967,0.243644,4585293,0.757576
CONT_s9_dynamic_TheSwissAccount,3,30.0,1789314659.563,1789314669.563,0.490974,0.619216,0.0,2.148694,617578,492,2,98,26.566034,116.830462,0.0,0,100.215941,138.499294,31.658273,40,1.1777,1.0282,0.497899,1.765937,0.196417,1.666822,197,1.030251,0.476558,5202871,0.591837
CONT_s9_dynamic_TheSwissAccount,4,40.0,1789314669.563,1789314679.563,1.205338,0.120673,1.164085,1.77,1515021,1207,2,98,15.656548,17.40904,0.0,0,96.884902,98.737571,8.139752,98,1.1777,1.197937,0.1057,1.76655,0.714364,2.454994,715,1.065138,1.131626,6717892,0.0
CONT_s9_dynamic_TheSwissAccount,5,50.0,1789314679.563,1789314689.563,1.211984,0.224887,0.821167,1.777527,1525032,1268,4,98,30.088965,52.070071,0.0,0,130.077565,168.431099,30.94982,98,1.165207,1.201128,0.2206,1.777527,0.006646,1.005514,61,1.089563,1.112358,8242924,0.0
CONT_s9_dynamic_TheSwissAccount,6,60.0,1789314689.563,1789314699.563,1.125912,0.473917,0.0,3.060369,1418033,1153,4,98,15.627246,18.467406,1.300954,15,94.980864,108.396471,19.659405,88,3.060369,0.929739,0.798481,3.060369,-0.086072,0.928983,-115,1.094752,1.028463,9660957,0.102041
CONT_s9_dynamic_TheSwissAccount,7,70.0,1789314699.563,1789314709.563,0.575675,1.150578,0.0,3.747949,726611,596,2,98,9.90984,39.269757,0.167785,1,60.424481,78.246918,16.126231,21,0.0,0.737966,1.286735,3.747949,-0.550237,0.511297,-557,1.029901,0.558961,10387568,0.77551
CONT_s9_dynamic_TheSwissAccount,8,80.0,1789314709.563,1789314719.563,1.100924,1.390772,0.0,3.973643,1389840,1178,4,98,10.686191,52.389445,2.631579,31,67.182505,90.825996,40.279221,43,2.458718,2.030285,1.273265,3.973643,0.525249,1.912405,582,1.037864,1.060759,11777408,0.581633
CONT_s9_dynamic_TheSwissAccount,9,90.0,1789314719.563,1789314729.563,2.364227,0.777054,0.0,3.430766,2987249,2366,4,98,14.649675,28.672076,0.887574,21,79.404345,119.303611,21.844173,97,1.406136,1.394206,0.303151,1.876589,1.263303,2.147493,1188,1.170758,2.019399,14764657,0.010204
