run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s9_dynamic_Valkaama,0,1.057092,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s9_dynamic_Valkaama,1,2.403865,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,1,4829362.0,22.838,4829362.0,24.583,22.838,1.745,1.57161
CONT_s9_dynamic_Valkaama,2,0.244254,3,102277.333,0.581,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,4,1284048.5,6.14525,139784.0,3.899,0.82,3.079,0.28681
CONT_s9_dynamic_Valkaama,3,0.253652,2,157721.0,0.9745,5,124454.8,0.7384,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,6,908606.0,4.421667,162630.0,4.002,1.026,2.976,0.325097
CONT_s9_dynamic_Valkaama,4,0.205806,3,86176.0,0.478333,5,114794.0,0.6768,8,110100.25,0.640875,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,125278.0,3.694,0.718,2.976,0.271311
CONT_s9_dynamic_Valkaama,5,0.958176,0,0.0,0.0,3,86176.0,0.478333,5,114794.0,0.6768,8,110100.25,0.640875,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,9,634462.667,3.107222,125278.0,3.694,0.718,2.976,0.271311
CONT_s9_dynamic_Valkaama,6,1.333971,1,2858654.0,17.176,1,2858654.0,17.176,4,779295.5,4.65275,6,572104.0,3.426667,9,415495.111,2.478111,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,10,856881.8,4.5141,2858654.0,20.779,17.176,3.603,1.100593
CONT_s9_dynamic_Valkaama,7,0.541794,2,338043.5,0.875,3,1178247.0,6.308667,3,1178247.0,6.308667,6,632211.5,3.3935,8,513588.875,2.78875,11,401413.0,2.186636,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,12,770408.75,3.907583,356595.0,4.014,0.925,3.089,0.710703
CONT_s9_dynamic_Valkaama,8,1.355635,2,324641.5,0.8745,4,331342.5,0.87475,5,836804.8,4.135,5,836804.8,4.135,8,555319.0,2.76375,10,475799.4,2.4059,13,389602.0,1.984769,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,324767.0,1.646,0.926,0.72,1.578454
CONT_s9_dynamic_Valkaama,9,3.520419,0,0.0,0.0,2,324641.5,0.8745,4,331342.5,0.87475,5,836804.8,4.135,5,836804.8,4.135,8,555319.0,2.76375,10,475799.4,2.4059,13,389602.0,1.984769,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,14,706727.714,3.474286,324767.0,1.646,0.926,0.72,1.578454
CONT_s9_dynamic_Valkaama,10,1.275857,1,6771993.0,21.17,1,6771993.0,21.17,3,2473758.667,7.639667,5,1619472.6,4.9338,6,1826002.833,6.974167,6,1826002.833,6.974167,9,1246060.556,4.808889,11,1048180.636,4.111727,14,845487.071,3.355143,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,6771993.0,22.099,21.17,0.929,2.451511
CONT_s9_dynamic_Valkaama,11,1.39733,0,0.0,0.0,1,6771993.0,21.17,1,6771993.0,21.17,3,2473758.667,7.639667,5,1619472.6,4.9338,6,1826002.833,6.974167,6,1826002.833,6.974167,9,1246060.556,4.808889,11,1048180.636,4.111727,14,845487.071,3.355143,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,6771993.0,22.099,21.17,0.929,2.451511
CONT_s9_dynamic_Valkaama,12,1.409691,0,0.0,0.0,0,0.0,0.0,1,6771993.0,21.17,1,6771993.0,21.17,3,2473758.667,7.639667,5,1619472.6,4.9338,6,1826002.833,6.974167,6,1826002.833,6.974167,9,1246060.556,4.808889,11,1048180.636,4.111727,14,845487.071,3.355143,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,15,1111078.733,4.654,6771993.0,22.099,21.17,0.929,2.451511
