run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s10_dynamic_TearsOfSteel,0,1.010928,0,0.0,0.0,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,13381.0,0.917,0.204,0.713,0.116737
CONT_s10_dynamic_TearsOfSteel,1,1.018873,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,1,13381.0,0.204,13381.0,0.917,0.204,0.713,0.116737
CONT_s10_dynamic_TearsOfSteel,2,0.964758,3,1208931.333,8.374667,3,1208931.333,8.374667,3,1208931.333,8.374667,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,219580.0,3.796,1.538,2.258,0.462761
CONT_s10_dynamic_TearsOfSteel,3,1.087754,0,0.0,0.0,3,1208931.333,8.374667,3,1208931.333,8.374667,3,1208931.333,8.374667,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,219580.0,3.796,1.538,2.258,0.462761
CONT_s10_dynamic_TearsOfSteel,4,1.079063,0,0.0,0.0,0,0.0,0.0,3,1208931.333,8.374667,3,1208931.333,8.374667,3,1208931.333,8.374667,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,4,910043.75,6.332,219580.0,3.796,1.538,2.258,0.462761
CONT_s10_dynamic_TearsOfSteel,5,0.432718,4,867296.75,6.3575,4,867296.75,6.3575,4,867296.75,6.3575,7,1013711.571,7.222,7,1013711.571,7.222,7,1013711.571,7.222,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,366415.0,4.432,2.679,1.753,0.661399
CONT_s10_dynamic_TearsOfSteel,6,1.181445,0,0.0,0.0,4,867296.75,6.3575,4,867296.75,6.3575,4,867296.75,6.3575,7,1013711.571,7.222,7,1013711.571,7.222,7,1013711.571,7.222,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,366415.0,4.432,2.679,1.753,0.661399
CONT_s10_dynamic_TearsOfSteel,7,0.85204,0,0.0,0.0,0,0.0,0.0,4,867296.75,6.3575,4,867296.75,6.3575,4,867296.75,6.3575,7,1013711.571,7.222,7,1013711.571,7.222,7,1013711.571,7.222,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,366415.0,4.432,2.679,1.753,0.661399
CONT_s10_dynamic_TearsOfSteel,8,0.857198,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,867296.75,6.3575,4,867296.75,6.3575,4,867296.75,6.3575,7,1013711.571,7.222,7,1013711.571,7.222,7,1013711.571,7.222,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,8,888670.25,6.34475,366415.0,4.432,2.679,1.753,0.661399
CONT_s10_dynamic_TearsOfSteel,9,0.670947,2,2225694.0,18.6975,2,2225694.0,18.6975,2,2225694.0,18.6975,2,2225694.0,18.6975,6,1320095.833,10.470833,6,1320095.833,10.470833,6,1320095.833,10.470833,9,1283041.0,9.772111,9,1283041.0,9.772111,9,1283041.0,9.772111,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,10,1156075.0,8.8153,252651.0,4.368,2.288,2.08,0.462731
CONT_s10_dynamic_TearsOfSteel,10,0.546487,1,244702.0,2.289,3,1565363.333,13.228,3,1565363.333,13.228,3,1565363.333,13.228,3,1565363.333,13.228,7,1166468.143,9.302,7,1166468.143,9.302,7,1166468.143,9.302,10,1179207.1,9.0238,10,1179207.1,9.0238,10,1179207.1,9.0238,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,11,1073222.909,8.222,244702.0,3.744,2.289,1.455,0.522868
