run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s11_bola_Valkaama,0,0.634615,749.0,883942.0,103.0,0.944954,0.544,0.026,10.529,0.637133,0.671625,82274.345574,-26310.757199,8109.559633,13962927.452429,3736.700075,0.460777,-0.117389,0.225804,0.0,19204.0,6.87156,9.964832,3.156712,0.459388,0.659714,3.994459,0.0,22.0,749.0,883942.0,103.0,0.944954,0.544,0.026,10.529,0.637133,0.671625,82274.345574,-26310.757199,8109.559633,13962927.452429,3736.700075,0.460777,-0.117389,0.225804,0.0,19204.0,6.87156,9.964832,3.156712,0.459388,0.659714,3.994459,0.0,22.0,749.0,883942.0,103.0,0.944954,0.544,0.026,10.529,0.637133,0.671625,82274.345574,-26310.757199,8109.559633,13962927.452429,3736.700075,0.460777,-0.117389,0.225804,0.0,19204.0,6.87156,9.964832,3.156712,0.459388,0.659714,3.994459,0.0,22.0,0
CONT_s11_bola_Valkaama,1,0.642626,667.0,804952.0,68.0,0.693878,0.077,2.358,7.565,0.643962,0.851238,89393.781355,-12529.158751,8213.795918,457470071.071323,21388.549999,2.603979,9.004507,83.571472,0.0,212432.0,6.806122,296.797076,17.227799,2.531221,8.954504,82.948034,0.0,171.0,1416.0,1688894.0,171.0,0.826087,0.544,2.358,18.197,0.640369,0.742493,84183.553734,-38684.429506,8158.908213,222733756.044932,14924.267354,1.829199,12.456093,168.223841,0.0,212432.0,6.84058,144.979316,12.040736,1.760192,12.315084,165.568767,0.0,171.0,1416.0,1688894.0,171.0,0.826087,0.544,2.358,18.197,0.640369,0.742493,84183.553734,-38684.429506,8158.908213,222733756.044932,14924.267354,1.829199,12.456093,168.223841,0.0,212432.0,6.84058,144.979316,12.040736,1.760192,12.315084,165.568767,0.0,171.0,1
CONT_s11_bola_Valkaama,2,0.761027,762.0,943421.0,86.0,0.886598,1.221,0.089,8.69,0.754737,0.868512,103683.686585,-81257.476214,9725.989691,23329803.801976,4830.09356,0.496617,-0.473078,-0.481607,0.0,17767.0,7.85567,15.333119,3.915753,0.498462,-0.478252,-0.517756,0.0,15.0,2178.0,2632315.0,257.0,0.845395,0.544,0.089,30.466,0.677145,0.691214,83155.711675,-35402.320764,8658.930921,159356485.840097,12623.647882,1.457876,13.873283,221.87055,0.0,212432.0,7.164474,103.649427,10.180836,1.421017,13.75009,219.133873,0.0,171.0,2178.0,2632315.0,257.0,0.845395,0.544,0.089,30.466,0.677145,0.691214,83155.711675,-35402.320764,8658.930921,159356485.840097,12623.647882,1.457876,13.873283,221.87055,0.0,212432.0,7.164474,103.649427,10.180836,1.421017,13.75009,219.133873,0.0,171.0,2
CONT_s11_bola_Valkaama,3,0.85212,854.0,1067198.0,98.0,1.0,0.013,0.069,9.918,0.853758,0.860817,106523.501899,13971.33255,10889.77551,14034409.248054,3746.252694,0.344016,0.236523,-1.927003,7552.0,16065.0,8.714286,9.278351,3.046038,0.349545,0.258015,-1.837215,6.0,15.0,2283.0,2815571.0,252.0,0.860068,0.077,0.069,29.854,0.750819,0.754491,94016.052386,-85174.781745,9609.457338,165508381.392865,12865.006078,1.338786,13.402638,209.344065,0.0,212432.0,7.791809,107.329796,10.360009,1.329603,13.37141,208.71192,0.0,171.0,3032.0,3699513.0,355.0,0.883085,0.544,0.069,40.486,0.720117,0.731021,89233.928619,-107997.695984,9202.768657,124726112.263055,11168.084539,1.213557,15.006921,271.215413,0.0,212432.0,7.542289,81.006935,9.000385,1.193323,14.923114,269.061065,0.0,171.0,3
CONT_s11_bola_Valkaama,4,0.405183,416.0,507345.0,44.0,0.44898,0.034,0.051,9.915,0.405876,0.409356,44102.802475,35900.847261,5176.989796,40893744.175153,6394.821669,1.235239,0.719088,-1.046467,0.0,18104.0,4.244898,27.918788,5.283823,1.244747,0.765024,-0.914019,0.0,16.0,2032.0,2517964.0,228.0,0.778157,1.221,0.051,28.728,0.671457,0.701187,91094.96465,36411.654648,8593.733788,32029962.997382,5659.50201,0.658561,-0.227106,-1.129281,0.0,18104.0,6.935154,21.170438,4.601134,0.663451,-0.190752,-1.104352,0.0,16.0,3448.0,4206858.0,399.0,0.798,0.544,0.051,50.504,0.658621,0.66638,88010.943167,-86165.267533,8413.716,110739154.123591,10523.267274,1.250728,14.575004,280.818933,0.0,212432.0,6.896,72.241667,8.49951,1.232528,14.401721,276.195613,0.0,171.0,4
CONT_s11_bola_Valkaama,5,1.963394,2075.0,2461704.0,98.0,1.0,0.051,0.014,9.935,1.969363,1.982248,310641.141016,-282687.432357,25119.428571,17911074046.94846,133832.26086,5.327839,9.741585,92.93652,6104.0,1336220.0,21.173469,11550.000526,107.470929,5.075735,9.74094,92.928241,6.0,1074.0,3345.0,4036247.0,240.0,0.816327,0.013,0.014,29.973,1.076333,1.077302,118771.26034,-213025.416021,13728.731293,6018342413.883181,77577.976346,5.650775,16.935763,286.221018,0.0,1336220.0,11.377551,3887.519085,62.349973,5.480087,16.922589,285.923789,0.0,1074.0,5523.0,6668562.0,497.0,0.831104,0.544,0.014,60.541,0.873148,0.881196,97296.724205,-268358.396691,11151.441472,3041039946.190035,55145.624905,4.945157,23.337935,556.619808,0.0,1336220.0,9.235786,1964.994563,44.328259,4.79962,23.31299,555.824177,0.0,1074.0,5
CONT_s11_bola_Valkaama,6,0.952409,971.0,1184313.0,97.0,1.0,0.089,0.066,9.845,0.94745,0.962367,119190.435479,9608.183097,12209.412371,14223532.640679,3771.409901,0.308894,0.619516,-0.694098,6052.0,21156.0,10.010309,12.239476,3.498496,0.349489,1.864958,7.183642,5.0,29.0,3462.0,4153362.0,239.0,0.8157,0.034,0.066,29.9,1.107563,1.111267,164585.689278,-602000.667165,14175.296928,6036829036.798514,77697.033642,5.481157,16.898656,285.050781,0.0,1336220.0,11.8157,3899.822081,62.448555,5.285219,16.879419,284.615478,0.0,1074.0,6494.0,7852875.0,594.0,0.854676,0.544,0.066,70.489,0.883599,0.891245,108554.377354,-513671.817791,11299.100719,2618097588.015776,51167.348847,4.528444,25.120751,646.060025,0.0,1336220.0,9.343885,1692.113561,41.135308,4.402377,25.085745,644.85139,0.0,1074.0,6
CONT_s11_bola_Valkaama,7,0.955395,1022.0,1201718.0,98.0,1.0,0.037,0.003,9.96,0.961374,0.965235,119422.877605,8679.109621,12262.428571,10021391.463918,3165.658141,0.258159,0.636916,-0.005226,6052.0,21104.0,10.428571,6.886598,2.624233,0.251639,0.187744,-0.578633,5.0,16.0,4068.0,4847735.0,293.0,1.0,0.051,0.003,29.946,1.292729,1.29506,153248.927114,561975.387003,16545.170648,5994991296.40229,77427.329131,4.679754,16.985006,286.9964,6052.0,1336220.0,13.883959,3869.952242,62.20894,4.480634,16.976559,286.804035,5.0,1074.0,7516.0,9054593.0,692.0,0.872636,0.544,0.003,80.552,0.893189,0.899254,114273.228662,-657417.528065,11418.150063,2295469073.385278,47911.05377,4.196043,26.802783,736.45891,0.0,1336220.0,9.477932,1483.706899,38.518916,4.064063,26.759386,734.863065,0.0,1074.0,7
CONT_s11_bola_Valkaama,8,1.851517,1942.0,2306857.0,97.0,1.0,0.099,0.031,9.87,1.845486,1.869793,285303.018814,-329217.639577,23782.030928,13653121411.217794,116846.572099,4.913229,9.689632,91.930275,3582.0,1162483.0,20.020619,7989.082904,89.38167,4.464481,9.687286,91.900297,4.0,891.0,3935.0,4692888.0,292.0,1.0,0.089,0.031,29.88,1.251437,1.256463,146695.210808,-241384.599735,16071.534247,4541830827.583015,67393.106677,4.193321,16.943912,285.733474,3582.0,1162483.0,13.476027,2663.315575,51.607321,3.829565,16.923131,285.262225,4.0,891.0,9458.0,11361450.0,789.0,0.886517,0.544,0.031,90.524,0.997723,1.004061,120590.336377,-840906.341198,12765.674157,3534221641.279531,59449.31994,4.656967,20.599543,431.262458,0.0,1336220.0,10.626966,2195.336505,46.854418,4.409012,20.666361,436.28051,0.0,1074.0,8
CONT_s11_bola_Valkaama,9,0.892332,976.0,1115002.0,97.0,1.0,0.072,0.036,9.892,0.892002,0.90174,111277.927114,13285.874138,11494.865979,5894046.554768,2427.765754,0.211204,0.086499,0.478963,4552.0,18104.0,10.061856,4.287801,2.070701,0.205797,-0.401445,-0.076476,4.0,14.0,3940.0,4623577.0,292.0,1.0,0.037,0.036,29.927,1.232954,1.235961,173186.836855,-276629.691205,15834.167808,4541036388.456277,67387.212351,4.25581,16.958959,286.073788,3582.0,1162483.0,13.493151,2660.573836,51.580751,3.822736,16.948304,285.834057,4.0,891.0,10434.0,12476452.0,886.0,0.89767,0.544,0.036,100.519,0.987266,0.992963,126793.717181,-1037914.585768,12640.782168,3187251645.856151,56455.749449,4.46616,21.692383,478.567519,0.0,1336220.0,10.571429,1979.811069,44.495068,4.208993,21.759826,484.046472,0.0,1074.0,9
