run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s11_dynamic_OfForestAndMen,1789543993.435,0.1001,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543993.537,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543993.638,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543993.739,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543993.841,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543993.943,0.1024,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.045,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.146,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.247,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.349,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.451,0.1022,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.552,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.654,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.755,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.857,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543994.958,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.06,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.161,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.262,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.364,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.465,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.567,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.668,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.769,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.871,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543995.972,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.074,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.175,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.276,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.378,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.479,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.581,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.682,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.783,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.885,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543996.986,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543997.088,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543997.189,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543997.29,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543997.392,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_OfForestAndMen,1789543997.493,0.1015,0,0,0,0,0,0
