run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s11_l2a_TheSwissAccount,0,0.0,3.7855,1.357,Critical
CONT_s11_l2a_TheSwissAccount,1,10.0,3.7767,0,Good
CONT_s11_l2a_TheSwissAccount,2,20.0,3.7894,0,Good
CONT_s11_l2a_TheSwissAccount,3,30.0,3.8071,0,Good
CONT_s11_l2a_TheSwissAccount,4,40.0,3.8115,0.993,Degraded
CONT_s11_l2a_TheSwissAccount,5,50.0,3.8336,0.229,Degraded
CONT_s11_l2a_TheSwissAccount,6,60.0,3.7688,1.783,Critical
CONT_s11_l2a_TheSwissAccount,7,70.0,3.8051,0,Good
CONT_s11_l2a_TheSwissAccount,8,80.0,3.8336,0,Good
CONT_s11_l2a_TheSwissAccount,9,90.0,3.8115,0,Good
CONT_s11_l2a_TheSwissAccount,10,100.0,3.0754,0,Good
CONT_s11_l2a_TheSwissAccount,11,110.0,3.8248,0,Good
CONT_s11_l2a_TheSwissAccount,12,120.0,3.6463,0,Good
CONT_s11_l2a_TheSwissAccount,13,130.0,2.8969,1.567,Critical
CONT_s11_l2a_TheSwissAccount,14,140.0,2.736,0,Degraded
CONT_s11_l2a_TheSwissAccount,15,150.0,2.736,0,Degraded
CONT_s11_l2a_TheSwissAccount,16,160.0,1.896,0,Critical
CONT_s11_l2a_TheSwissAccount,17,170.0,2.8511,0,Degraded
CONT_s11_l2a_TheSwissAccount,18,180.0,2.8969,0,Degraded
CONT_s11_l2a_TheSwissAccount,19,190.0,2.97,0,Degraded
CONT_s11_l2a_TheSwissAccount,20,200.0,4.1947,0,Excellent
CONT_s11_l2a_TheSwissAccount,21,210.0,4.3485,0,Excellent
CONT_s11_l2a_TheSwissAccount,22,220.0,4.3885,0,Excellent
CONT_s11_l2a_TheSwissAccount,23,230.0,4.4114,0,Excellent
CONT_s11_l2a_TheSwissAccount,24,240.0,4.4148,0,Excellent
CONT_s11_l2a_TheSwissAccount,25,250.0,4.4148,0,Excellent
CONT_s11_l2a_TheSwissAccount,26,260.0,4.3069,0,Excellent
CONT_s11_l2a_TheSwissAccount,27,270.0,3.8755,0,Good
CONT_s11_l2a_TheSwissAccount,28,280.0,3.8462,0,Good
CONT_s11_l2a_TheSwissAccount,29,290.0,3.8755,0,Good
