run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s11_throughput_ElephantsDream,0,0.663599,1241.0,1255067.0,148.0,1.0,0.095,0.066,15.029,0.660996,0.668077,83124.957887,6880.790499,8480.182432,1765695.143363,1328.79462,0.156694,-1.087144,-0.31414,6104.0,11245.0,8.385135,1.843859,1.357888,0.16194,-0.721428,0.191368,6.0,12.0,1241.0,1255067.0,148.0,1.0,0.095,0.066,15.029,0.660996,0.668077,83124.957887,6880.790499,8480.182432,1765695.143363,1328.79462,0.156694,-1.087144,-0.31414,6104.0,11245.0,8.385135,1.843859,1.357888,0.16194,-0.721428,0.191368,6.0,12.0,1241.0,1255067.0,148.0,1.0,0.095,0.066,15.029,0.660996,0.668077,83124.957887,6880.790499,8480.182432,1765695.143363,1328.79462,0.156694,-1.087144,-0.31414,6104.0,11245.0,8.385135,1.843859,1.357888,0.16194,-0.721428,0.191368,6.0,12.0,0
CONT_s11_throughput_ElephantsDream,1,0.837269,977.0,1048442.0,81.0,0.826531,0.036,1.784,8.18,0.838754,1.025371,108614.180443,-63612.781216,10698.387755,959739945.064591,30979.669867,2.895733,9.030454,83.021755,0.0,305908.0,9.969388,660.380497,25.697869,2.577678,8.939096,81.851389,0.0,254.0,2218.0,2303509.0,229.0,0.930894,0.095,1.784,23.311,0.731563,0.790531,87778.81604,-30207.383455,9363.857724,382222193.861307,19550.503673,2.087869,14.385211,214.312827,0.0,305908.0,9.01626,263.167081,16.222425,1.799241,14.199699,210.55844,0.0,254.0,2218.0,2303509.0,229.0,0.930894,0.095,1.784,23.311,0.731563,0.790531,87778.81604,-30207.383455,9363.857724,382222193.861307,19550.503673,2.087869,14.385211,214.312827,0.0,305908.0,9.01626,263.167081,16.222425,1.799241,14.199699,210.55844,0.0,254.0,1
CONT_s11_throughput_ElephantsDream,2,0.564116,578.0,707509.0,64.0,0.653061,0.158,0.023,9.819,0.566007,0.576441,62702.90862,42969.600486,7219.479592,37145390.808858,6094.701864,0.844202,0.14079,-1.12113,0.0,19851.0,5.897959,24.71113,4.971029,0.842839,0.148119,-1.067177,0.0,18.0,2796.0,3011018.0,293.0,0.851744,0.095,0.023,35.072,0.684517,0.68682,88747.467917,-34499.887595,8752.959302,284460057.49105,16865.943718,1.926885,16.090807,279.263596,0.0,305908.0,8.127907,196.951522,14.033942,1.726637,15.822409,273.04339,0.0,254.0,2796.0,3011018.0,293.0,0.851744,0.095,0.023,35.072,0.684517,0.68682,88747.467917,-34499.887595,8752.959302,284460057.49105,16865.943718,1.926885,16.090807,279.263596,0.0,305908.0,8.127907,196.951522,14.033942,1.726637,15.822409,273.04339,0.0,254.0,2
CONT_s11_throughput_ElephantsDream,3,0.85216,875.0,1056758.0,97.0,1.0,0.079,0.102,9.819,0.845406,0.86099,106756.511955,10180.206722,10894.412371,8843940.265679,2973.876303,0.272973,0.67504,-0.328945,6052.0,18104.0,9.020619,5.895404,2.428045,0.269166,0.520083,-0.615524,5.0,14.0,2430.0,2812709.0,242.0,0.825939,0.036,0.102,29.862,0.750056,0.753522,90990.8615,27667.044548,9599.68942,336928103.721703,18355.601426,1.912104,14.532562,230.761221,0.0,305908.0,8.293515,232.564239,15.250057,1.838793,14.457979,229.041735,0.0,254.0,3671.0,4067776.0,390.0,0.884354,0.095,0.102,44.993,0.72012,0.723273,89452.917938,-45417.86173,9223.981859,224467730.440579,14982.247176,1.624271,17.799824,347.900474,0.0,305908.0,8.324263,154.955978,12.448132,1.495403,17.623897,343.296564,0.0,254.0,3
CONT_s11_throughput_ElephantsDream,4,0.858538,900.0,1075579.0,98.0,1.0,0.0,0.079,9.921,0.860463,0.867315,106920.277699,13339.340758,10975.295918,8758009.282664,2959.393398,0.269641,0.123098,0.027625,4552.0,19656.0,9.183673,6.295813,2.509146,0.273218,0.034692,-0.421835,4.0,16.0,2353.0,2839846.0,259.0,0.883959,0.158,0.079,29.763,0.757292,0.763323,97308.433362,-151598.929058,9692.307167,21241062.871079,4608.802759,0.475511,-0.575571,0.217412,0.0,19851.0,8.030717,14.536724,3.812706,0.474765,-0.602254,0.17093,0.0,18.0,4571.0,5143355.0,488.0,0.90538,0.095,0.079,55.016,0.745549,0.747907,92461.424928,-95569.817403,9542.402597,185615713.798581,13624.085797,1.427742,19.289239,414.714546,0.0,305908.0,8.480519,127.974992,11.312603,1.333952,19.160968,410.995632,0.0,254.0,4
CONT_s11_throughput_ElephantsDream,5,1.624116,1768.0,2038498.0,98.0,1.0,0.024,0.038,9.938,1.630798,1.640972,247935.932093,-243752.029268,20801.0,4187918194.144331,64714.126697,3.111107,6.811578,44.614453,6104.0,492546.0,18.040816,2905.173575,53.899662,2.987651,6.795465,44.327996,6.0,406.0,3543.0,4170835.0,293.0,1.0,0.079,0.038,29.883,1.112223,1.116577,132138.587632,-217651.946886,14234.931741,1418751406.187105,37666.3166,2.646048,11.950473,142.048673,4552.0,492546.0,12.09215,986.953808,31.415821,2.598034,11.91855,141.128795,4.0,406.0,6339.0,7181853.0,586.0,0.919937,0.095,0.038,65.057,0.881344,0.883146,101079.799476,-272543.257254,11274.494505,812264650.435898,28500.257024,2.527852,14.651173,223.124712,0.0,492546.0,9.951334,563.257062,23.733037,2.38491,14.618058,222.053998,0.0,406.0,5
CONT_s11_throughput_ElephantsDream,6,0.630752,656.0,783634.0,64.0,0.659794,0.065,0.102,9.833,0.626907,0.637554,71608.647748,79386.544021,8078.701031,43658212.128436,6607.436124,0.817883,-0.053719,-1.268416,0.0,25345.0,6.762887,30.641108,5.535441,0.818503,-0.047737,-1.303679,0.0,21.0,3324.0,3897711.0,260.0,0.887372,0.0,0.102,29.898,1.03939,1.042936,149158.677906,-183147.940561,13302.767918,1438208132.747324,37923.714649,2.850814,11.77694,139.30919,0.0,492546.0,11.34471,1000.829398,31.635888,2.788603,11.736588,138.270203,0.0,406.0,6995.0,7965487.0,650.0,0.885559,0.095,0.102,74.993,0.847505,0.849731,108369.169756,-439706.609681,10852.162125,711666107.369314,26677.070817,2.458226,15.543615,253.521898,0.0,492546.0,9.529973,493.900192,22.223865,2.331997,15.498329,252.08876,0.0,406.0,6
CONT_s11_throughput_ElephantsDream,7,0.95784,1020.0,1203868.0,98.0,1.0,0.0,0.048,9.952,0.963094,0.96774,119254.315725,14986.834148,12284.367347,11763046.853356,3429.729851,0.279195,0.211704,-0.744919,4552.0,21104.0,10.408163,10.945087,3.308336,0.31786,1.282429,4.914212,4.0,27.0,3444.0,4026000.0,260.0,0.887372,0.024,0.048,29.928,1.0736,1.076183,124979.333854,426004.792114,13740.614334,1437544020.141852,37914.957736,2.759335,11.750655,138.896157,0.0,492546.0,11.754266,1000.932559,31.637518,2.691577,11.696553,137.633555,0.0,406.0,8015.0,9169355.0,748.0,0.899038,0.095,0.048,85.047,0.861073,0.862521,110851.433084,-505581.559225,11020.859375,629325647.788866,25086.363782,2.276262,16.466503,285.863934,0.0,492546.0,9.633413,437.012264,20.904838,2.170034,16.409825,284.028499,0.0,406.0,7
CONT_s11_throughput_ElephantsDream,8,1.76398,1932.0,2203484.0,97.0,1.0,0.055,0.076,9.869,1.762787,1.786186,262170.896436,-318754.206983,22716.329897,5846551145.681705,76462.743514,3.365981,7.367293,54.699109,6052.0,662580.0,19.917526,4106.993127,64.085826,3.21756,7.392345,55.153173,5.0,558.0,3608.0,4190986.0,259.0,0.886986,0.065,0.076,29.859,1.117596,1.122874,129219.265064,-333033.046759,14352.691781,1984961356.007766,44552.905135,3.10415,12.789447,170.412792,0.0,662580.0,12.356164,1399.405357,37.408627,3.027527,12.80501,171.233756,0.0,558.0,9947.0,11372839.0,845.0,0.90958,0.095,0.076,95.019,0.955801,0.957521,114944.863026,-630577.549249,12242.022605,1181165099.84755,34368.082574,2.807386,14.508756,224.975513,0.0,662580.0,10.707212,826.095217,28.741872,2.684347,14.536373,226.535084,0.0,558.0,8
CONT_s11_throughput_ElephantsDream,9,0.892914,1010.0,1114463.0,97.0,1.0,0.027,0.091,9.882,0.89157,0.902217,111522.676535,10736.63727,11489.309278,3964796.174184,1991.179594,0.173307,0.130182,-0.918413,7604.0,15208.0,10.412371,2.974012,1.724532,0.165623,-0.065339,-0.528763,7.0,14.0,3962.0,4521815.0,292.0,1.0,0.0,0.091,29.909,1.205817,1.209486,167602.265509,-258076.052213,15485.667808,1960190574.861779,44274.039514,2.859033,12.959643,173.489206,4552.0,662580.0,13.568493,1379.634468,37.143431,2.737476,12.987473,174.556877,4.0,558.0,10957.0,12487302.0,942.0,0.918129,0.095,0.091,105.004,0.949695,0.951377,120147.241091,-802843.334096,12170.859649,1069806434.399795,32707.895597,2.687394,15.24494,248.714312,0.0,662580.0,10.679337,748.204392,27.353325,2.561332,15.270717,250.370128,0.0,558.0,9
CONT_s11_throughput_ElephantsDream,10,0.852767,926.0,1064935.0,93.0,0.958763,0.012,0.102,9.886,0.851948,0.861772,107396.104315,20733.717269,10978.71134,11807566.478308,3436.213974,0.312989,-1.134665,1.965972,0.0,17793.0,9.546392,8.75043,2.958112,0.309867,-1.226409,2.087851,0.0,15.0,3868.0,4382882.0,287.0,0.986254,0.055,0.102,29.843,1.168769,1.174917,146678.317324,348726.686815,15061.450172,1970074453.317338,44385.520762,2.946962,12.934787,172.822317,0.0,662580.0,13.292096,1385.586799,37.223471,2.800421,12.970038,174.029437,0.0,558.0,11883.0,13552237.0,1035.0,0.921638,0.095,0.102,114.993,0.941209,0.942822,122692.45839,-895463.496979,12067.88691,978441240.772405,31280.045409,2.592007,15.9315,272.08996,0.0,662580.0,10.581478,684.370138,26.160469,2.472289,15.957448,273.874602,0.0,558.0,10
CONT_s11_throughput_ElephantsDream,11,0.447388,532.0,564148.0,82.0,0.836735,0.001,0.013,9.986,0.451318,0.451951,52961.292525,40200.92852,5756.612245,19081090.734694,4368.190785,0.758813,0.826164,0.58448,0.0,19112.0,5.428571,14.515464,3.809917,0.701827,0.536264,-0.087741,0.0,15.0,2468.0,2743546.0,272.0,0.931507,0.027,0.013,29.96,0.731612,0.732589,95319.11323,145916.408699,9395.705479,18319820.490279,4280.165942,0.455545,-0.594145,-0.285334,0.0,19112.0,8.452055,13.465047,3.669475,0.434152,-0.723644,-0.157174,0.0,15.0,12415.0,14116385.0,1117.0,0.914824,0.095,0.013,125.082,0.902077,0.902856,122721.374718,-895790.928835,11561.330876,904305069.642891,30071.665562,2.601056,16.538323,294.26675,0.0,662580.0,10.167895,632.511952,25.14979,2.473451,16.564055,296.166847,0.0,558.0,11
CONT_s11_throughput_ElephantsDream,12,0.407455,514.0,508542.0,89.0,0.917526,0.09,0.03,9.88,0.406834,0.411775,50620.311106,4777.448832,5242.701031,8256733.857603,2873.453298,0.548086,0.226987,0.508484,0.0,14375.0,5.298969,10.482603,3.237685,0.611003,1.349387,4.402918,0.0,20.0,1972.0,2137625.0,264.0,0.90411,0.012,0.03,29.958,0.570033,0.570832,66791.016643,268111.317142,7320.633562,19703086.700313,4438.815912,0.606343,0.199943,-0.671965,0.0,19112.0,6.753425,15.079885,3.883283,0.575009,0.167091,-0.387508,0.0,20.0,12929.0,14624927.0,1206.0,0.915023,0.095,0.03,135.065,0.865444,0.866245,120563.946074,-801992.432715,11096.302731,841026989.694921,29000.465336,2.613525,17.127784,316.447405,0.0,662580.0,9.80956,588.307669,24.255054,2.472594,17.148231,318.337076,0.0,558.0,12
CONT_s11_throughput_ElephantsDream,13,0.41185,974.0,825773.0,155.0,1.0,0.073,0.095,15.936,0.41022,0.414545,51465.024093,6364.081614,5327.567742,1441856.467784,1200.773279,0.225389,-0.123599,-0.275342,3052.0,8322.0,6.283871,2.853959,1.689366,0.268842,0.692023,1.587314,3.0,13.0,2020.0,1898463.0,326.0,0.931429,0.001,0.095,36.008,0.420665,0.421787,51429.498571,46995.149566,5424.18,8255099.317077,2873.168863,0.529696,1.025863,3.69464,0.0,19112.0,5.771429,8.388866,2.896354,0.501844,0.656121,2.464544,0.0,20.0,13903.0,15450700.0,1361.0,0.923965,0.095,0.095,151.104,0.816989,0.818017,115190.704816,-545601.095499,10489.273591,755754042.704309,27490.981116,2.620866,18.054132,352.509582,0.0,662580.0,9.438561,527.829273,22.974535,2.434114,18.100733,355.298021,0.0,558.0,13
