run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s12_bola_TearsOfSteel,0,0.202007,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,1,1.098235,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,2,0.409183,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,3,0.36089,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,4,0.179763,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,5,0.183015,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,1,13381.0,0.203,13381.0,0.916,0.203,0.713,0.116865
CONT_s12_bola_TearsOfSteel,6,0.272049,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,5543777.0,118.855,118.44,0.415,0.373146
CONT_s12_bola_TearsOfSteel,7,0.258918,0,0.0,0.0,0,0.0,0.0,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,1,5543777.0,118.44,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,2,2778579.0,59.3215,5543777.0,118.855,118.44,0.415,0.373146
CONT_s12_bola_TearsOfSteel,8,3.06441,5,953742.4,5.8474,5,953742.4,5.8474,5,953742.4,5.8474,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,6,1718748.167,24.612833,7,1475124.286,21.125714,7,1475124.286,21.125714,7,1475124.286,21.125714,7,1475124.286,21.125714,7,1475124.286,21.125714,390734.0,0.73,0.313,0.417,4.282016
CONT_s12_bola_TearsOfSteel,9,2.314753,5,373341.2,0.9812,10,663541.8,3.4143,10,663541.8,3.4143,10,663541.8,3.4143,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,11,1107199.545,13.871182,12,1016048.0,12.732167,12,1016048.0,12.732167,12,1016048.0,12.732167,12,1016048.0,12.732167,273024.0,1.356,0.939,0.417,1.610761
