run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s12_dynamic_ElephantsDream,0,0.614521,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,13821.0,0.916,0.204,0.712,0.120707
CONT_s12_dynamic_ElephantsDream,1,0.410518,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,13821.0,0.916,0.204,0.712,0.120707
CONT_s12_dynamic_ElephantsDream,2,0.407618,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,13821.0,0.916,0.204,0.712,0.120707
CONT_s12_dynamic_ElephantsDream,3,0.407494,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,1,13821.0,0.204,13821.0,0.916,0.204,0.712,0.120707
CONT_s12_dynamic_ElephantsDream,4,0.087426,2,1899406.5,32.5865,2,1899406.5,32.5865,2,1899406.5,32.5865,2,1899406.5,32.5865,2,1899406.5,32.5865,2,1899406.5,32.5865,2,1899406.5,32.5865,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,3,1270878.0,21.792333,22477.0,4.243,0.103,4.14,0.042379
CONT_s12_dynamic_ElephantsDream,5,0.18027,2,143232.5,5.69,4,1021319.5,19.13825,4,1021319.5,19.13825,4,1021319.5,19.13825,4,1021319.5,19.13825,4,1021319.5,19.13825,4,1021319.5,19.13825,4,1021319.5,19.13825,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,5,819819.8,15.3514,63804.0,2.796,2.382,0.414,0.182558
CONT_s12_dynamic_ElephantsDream,6,0.183733,3,54029.0,1.971,5,89710.4,3.4586,7,606766.429,11.780857,7,606766.429,11.780857,7,606766.429,11.780857,7,606766.429,11.780857,7,606766.429,11.780857,7,606766.429,11.780857,7,606766.429,11.780857,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,8,532648.25,10.33375,80268.0,3.529,3.115,0.414,0.181962
CONT_s12_dynamic_ElephantsDream,7,0.142415,8,27800.0,0.778375,11,34953.364,1.103636,13,51611.692,1.809231,15,297984.333,5.912867,15,297984.333,5.912867,15,297984.333,5.912867,15,297984.333,5.912867,15,297984.333,5.912867,15,297984.333,5.912867,15,297984.333,5.912867,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,16,280224.125,5.556063,12970.0,2.279,0.207,2.072,0.045529
CONT_s12_dynamic_ElephantsDream,8,0.097531,5,28901.8,0.6848,13,28223.769,0.742385,16,33062.25,0.97275,18,45303.389,1.496889,20,230713.7,4.60585,20,230713.7,4.60585,20,230713.7,4.60585,20,230713.7,4.60585,20,230713.7,4.60585,20,230713.7,4.60585,20,230713.7,4.60585,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,21,220385.476,4.396238,48665.0,4.046,1.558,2.488,0.096223
CONT_s12_dynamic_ElephantsDream,9,0.184064,1,51139.0,1.554,6,32608.0,0.829667,14,29860.571,0.800357,17,34125.588,1.006941,19,45610.526,1.499895,21,222162.524,4.460524,21,222162.524,4.460524,21,222162.524,4.460524,21,222162.524,4.460524,21,222162.524,4.460524,21,222162.524,4.460524,21,222162.524,4.460524,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,22,212692.455,4.267045,51139.0,3.215,1.554,1.661,0.127251
