run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s12_dynamic_TheSwissAccount,0,0.201171,0,0.0,0.0,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,13515.0,0.815,0.204,0.611,0.132663
CONT_s12_dynamic_TheSwissAccount,1,0.202104,0,0.0,0.0,0,0.0,0.0,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,1,13515.0,0.204,13515.0,0.815,0.204,0.611,0.132663
CONT_s12_dynamic_TheSwissAccount,2,0.315413,1,796535.0,28.123,1,796535.0,28.123,1,796535.0,28.123,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,796535.0,29.045,28.123,0.922,0.219393
CONT_s12_dynamic_TheSwissAccount,3,0.407121,0,0.0,0.0,1,796535.0,28.123,1,796535.0,28.123,1,796535.0,28.123,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,796535.0,29.045,28.123,0.922,0.219393
CONT_s12_dynamic_TheSwissAccount,4,0.407777,0,0.0,0.0,0,0.0,0.0,1,796535.0,28.123,1,796535.0,28.123,1,796535.0,28.123,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,796535.0,29.045,28.123,0.922,0.219393
CONT_s12_dynamic_TheSwissAccount,5,0.406889,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,796535.0,28.123,1,796535.0,28.123,1,796535.0,28.123,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,2,405025.0,14.1635,796535.0,29.045,28.123,0.922,0.219393
CONT_s12_dynamic_TheSwissAccount,6,0.3096,1,1866626.0,36.627,1,1866626.0,36.627,1,1866626.0,36.627,1,1866626.0,36.627,2,1331580.5,32.375,2,1331580.5,32.375,2,1331580.5,32.375,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,1866626.0,38.175,36.627,1.548,0.391172
CONT_s12_dynamic_TheSwissAccount,7,0.186205,0,0.0,0.0,1,1866626.0,36.627,1,1866626.0,36.627,1,1866626.0,36.627,1,1866626.0,36.627,2,1331580.5,32.375,2,1331580.5,32.375,2,1331580.5,32.375,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,3,892225.333,21.651333,1866626.0,38.175,36.627,1.548,0.391172
CONT_s12_dynamic_TheSwissAccount,8,0.175977,2,346481.5,12.4385,2,346481.5,12.4385,3,853196.333,20.501333,3,853196.333,20.501333,3,853196.333,20.501333,3,853196.333,20.501333,4,839031.0,22.40675,4,839031.0,22.40675,4,839031.0,22.40675,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,5,673927.8,17.9662,91900.0,4.032,3.619,0.413,0.182341
CONT_s12_dynamic_TheSwissAccount,9,0.183461,6,29468.833,0.894667,8,108722.0,3.780625,8,108722.0,3.780625,9,304044.667,7.430222,9,304044.667,7.430222,9,304044.667,7.430222,9,304044.667,7.430222,10,353293.7,9.4995,10,353293.7,9.4995,10,353293.7,9.4995,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,11,322404.727,8.654455,60299.0,2.684,2.271,0.413,0.179729
CONT_s12_dynamic_TheSwissAccount,10,0.136016,6,31155.333,0.912667,12,30312.083,0.903667,14,75479.143,2.5515,14,75479.143,2.5515,15,194888.933,4.8232,15,194888.933,4.8232,15,194888.933,4.8232,15,194888.933,4.8232,16,232491.812,6.279437,16,232491.812,6.279437,16,232491.812,6.279437,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,17,219610.824,5.922059,15716.0,0.416,0.0,0.416,0.302231
