run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s12_throughput_OfForestAndMen,0,0.0,1789458513.129,1789458523.884,0.202948,0.087614,0.0,0.383236,168.873321,237.884998,0.0,0,598.484184,845.591574,246.213731,90,273548,278,4,105
CONT_s12_throughput_OfForestAndMen,1,10.0,1789458523.884,1789458535.389,1.255104,8.093703,0.0,82.317517,130.451815,240.263947,2.748691,42,372.009495,845.589388,293.573008,106,1825795,1528,4,113
CONT_s12_throughput_OfForestAndMen,2,20.0,1789458535.389,1789458545.389,0.408908,0.096447,0.121594,0.729339,70.451014,221.03117,13.38843,81,126.395885,214.882037,54.217753,96,516331,605,6,98
CONT_s12_throughput_OfForestAndMen,3,30.0,1789458545.389,1789458555.389,0.407839,0.083934,0.226914,0.592124,78.149974,153.159075,11.627907,70,166.695465,278.179201,84.187705,98,516108,602,5,98
CONT_s12_throughput_OfForestAndMen,4,40.0,1789458555.389,1789458566.005,0.410512,0.091927,0.226914,0.601823,69.381181,98.116302,8.607199,55,219.039102,295.72546,48.653062,104,552241,639,5,104
CONT_s12_throughput_OfForestAndMen,5,50.0,1789458566.005,1789458576.005,0.249105,0.269315,0.0,1.654903,55.028696,95.10298,11.388889,41,133.617992,294.264954,113.358493,57,312699,360,4,97
CONT_s12_throughput_OfForestAndMen,6,60.0,1789458576.005,1789458586.005,0.105932,0.246342,0.0,1.213436,51.189132,275.178635,0.0,0,265.303766,675.26314,270.713919,20,134470,113,2,98
CONT_s12_throughput_OfForestAndMen,7,70.0,1789458586.005,1789458596.005,0.147657,0.244677,0.0,1.251225,60.045731,246.554225,0.641026,1,418.982254,675.230415,233.23489,30,185505,156,2,97
CONT_s12_throughput_OfForestAndMen,8,80.0,1789458596.005,1789458606.005,0.182217,0.223666,0.0,0.619053,47.916498,123.589638,0.0,0,386.149128,675.078612,224.530764,42,231296,199,2,98
CONT_s12_throughput_OfForestAndMen,9,90.0,1789458606.005,1789458616.005,0.179589,0.219486,0.0,0.583166,49.151545,116.731712,0.0,0,411.930171,675.163962,224.121146,43,225787,193,2,97
CONT_s12_throughput_OfForestAndMen,10,100.0,1789458616.005,1789458626.005,0.306759,1.028242,0.0,10.014081,37.300708,115.013516,3.27381,11,376.691735,675.110092,206.280255,40,385388,336,2,97
