run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s13_bola_ElephantsDream,0,0.58479,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,90426.0,4.805,3.373,1.432,0.150553
CONT_s13_bola_ElephantsDream,1,0.234081,0,0.0,0.0,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,90426.0,4.805,3.373,1.432,0.150553
CONT_s13_bola_ElephantsDream,2,0.27663,0,0.0,0.0,0,0.0,0.0,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,2,777325.0,9.082,90426.0,4.805,3.373,1.432,0.150553
CONT_s13_bola_ElephantsDream,3,0.232791,1,775145.0,23.119,1,775145.0,23.119,1,775145.0,23.119,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,775145.0,23.528,23.119,0.409,0.263565
CONT_s13_bola_ElephantsDream,4,0.19536,0,0.0,0.0,1,775145.0,23.119,1,775145.0,23.119,1,775145.0,23.119,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,3,776598.333,13.761,775145.0,23.528,23.119,0.409,0.263565
CONT_s13_bola_ElephantsDream,5,0.153804,2,328164.0,12.4675,2,328164.0,12.4675,3,477157.667,16.018,3,477157.667,16.018,3,477157.667,16.018,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,5,597224.6,13.2436,26685.0,4.213,0.207,4.006,0.050672
CONT_s13_bola_ElephantsDream,6,0.054024,2,26685.0,0.2055,4,177424.5,6.3365,4,177424.5,6.3365,5,296968.6,9.693,5,296968.6,9.693,5,296968.6,9.693,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,7,434213.286,9.518429,25811.0,3.701,0.206,3.495,0.055792
CONT_s13_bola_ElephantsDream,7,0.12959,2,25787.5,0.308,4,26236.25,0.25675,6,126878.833,4.327,6,126878.833,4.327,7,219488.286,7.011571,7,219488.286,7.011571,7,219488.286,7.011571,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,23702.0,4.22,0.103,4.117,0.044933
CONT_s13_bola_ElephantsDream,8,0.449962,0,0.0,0.0,2,25787.5,0.308,4,26236.25,0.25675,6,126878.833,4.327,6,126878.833,4.327,7,219488.286,7.011571,7,219488.286,7.011571,7,219488.286,7.011571,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,9,343452.0,7.471667,23702.0,4.22,0.103,4.117,0.044933
CONT_s13_bola_ElephantsDream,9,0.669229,1,1223554.0,19.255,1,1223554.0,19.255,3,425043.0,6.623667,5,265699.8,4.0564,7,283546.714,6.459571,7,283546.714,6.459571,8,344996.5,8.542,8,344996.5,8.542,8,344996.5,8.542,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,1223554.0,19.67,19.255,0.415,0.497633
CONT_s13_bola_ElephantsDream,10,0.964967,0,0.0,0.0,1,1223554.0,19.255,1,1223554.0,19.255,3,425043.0,6.623667,5,265699.8,4.0564,7,283546.714,6.459571,7,283546.714,6.459571,8,344996.5,8.542,8,344996.5,8.542,8,344996.5,8.542,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,1223554.0,19.67,19.255,0.415,0.497633
CONT_s13_bola_ElephantsDream,11,0.964587,0,0.0,0.0,0,0.0,0.0,1,1223554.0,19.255,1,1223554.0,19.255,3,425043.0,6.623667,5,265699.8,4.0564,7,283546.714,6.459571,7,283546.714,6.459571,8,344996.5,8.542,8,344996.5,8.542,8,344996.5,8.542,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,10,431462.2,8.65,1223554.0,19.67,19.255,0.415,0.497633
