run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s13_bola_TheSwissAccount,0,0.589049,848.0,867762.0,72.0,0.626087,0.056,0.079,11.679,0.587616,0.594408,42563.527441,411142.560312,7545.756522,2168378916.378795,46565.855693,6.171131,10.484183,108.615076,0.0,501033.0,7.373913,1438.323875,37.925241,5.143164,10.383073,107.188305,0.0,408.0,848.0,867762.0,72.0,0.626087,0.056,0.079,11.679,0.587616,0.594408,42563.527441,411142.560312,7545.756522,2168378916.378795,46565.855693,6.171131,10.484183,108.615076,0.0,501033.0,7.373913,1438.323875,37.925241,5.143164,10.383073,107.188305,0.0,408.0,848.0,867762.0,72.0,0.626087,0.056,0.079,11.679,0.587616,0.594408,42563.527441,411142.560312,7545.756522,2168378916.378795,46565.855693,6.171131,10.484183,108.615076,0.0,501033.0,7.373913,1438.323875,37.925241,5.143164,10.383073,107.188305,0.0,408.0,0
CONT_s13_bola_TheSwissAccount,1,0.263237,393.0,330856.0,61.0,0.622449,0.024,0.024,9.952,0.264685,0.265961,35630.065446,48124.368136,3376.081633,11411633.189144,3378.110891,1.000601,1.060452,1.994211,0.0,16370.0,4.010204,17.535977,4.187598,1.044236,1.382171,3.509389,0.0,22.0,1241.0,1198618.0,133.0,0.624413,0.056,0.024,21.734,0.439578,0.441196,39754.436631,427283.75862,5627.314554,1175575669.839269,34286.668981,6.092901,14.261136,203.56259,0.0,501033.0,5.826291,784.285721,28.005102,4.806677,14.002612,198.567071,0.0,408.0,1241.0,1198618.0,133.0,0.624413,0.056,0.024,21.734,0.439578,0.441196,39754.436631,427283.75862,5627.314554,1175575669.839269,34286.668981,6.092901,14.261136,203.56259,0.0,501033.0,5.826291,784.285721,28.005102,4.806677,14.002612,198.567071,0.0,408.0,1
CONT_s13_bola_TheSwissAccount,2,0.247624,375.0,307935.0,51.0,0.525773,0.181,0.075,9.744,0.246348,0.25282,24614.015924,41663.430627,3174.587629,15326220.203179,3914.871671,1.233191,1.11044,0.423241,0.0,15660.0,3.865979,24.013101,4.900316,1.267549,1.231887,0.821948,0.0,20.0,1616.0,1506553.0,184.0,0.593548,0.056,0.075,31.683,0.37884,0.380407,34029.192922,477395.246862,4859.848387,812602935.714804,28506.191182,5.865654,17.092649,295.004137,0.0,501033.0,5.212903,546.375237,23.374671,4.484002,16.588531,283.268303,0.0,408.0,1616.0,1506553.0,184.0,0.593548,0.056,0.075,31.683,0.37884,0.380407,34029.192922,477395.246862,4859.848387,812602935.714804,28506.191182,5.865654,17.092649,295.004137,0.0,501033.0,5.212903,546.375237,23.374671,4.484002,16.588531,283.268303,0.0,408.0,2
CONT_s13_bola_TheSwissAccount,3,0.322333,461.0,405237.0,87.0,0.887755,0.027,0.013,9.96,0.32419,0.325492,41307.312056,31644.597837,4135.071429,7019368.974227,2649.409175,0.640717,0.984487,4.929449,0.0,17390.0,4.704082,10.519777,3.243421,0.689491,1.817776,8.793737,0.0,23.0,1229.0,1044028.0,199.0,0.679181,0.024,0.013,29.963,0.278407,0.278751,32682.560477,42333.235515,3563.235495,11333062.22175,3366.46138,0.944777,0.981717,1.56072,0.0,17390.0,4.194539,17.349011,4.165214,0.993009,1.328311,2.903751,0.0,23.0,2077.0,1911790.0,271.0,0.664216,0.056,0.013,41.745,0.36577,0.366375,34533.673984,470572.279378,4685.759804,618708354.541673,24873.848808,5.308392,19.546165,387.520064,0.0,501033.0,5.090686,417.370134,20.429639,4.01314,18.875597,369.621747,0.0,408.0,3
CONT_s13_bola_TheSwissAccount,4,0.191851,304.0,291156.0,90.0,0.762712,0.192,0.039,11.938,0.191408,0.195112,24039.513341,844.692906,2467.423729,3420147.767637,1849.364152,0.749512,0.133485,-0.691911,0.0,7652.0,2.576271,3.083877,1.756097,0.681643,-0.041782,-0.265577,0.0,8.0,1140.0,1004328.0,228.0,0.728435,0.181,0.039,31.949,0.249763,0.251483,32290.294301,27855.988202,3208.715655,8658352.716966,2942.507896,0.917036,1.147882,2.463009,0.0,17390.0,3.642173,12.615139,3.55178,0.975182,1.678239,4.798534,0.0,23.0,2381.0,2202946.0,361.0,0.686312,0.056,0.039,53.888,0.326465,0.327041,33133.412863,493416.517201,4188.110266,481266420.547819,21937.785224,5.238111,22.148887,499.089285,0.0,501033.0,4.526616,325.350719,18.037481,3.984761,21.347896,474.787293,0.0,408.0,4
CONT_s13_bola_TheSwissAccount,5,1.52543,1594.0,1909289.0,74.0,0.762887,0.064,0.036,9.9,1.527431,1.54286,165771.308408,-414818.951987,19683.391753,21076133047.5116,145176.21378,7.375569,9.419207,88.157011,0.0,1420078.0,16.43299,13661.998067,116.88455,7.112799,9.377251,87.54842,0.0,1142.0,2359.0,2605682.0,251.0,0.801917,0.027,0.036,32.106,0.647998,0.64927,42035.358475,-50582.01927,8324.86262,6547029604.099655,80913.717033,9.719526,17.098381,295.093934,0.0,1420078.0,7.536741,4244.550729,65.150217,8.644348,17.008866,292.777694,0.0,1142.0,3975.0,4112235.0,435.0,0.698234,0.056,0.036,63.891,0.514166,0.514906,35643.114682,438634.266439,6600.698234,3690735506.686926,60751.423907,9.203788,21.190398,476.142653,0.0,1420078.0,6.380417,2401.882381,49.009003,7.681159,20.974973,468.748186,0.0,1142.0,5
CONT_s13_bola_TheSwissAccount,6,0.338302,379.0,423293.0,65.0,0.670103,0.07,0.027,9.903,0.338634,0.341951,40132.556847,-3160.997156,4363.845361,13637695.090421,3692.925005,0.846255,0.304499,-0.52553,0.0,15441.0,3.907216,12.501718,3.535777,0.904935,1.350475,5.288991,0.0,22.0,2277.0,2623738.0,229.0,0.733974,0.192,0.027,31.95,0.652489,0.656961,99595.019709,-578452.367273,8409.416667,6569456322.462484,81052.182713,9.638265,17.062514,293.945854,0.0,1420078.0,7.298077,4260.299932,65.270973,8.943585,16.980018,291.790649,0.0,1142.0,4354.0,4535528.0,500.0,0.694444,0.056,0.027,73.9,0.49044,0.490991,49015.490606,135414.668664,6299.344444,3195224837.658661,56526.319867,8.973365,22.770625,550.396809,0.0,1420078.0,6.047222,2080.228643,45.609524,7.542227,22.531935,541.608623,0.0,1142.0,6
CONT_s13_bola_TheSwissAccount,7,0.44403,467.0,556610.0,83.0,0.85567,0.076,0.0,9.924,0.445288,0.448698,55739.097051,5668.620355,5738.247423,7803506.958978,2793.475785,0.486817,-0.866487,0.324,0.0,12429.0,4.814433,5.465206,2.337778,0.485577,-0.75832,0.635427,0.0,11.0,2440.0,2889192.0,222.0,0.762887,0.064,0.0,29.936,0.770451,0.772098,107742.146657,96664.429062,9928.494845,7032083567.333593,83857.519444,8.446146,16.470017,273.793873,0.0,1420078.0,8.38488,4561.175495,67.536475,8.054555,16.391543,271.811002,0.0,1142.0,4821.0,5092138.0,583.0,0.713586,0.056,0.0,83.927,0.485064,0.485387,55102.028848,-23169.503799,6232.72705,2816351357.470751,53069.307113,8.514621,24.247488,624.649447,0.0,1420078.0,5.900857,1833.748737,42.822293,7.256962,23.996235,614.767165,0.0,1142.0,7
CONT_s13_bola_TheSwissAccount,8,0.447401,462.0,554696.0,88.0,0.916667,0.104,0.081,9.815,0.443757,0.452121,55726.435003,8196.576101,5778.083333,5331632.919298,2309.032897,0.399619,-1.271637,1.037723,0.0,9104.0,4.8125,3.375,1.837117,0.381739,-1.370451,1.663628,0.0,8.0,1308.0,1534599.0,236.0,0.813793,0.07,0.081,29.849,0.409226,0.411297,53007.220629,-71798.101056,5291.72069,9309418.859432,3051.134028,0.576586,-0.461081,-0.168642,0.0,15441.0,4.510345,7.261138,2.69465,0.597438,0.452556,5.274633,0.0,22.0,5283.0,5646834.0,671.0,0.73494,0.056,0.081,93.846,0.480669,0.48137,58089.954516,-110934.105547,6184.922234,2520468168.455569,50204.264445,8.117202,25.62658,698.177932,0.0,1420078.0,5.786418,1641.185693,40.51155,7.001144,25.364613,687.253836,0.0,1142.0,8
CONT_s13_bola_TheSwissAccount,9,1.533443,1552.0,1919787.0,79.0,0.814433,0.023,0.265,9.712,1.53583,1.581373,102407.434907,-142084.844472,19791.618557,14818099638.613403,121729.616933,6.150564,9.333751,86.921081,0.0,1189939.0,16.0,9160.1875,95.708868,5.981804,9.256363,85.777218,0.0,933.0,2481.0,3031093.0,250.0,0.862069,0.076,0.265,29.659,0.808291,0.817585,61190.066313,-47879.743639,10452.044828,4970611850.568917,70502.566269,6.745337,16.298499,269.17966,0.0,1189939.0,8.555172,3073.708018,55.441032,6.480411,16.164229,265.700482,0.0,933.0,6835.0,7566621.0,750.0,0.742574,0.056,0.265,103.662,0.582143,0.583946,60025.525176,-174977.830404,7491.70396,3704101656.690272,60861.331375,8.12383,20.265173,430.754363,0.0,1420078.0,6.767327,2364.01023,48.621088,7.184682,20.119657,427.395332,0.0,1142.0,9
