run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s13_l2a_OfForestAndMen,0,0.0,3.8255,3.034,Critical
CONT_s13_l2a_OfForestAndMen,1,10.0,1.9233,0.946,Degraded
CONT_s13_l2a_OfForestAndMen,2,20.0,2.0098,0,Degraded
CONT_s13_l2a_OfForestAndMen,3,30.0,2.6723,3.333,Critical
CONT_s13_l2a_OfForestAndMen,4,40.0,1.6355,0,Critical
CONT_s13_l2a_OfForestAndMen,5,50.0,1.5994,0,Critical
CONT_s13_l2a_OfForestAndMen,6,60.0,2.8535,0,Degraded
CONT_s13_l2a_OfForestAndMen,7,70.0,2.9276,0,Degraded
CONT_s13_l2a_OfForestAndMen,8,80.0,2.9276,0,Degraded
CONT_s13_l2a_OfForestAndMen,9,90.0,2.9276,0,Degraded
CONT_s13_l2a_OfForestAndMen,10,100.0,3.4979,0,Good
CONT_s13_l2a_OfForestAndMen,11,110.0,3.4164,0,Good
CONT_s13_l2a_OfForestAndMen,12,120.0,3.7423,0,Good
CONT_s13_l2a_OfForestAndMen,13,130.0,3.7832,0.427,Degraded
CONT_s13_l2a_OfForestAndMen,14,140.0,3.9546,0,Good
CONT_s13_l2a_OfForestAndMen,15,150.0,4.0932,0.823,Degraded
CONT_s13_l2a_OfForestAndMen,16,160.0,4.1042,2.052,Critical
CONT_s13_l2a_OfForestAndMen,17,170.0,3.7961,0,Good
CONT_s13_l2a_OfForestAndMen,18,180.0,3.7776,0,Good
CONT_s13_l2a_OfForestAndMen,19,190.0,4.0985,0,Excellent
CONT_s13_l2a_OfForestAndMen,20,200.0,4.2498,2.543,Critical
CONT_s13_l2a_OfForestAndMen,21,210.0,4.2749,0.572,Degraded
CONT_s13_l2a_OfForestAndMen,22,220.0,4.2406,0,Excellent
CONT_s13_l2a_OfForestAndMen,23,230.0,4.2649,0.073,Degraded
CONT_s13_l2a_OfForestAndMen,24,240.0,4.2755,0.773,Degraded
CONT_s13_l2a_OfForestAndMen,25,250.0,4.2499,1.27,Critical
CONT_s13_l2a_OfForestAndMen,26,260.0,4.2471,0,Excellent
CONT_s13_l2a_OfForestAndMen,27,270.0,4.2471,0,Excellent
CONT_s13_l2a_OfForestAndMen,28,280.0,4.2471,0,Excellent
