run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s14_bola_OfForestAndMen,0,0.125321,5,13902.8,0.4078,11,27281.455,1.224909,14,25529.0,1.115571,22,23971.909,1.058,24,24697.833,1.076125,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,25,24255.44,1.0412,8213.0,2.553,0.0,2.553,0.025736
CONT_s14_bola_OfForestAndMen,1,0.121817,3,15653.333,0.442667,8,14559.25,0.420875,14,24789.714,1.057286,17,23786.235,0.996824,25,22973.68,0.98416,27,23692.889,1.005741,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,18292.0,1.021,0.613,0.408,0.143326
CONT_s14_bola_OfForestAndMen,2,0.122523,0,0.0,0.0,3,15653.333,0.442667,8,14559.25,0.420875,14,24789.714,1.057286,17,23786.235,0.996824,25,22973.68,0.98416,27,23692.889,1.005741,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,28,23333.786,0.977071,18292.0,1.021,0.613,0.408,0.143326
CONT_s14_bola_OfForestAndMen,3,0.355409,4,148026.25,3.73225,4,148026.25,3.73225,7,91295.0,2.322429,12,59048.25,1.524667,18,52175.611,1.651722,21,47451.0,1.517857,29,40222.31,1.363207,31,39735.903,1.357548,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,32,38920.344,1.321469,332478.0,1.025,0.513,0.512,2.594951
CONT_s14_bola_OfForestAndMen,4,0.124928,2,41382.0,2.153,6,112478.167,3.205833,6,112478.167,3.205833,9,80203.222,2.284778,14,56524.5,1.614429,20,51096.25,1.70185,23,46923.261,1.573087,31,40297.129,1.414161,33,39835.667,1.405758,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,14696.0,0.72,0.309,0.411,0.163289
CONT_s14_bola_OfForestAndMen,5,0.122471,0,0.0,0.0,2,41382.0,2.153,6,112478.167,3.205833,6,112478.167,3.205833,9,80203.222,2.284778,14,56524.5,1.614429,20,51096.25,1.70185,23,46923.261,1.573087,31,40297.129,1.414161,33,39835.667,1.405758,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,34,39065.147,1.370382,14696.0,0.72,0.309,0.411,0.163289
CONT_s14_bola_OfForestAndMen,6,0.540618,5,69136.6,3.9512,5,69136.6,3.9512,7,61206.714,3.437429,11,92777.455,3.544636,11,92777.455,3.544636,14,76250.857,2.879929,19,59843.474,2.229368,25,54704.32,2.15172,28,50889.929,1.99775,36,44302.611,1.766528,38,43691.053,1.740684,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,39,42920.462,1.701256,11437.0,1.132,0.309,0.823,0.080827
CONT_s14_bola_OfForestAndMen,7,0.121713,2,331383.0,3.245,7,144064.143,3.749429,7,144064.143,3.749429,9,121245.889,3.394667,13,129486.0,3.498538,13,129486.0,3.498538,16,108142.375,2.925562,21,85704.381,2.326095,27,75199.037,2.232704,30,69589.467,2.0809,38,59412.105,1.844342,40,58075.65,1.8159,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,41,56991.805,1.776561,9104.0,0.619,0.206,0.413,0.117661
CONT_s14_bola_OfForestAndMen,8,0.120383,6,27731.0,1.357333,8,103644.0,1.82925,13,90371.923,2.645385,13,90371.923,2.645385,15,83839.933,2.579733,19,97352.842,2.822368,19,97352.842,2.822368,22,86212.0,2.497864,27,72821.407,2.110815,33,66568.485,2.073545,36,62613.056,1.960306,44,55091.955,1.777932,46,54117.652,1.756087,47,53256.383,1.723043,47,53256.383,1.723043,47,53256.383,1.723043,47,53256.383,1.723043,47,53256.383,1.723043,47,53256.383,1.723043,47,53256.383,1.723043,11813.0,1.754,0.308,1.446,0.053879
CONT_s14_bola_OfForestAndMen,9,0.11993,3,13348.0,0.343333,8,13282.5,0.296,12,20751.083,0.824583,15,61547.733,1.112933,19,66182.211,1.902158,19,66182.211,1.902158,22,76032.0,1.861818,25,77293.24,2.21504,26,75023.962,2.153423,29,68534.621,1.95531,36,57777.333,1.643083,39,58445.821,1.799436,45,52903.667,1.641222,50,50133.46,1.5996,53,48786.358,1.561019,53,48786.358,1.561019,53,48786.358,1.561019,53,48786.358,1.561019,53,48786.358,1.561019,53,48786.358,1.561019,12374.0,3.711,0.309,3.402,0.026675
