run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s14_dynamic_Valkaama,0,0.0,1789501289.785,1789501299.785,0.126989,0.196709,0.0,0.709961,52.789959,160.726356,4.545455,7,484.753507,993.760398,342.523677,33,161941,154,4,100
CONT_s14_dynamic_Valkaama,1,10.0,1789501299.785,1789501312.962,0.124265,0.172489,0.0,0.503843,55.684192,166.410111,0.0,0,498.907407,991.198855,256.619328,47,206224,185,2,130
CONT_s14_dynamic_Valkaama,2,20.0,1789501312.962,1789501322.962,0.118601,0.216785,0.0,1.25284,45.585695,164.277068,6.944444,10,433.087257,1001.634003,369.037637,31,149848,144,2,99
CONT_s14_dynamic_Valkaama,3,30.0,1789501322.962,1789501332.962,0.126956,0.259778,0.0,1.094563,43.393501,170.80007,2.158273,3,473.339451,1002.59876,406.419962,24,160165,139,2,99
CONT_s14_dynamic_Valkaama,4,40.0,1789501332.962,1789501342.962,0.099334,0.226311,0.0,1.181708,40.211234,188.862031,0.0,0,452.566793,1001.730324,394.097553,18,125474,105,2,99
CONT_s14_dynamic_Valkaama,5,50.0,1789501342.962,1789501352.962,0.095736,0.193244,0.0,0.821176,70.924119,571.033891,2.678571,3,544.66949,799.912585,305.01319,20,119927,112,3,98
CONT_s14_dynamic_Valkaama,6,60.0,1789501352.962,1789501362.962,0.093393,0.195755,0.0,1.234476,137.255186,738.458457,0.0,0,456.018348,1008.513459,440.423117,30,118166,112,2,99
CONT_s14_dynamic_Valkaama,7,70.0,1789501362.962,1789501372.962,0.962878,7.107362,0.0,69.831735,47.587441,233.392366,1.972387,20,314.764178,1006.609869,299.360762,48,1224452,1014,6,99
CONT_s14_dynamic_Valkaama,8,80.0,1789501372.962,1789501400.585,0.122121,0.115905,0.0,0.35794,149.796227,391.405566,0.229885,1,741.863964,1388.393013,417.236047,150,422608,435,4,269
CONT_s14_dynamic_Valkaama,9,90.0,1789501400.585,1789501410.585,0.259281,1.3299,0.0,13.25069,108.607923,363.699292,2.222222,7,576.957337,1008.6257,359.85635,49,327078,315,4,98
CONT_s14_dynamic_Valkaama,10,100.0,1789501410.585,1789501420.585,0.122468,0.151452,0.0,0.46173,147.292374,365.268961,0.662252,1,428.281248,598.179557,241.299921,47,154599,151,3,98
CONT_s14_dynamic_Valkaama,11,110.0,1789501420.585,1789501430.585,0.120217,0.165617,0.0,0.412595,104.195353,168.04963,0.0,0,508.5473,603.271462,235.389769,34,151833,141,4,98
CONT_s14_dynamic_Valkaama,12,120.0,1789501430.585,1789501440.585,0.100645,0.236943,0.0,1.218468,39.522839,258.964433,0.877193,1,434.47871,1001.766348,378.921882,18,127314,114,2,98
CONT_s14_dynamic_Valkaama,13,130.0,1789501440.585,1789501450.585,0.305576,1.488131,0.0,14.531815,179.851661,608.215859,1.652893,6,603.194233,1424.746437,501.211192,53,387424,363,4,98
CONT_s14_dynamic_Valkaama,14,140.0,1789501450.585,1789501473.263,0.12345,0.133419,0.0,0.729043,143.686785,408.713326,7.591623,29,748.594657,1487.294315,489.845251,122,350843,382,4,219
