run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s14_throughput_BigBuckBunny,0,0.140473,396.0,411892.0,97.0,0.423581,0.189,1.099,22.229,0.140117,0.148236,19062.85541,-20505.790046,1798.655022,33598936.332222,5796.458948,3.222663,12.340398,170.258594,0.0,83410.0,1.729258,29.093044,5.393797,3.11914,12.465607,173.200346,0.0,78.0,396.0,411892.0,97.0,0.423581,0.189,1.099,22.229,0.140117,0.148236,19062.85541,-20505.790046,1798.655022,33598936.332222,5796.458948,3.222663,12.340398,170.258594,0.0,83410.0,1.729258,29.093044,5.393797,3.11914,12.465607,173.200346,0.0,78.0,396.0,411892.0,97.0,0.423581,0.189,1.099,22.229,0.140117,0.148236,19062.85541,-20505.790046,1798.655022,33598936.332222,5796.458948,3.222663,12.340398,170.258594,0.0,83410.0,1.729258,29.093044,5.393797,3.11914,12.465607,173.200346,0.0,78.0,0
CONT_s14_throughput_BigBuckBunny,1,0.039971,40.0,50286.0,6.0,0.061224,2.381,3.317,4.302,0.040229,0.093512,6342.823924,-3166.363196,513.122449,6395355.71681,2528.904054,4.928461,5.187258,26.436322,0.0,15709.0,0.408163,3.831685,1.957469,4.795799,5.087227,25.298707,0.0,12.0,436.0,462178.0,103.0,0.314985,0.189,3.317,30.011,0.110315,0.123202,15670.796947,11810.316571,1413.388379,25749461.545018,5074.392727,3.590232,13.213517,207.399573,0.0,83410.0,1.333333,21.854806,4.674912,3.506184,13.69633,219.853445,0.0,78.0,436.0,462178.0,103.0,0.314985,0.189,3.317,30.011,0.110315,0.123202,15670.796947,11810.316571,1413.388379,25749461.545018,5074.392727,3.590232,13.213517,207.399573,0.0,83410.0,1.333333,21.854806,4.674912,3.506184,13.69633,219.853445,0.0,78.0,1
CONT_s14_throughput_BigBuckBunny,2,0.062964,67.0,78961.0,11.0,0.112245,0.27,0.923,8.807,0.063169,0.071726,6571.953818,11782.873217,805.72449,9401725.253208,3066.223288,3.805548,4.008875,15.119279,0.0,15709.0,0.683673,5.538081,2.353313,3.442159,3.77977,13.634357,0.0,12.0,503.0,541139.0,114.0,0.268235,0.189,0.923,42.405,0.099481,0.10209,12919.948611,46651.010095,1273.268235,22014468.253352,4691.957827,3.684972,13.153313,220.35695,0.0,83410.0,1.183529,18.145483,4.259751,3.599194,14.132668,247.638244,0.0,78.0,503.0,541139.0,114.0,0.268235,0.189,0.923,42.405,0.099481,0.10209,12919.948611,46651.010095,1273.268235,22014468.253352,4691.957827,3.684972,13.153313,220.35695,0.0,83410.0,1.183529,18.145483,4.259751,3.599194,14.132668,247.638244,0.0,78.0,2
CONT_s14_throughput_BigBuckBunny,3,0.109003,134.0,135641.0,38.0,0.391753,2.051,0.148,7.801,0.108513,0.139101,15281.520468,-14878.668712,1398.360825,5379363.628866,2319.345517,1.658617,2.810721,11.975975,0.0,15112.0,1.381443,4.717569,2.171996,1.572266,2.323116,7.650728,0.0,12.0,241.0,264888.0,55.0,0.187713,2.381,0.148,27.471,0.070637,0.07714,8189.393288,-18570.946618,904.054608,7151922.236734,2674.307805,2.958126,4.012817,17.255528,0.0,15709.0,0.822526,4.831409,2.198047,2.672314,3.486435,13.05224,0.0,12.0,637.0,676780.0,152.0,0.291188,0.189,0.148,53.18,0.101169,0.10181,11725.212024,65287.381117,1296.51341,18909384.380818,4348.492196,3.353989,13.510295,243.204256,0.0,83410.0,1.220307,15.642351,3.955041,3.241023,14.417745,271.013037,0.0,78.0,3
CONT_s14_throughput_BigBuckBunny,4,0.122256,140.0,152086.0,33.0,0.340206,0.057,0.095,9.848,0.121669,0.123547,15035.686031,2031.043068,1567.896907,5975689.968428,2444.522442,1.559109,1.282873,0.324904,0.0,8810.0,1.443299,4.936856,2.221904,1.539462,1.321361,0.988471,0.0,10.0,341.0,366688.0,82.0,0.280822,0.27,0.095,29.635,0.097783,0.098988,12326.430624,-26106.28558,1255.780822,6987366.934614,2643.362808,2.104956,2.947027,10.546532,0.0,15709.0,1.167808,5.150438,2.269458,1.943348,2.445854,6.892583,0.0,12.0,777.0,828866.0,185.0,0.298869,0.189,0.095,63.233,0.104396,0.104865,11771.289067,64246.311118,1339.040388,16879417.41746,4108.456817,3.06821,13.524617,256.923441,0.0,83410.0,1.25525,13.960632,3.736393,2.976612,14.438512,286.470884,0.0,78.0,4
CONT_s14_throughput_BigBuckBunny,5,0.194163,233.0,244164.0,35.0,0.357143,0.111,0.129,9.76,0.195331,0.200134,28667.418695,-28156.678101,2491.469388,67951080.004208,8243.244507,3.308588,8.009429,70.406264,0.0,78000.0,2.377551,73.845676,8.593351,3.614371,8.568977,77.719467,0.0,83.0,507.0,531891.0,106.0,0.363014,2.051,0.129,27.82,0.141838,0.152952,17431.061325,-34788.620966,1821.544521,26628639.623441,5160.294529,2.832923,11.27973,161.200221,0.0,78000.0,1.736301,28.009262,5.292378,3.048076,12.570489,188.869303,0.0,83.0,1010.0,1073030.0,220.0,0.306834,0.189,0.129,73.199,0.116765,0.117273,12526.11763,46649.110964,1496.555091,23931701.671891,4892.00385,3.268843,12.259686,191.465144,0.0,83410.0,1.408647,22.202886,4.711994,3.345049,13.44946,220.737575,0.0,83.0,5
CONT_s14_throughput_BigBuckBunny,6,0.124449,162.0,155464.0,58.0,0.597938,0.077,0.035,9.888,0.124371,0.12578,15329.136111,3797.098404,1602.721649,2612869.932131,1616.43742,1.008558,0.427692,-0.813059,0.0,6183.0,1.670103,2.515034,1.585886,0.949574,0.30042,-1.076136,0.0,6.0,535.0,551714.0,126.0,0.431507,0.057,0.035,29.908,0.147124,0.147576,19928.988914,-24889.562019,1889.431507,25667623.765052,5066.322509,2.6814,11.80791,172.909173,0.0,78000.0,1.832192,27.232912,5.218516,2.848237,13.014939,198.918453,0.0,83.0,1172.0,1228494.0,278.0,0.341523,0.189,0.035,83.293,0.117676,0.117993,13461.719525,22362.014865,1509.206388,21386097.103723,4624.510472,3.0642,12.774868,211.289457,0.0,83410.0,1.439803,19.857996,4.456231,3.095027,13.985653,242.897183,0.0,83.0,6
CONT_s14_throughput_BigBuckBunny,7,0.150129,359.0,388817.0,65.0,0.323383,0.171,0.009,20.521,0.15026,0.151578,18399.249566,-18797.498972,1934.412935,73767776.453632,8588.816941,4.440012,12.641994,169.24264,0.0,118796.0,1.78607,60.639005,7.787105,4.359911,12.727662,170.934884,0.0,108.0,754.0,788445.0,158.0,0.39899,0.111,0.009,40.581,0.154973,0.155431,17865.978214,34123.27822,1991.022727,54773313.758976,7400.899524,3.717135,12.745019,182.764684,0.0,118796.0,1.90404,49.524946,7.037396,3.696033,12.579521,172.893819,0.0,108.0,1531.0,1617311.0,343.0,0.337931,0.189,0.009,104.02,0.124148,0.124385,14546.084213,-11392.503019,1593.409852,31725440.415682,5632.534102,3.534893,14.550507,259.805234,0.0,118796.0,1.508374,27.901064,5.282146,3.50188,14.804879,259.592538,0.0,108.0,7
CONT_s14_throughput_BigBuckBunny,8,0.129867,160.0,160989.0,49.0,0.510417,0.094,0.198,9.708,0.128791,0.132665,14504.568489,19121.638628,1676.96875,5399661.609539,2323.717197,1.385665,1.857063,4.473847,0.0,12104.0,1.666667,5.340351,2.31092,1.386552,2.329525,8.250954,0.0,14.0,681.0,705270.0,172.0,0.436548,0.077,0.198,40.426,0.138625,0.139568,18031.639743,-24505.117118,1790.025381,39506817.129125,6285.444863,3.511372,16.48179,303.408757,0.0,118796.0,1.728426,32.768299,5.72436,3.311891,16.350631,300.113662,0.0,108.0,1691.0,1778300.0,392.0,0.352835,0.189,0.198,113.831,0.124555,0.124978,15092.971694,-31157.351065,1600.630063,29444303.420681,5426.260537,3.390078,14.874813,275.635025,0.0,118796.0,1.522052,25.947036,5.093823,3.346681,15.092096,274.229446,0.0,108.0,8
CONT_s14_throughput_BigBuckBunny,9,0.105646,115.0,132364.0,26.0,0.268041,0.218,1.515,8.267,0.105891,0.128089,14598.633316,2705.568897,1364.57732,6085495.871564,2466.879785,1.807798,1.339726,-0.139642,0.0,6189.0,1.185567,4.381873,2.093292,1.765647,1.320983,-0.056353,0.0,7.0,634.0,682170.0,140.0,0.35533,0.171,1.515,39.015,0.134084,0.139879,18223.151877,-11630.006963,1731.395939,40387662.718151,6355.128851,3.670523,15.98454,290.788724,0.0,118796.0,1.609137,33.281952,5.769051,3.585183,16.040798,292.161277,0.0,108.0,1806.0,1910664.0,418.0,0.346026,0.189,1.515,122.514,0.123052,0.124764,15403.610717,-43410.158482,1581.675497,27566160.168016,5250.348576,3.319485,15.119879,289.555302,0.0,118796.0,1.495033,24.218699,4.92125,3.291733,15.412126,289.95985,0.0,108.0,9
