run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s4_bola_BigBuckBunny,0,0.0,1789540593.116,1789540603.116,0.25299,0.054437,0.155625,0.477341,320685,319,2,99,65.102345,66.77953,0.0,0,252.129268,289.896073,88.819266,99,0.238671,0.248782,0.043988,0.473275,0.25299,0.0,319,0.252973,1.000067,320685,0.0
CONT_s4_bola_BigBuckBunny,1,10.0,1789540603.116,1789540613.116,0.250842,0.055419,0.155625,0.499044,314722,312,2,98,65.076339,68.799066,0.0,0,249.179438,289.894817,92.289232,98,0.238671,0.247171,0.046772,0.499044,-0.002148,0.99151,-7,0.251923,0.995709,635407,0.0
CONT_s4_bola_BigBuckBunny,2,20.0,1789540613.116,1789540623.116,0.251607,0.05234,0.23218,0.477808,319017,317,2,99,66.934983,69.143997,0.0,0,254.869929,289.876406,86.063735,99,0.238671,0.256346,0.059973,0.477808,0.000765,1.00305,5,0.251827,0.999126,954424,0.0
CONT_s4_bola_BigBuckBunny,3,30.0,1789540623.116,1789540633.116,0.358731,0.37199,0.0,1.973021,454666,382,2,99,35.670812,97.128856,1.04712,4,218.829948,310.763474,105.76038,57,0.0,0.373849,0.345649,1.04696,0.107124,1.425759,65,0.278627,1.287495,1409090,0.414141
CONT_s4_bola_BigBuckBunny,4,40.0,1789540633.116,1789540643.116,0.432442,0.265956,0.0,1.551515,542650,454,2,98,70.969544,82.655704,0.220264,1,764.604491,310.605187,4977.914498,80,0.707879,0.475474,0.179018,0.712642,0.073711,1.205477,72,0.309198,1.398592,1951740,0.193878
CONT_s4_bola_BigBuckBunny,5,50.0,1789540643.116,1789540653.116,0.466464,0.25733,0.0,1.064892,591304,496,4,99,64.521185,46.181967,0.0,0,206.925539,310.927694,102.898864,83,0.0,0.450314,0.27931,0.722268,0.034022,1.078674,42,0.335492,1.390388,2543044,0.171717
CONT_s4_bola_BigBuckBunny,6,60.0,1789540653.116,1789540663.116,0.45033,0.272843,0.0,1.228543,570806,473,2,99,36.993902,51.817479,0.0,0,212.416227,310.763498,103.549649,80,0.472813,0.429736,0.324175,1.228543,-0.016134,0.965412,-23,0.351939,1.279568,3113850,0.20202
CONT_s4_bola_BigBuckBunny,7,70.0,1789540663.116,1789540673.116,0.551432,0.302008,0.0,1.798047,693712,625,4,98,38.972911,79.004394,0.96,6,211.368465,310.187311,68.695955,87,0.748249,0.611327,0.186377,1.086926,0.101102,1.224506,152,0.376788,1.463507,3807562,0.112245
CONT_s4_bola_BigBuckBunny,8,80.0,1789540673.116,1789540683.116,0.609344,0.166569,0.237049,1.054574,768265,716,5,98,73.695483,91.049768,0.0,0,214.852955,291.322241,50.382047,98,0.828455,0.606389,0.184732,1.054574,0.057912,1.105021,91,0.402585,1.513578,4575827,0.0
CONT_s4_bola_BigBuckBunny,9,90.0,1789540683.116,1789540693.116,0.606781,0.154223,0.236819,0.944155,766260,719,5,98,76.325866,100.136519,0.0,0,235.484575,304.340581,57.301358,98,0.473178,0.609962,0.167633,0.944155,-0.002563,0.995794,3,0.423002,1.434464,5342087,0.0
