run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s4_bola_BigBuckBunny,0,0.251743,0,0.0,0.0,0,0.0,0.0,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,14159.0,2.548,0.916,1.632,0.044455
CONT_s4_bola_BigBuckBunny,1,0.251368,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,1,14159.0,0.916,14159.0,2.548,0.916,1.632,0.044455
CONT_s4_bola_BigBuckBunny,2,0.351917,1,1257987.0,38.705,1,1257987.0,38.705,1,1257987.0,38.705,1,1257987.0,38.705,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,2,636073.0,19.8105,1257987.0,40.752,38.705,2.047,0.246955
CONT_s4_bola_BigBuckBunny,3,0.409285,1,417228.0,6.965,2,837607.5,22.835,2,837607.5,22.835,2,837607.5,22.835,2,837607.5,22.835,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,417228.0,8.398,6.965,1.433,0.397455
CONT_s4_bola_BigBuckBunny,4,0.469147,0,0.0,0.0,1,417228.0,6.965,2,837607.5,22.835,2,837607.5,22.835,2,837607.5,22.835,2,837607.5,22.835,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,3,563124.667,15.528667,417228.0,8.398,6.965,1.433,0.397455
CONT_s4_bola_BigBuckBunny,5,0.454734,1,1599874.0,27.356,1,1599874.0,27.356,2,1008551.0,17.1605,3,1091696.333,24.342,3,1091696.333,24.342,3,1091696.333,24.342,3,1091696.333,24.342,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,4,822312.0,18.4855,1599874.0,27.765,27.356,0.409,0.460976
CONT_s4_bola_BigBuckBunny,6,0.522481,1,203134.0,2.974,2,901504.0,15.165,2,901504.0,15.165,3,740078.667,12.431667,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,203134.0,3.997,2.974,1.023,0.406573
CONT_s4_bola_BigBuckBunny,7,0.606218,0,0.0,0.0,1,203134.0,2.974,2,901504.0,15.165,2,901504.0,15.165,3,740078.667,12.431667,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,203134.0,3.997,2.974,1.023,0.406573
CONT_s4_bola_BigBuckBunny,8,0.609199,0,0.0,0.0,0,0.0,0.0,1,203134.0,2.974,2,901504.0,15.165,2,901504.0,15.165,3,740078.667,12.431667,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,4,869555.75,19.0,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,5,698476.4,15.3832,203134.0,3.997,2.974,1.023,0.406573
CONT_s4_bola_BigBuckBunny,9,0.524014,1,2612777.0,34.293,1,2612777.0,34.293,1,2612777.0,34.293,2,1407955.5,18.6335,3,1471928.333,21.541,3,1471928.333,21.541,4,1208253.25,17.897,5,1218200.0,22.0586,5,1218200.0,22.0586,5,1218200.0,22.0586,5,1218200.0,22.0586,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,6,1017526.5,18.534833,2612777.0,35.736,34.293,1.443,0.584906
CONT_s4_bola_BigBuckBunny,10,1.374327,3,579334.0,1.135333,4,1087694.75,9.42475,4,1087694.75,9.42475,4,1087694.75,9.42475,5,910782.6,8.1346,6,1025631.167,11.338167,6,1025631.167,11.338167,7,938716.429,10.713429,8,978625.25,14.212375,8,978625.25,14.212375,8,978625.25,14.212375,8,978625.25,14.212375,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,9,871462.333,12.735,337103.0,4.126,0.0,4.126,0.653617
