run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s4_dynamic_OfForestAndMen,0,0.0,1789604136.662,1789604146.662,0.250565,0.282876,0.0,1.061861,316310,264,2,99,38.808643,83.989444,0.0,0,293.829164,536.80906,202.131168,48,0.0,0.249767,0.266185,0.708571,0.250565,0.0,264,0.250488,1.000307,316310,0.515152
CONT_s4_dynamic_OfForestAndMen,1,10.0,1789604146.662,1789604156.662,0.249456,0.262155,0.0,0.710658,314912,262,2,99,42.473133,86.034428,0.0,0,331.655101,536.478135,163.240151,50,0.35702,0.248081,0.264803,0.710658,-0.001109,0.995574,-2,0.249896,0.998239,631222,0.494949
CONT_s4_dynamic_OfForestAndMen,2,20.0,1789604156.662,1789604166.662,0.2584,0.278705,0.0,1.225465,326335,281,2,99,41.295431,84.737422,3.558719,10,290.809088,537.656678,173.795626,50,0.596977,0.286148,0.309422,1.225465,0.008944,1.035854,19,0.252704,1.02254,957557,0.494949
CONT_s4_dynamic_OfForestAndMen,3,30.0,1789604166.662,1789604176.662,0.350447,0.335709,0.0,1.555573,442686,366,2,99,37.253707,92.417148,0.0,0,206.279136,310.897131,96.16668,58,0.949333,0.479449,0.281907,0.949333,0.092047,1.356219,85,0.277146,1.264485,1400243,0.414141
CONT_s4_dynamic_OfForestAndMen,4,40.0,1789604176.662,1789604186.662,0.469811,0.205598,0.0,0.950579,593443,502,2,99,41.394007,49.169011,0.0,0,216.379279,310.366614,85.284638,92,0.710658,0.463032,0.191195,0.832502,0.119364,1.340605,136,0.315681,1.488246,1993686,0.070707
CONT_s4_dynamic_OfForestAndMen,5,50.0,1789604186.662,1789604196.662,0.468825,0.183961,0.0,0.832502,586427,492,2,98,40.931242,46.55726,0.0,0,213.13231,310.818645,88.190359,91,0.709961,0.463224,0.217979,0.832502,-0.000986,0.997901,-10,0.340998,1.374861,2580113,0.071429
CONT_s4_dynamic_OfForestAndMen,6,60.0,1789604196.662,1789604206.662,0.286112,0.341996,0.0,1.395843,357731,296,2,98,38.766338,117.826611,0.0,0,188.410694,308.901467,96.457884,47,0.0,0.187054,0.32001,1.228935,-0.182713,0.610275,-196,0.333195,0.858692,2937844,0.530612
CONT_s4_dynamic_OfForestAndMen,7,70.0,1789604206.662,1789604216.662,0.519297,0.643612,0.0,6.102196,657383,600,4,99,38.548967,86.112697,1.833333,11,218.294845,297.61181,63.688013,74,0.833314,0.613529,0.16579,0.950616,0.233185,1.815013,304,0.356567,1.45638,3595227,0.252525
CONT_s4_dynamic_OfForestAndMen,8,80.0,1789604216.662,1789604226.662,0.609482,0.166138,0.238437,0.950616,773254,716,5,99,78.122534,108.85121,0.0,0,245.310617,352.373232,62.087869,99,0.714615,0.603177,0.12755,0.943782,0.090185,1.173667,116,0.384836,1.583745,4368481,0.0
CONT_s4_dynamic_OfForestAndMen,9,90.0,1789604226.662,1789604236.662,0.607726,0.168517,0.233918,0.962179,764984,714,5,98,78.12152,99.813305,0.0,0,226.884932,296.637605,64.453547,98,0.592327,0.608832,0.141357,0.947836,-0.001756,0.997119,-2,0.407084,1.492876,5133465,0.0
CONT_s4_dynamic_OfForestAndMen,10,100.0,1789604236.662,1789604246.662,0.442222,0.349894,0.0,1.642335,556904,485,4,98,47.657244,92.662974,0.0,0,184.612588,261.81251,68.94967,68,0.354586,0.258522,0.41292,1.386329,-0.165504,0.727667,-229,0.410276,1.077865,5690369,0.295918
CONT_s4_dynamic_OfForestAndMen,11,110.0,1789604246.662,1789604256.662,0.229195,1.431634,0.0,10.347629,290908,240,2,99,5.885174,41.722375,0.0,0,116.616743,199.798366,88.082717,7,0.0,0.000134,0.000724,0.004035,-0.213027,0.51828,-245,0.39502,0.580211,5981277,0.939394
CONT_s4_dynamic_OfForestAndMen,12,120.0,1789604256.662,1789604266.662,1.008755,4.753276,0.0,30.245675,1269878,1040,2,98,4.032738,0.540073,0.0,0,0.649681,1.321142,0.333804,6,0.0,0.694868,2.906594,15.455673,0.77956,4.401296,800,0.442125,2.281606,7251155,0.938776
CONT_s4_dynamic_OfForestAndMen,13,130.0,1789604266.662,1789604276.662,1.124431,3.051456,0.0,18.783424,1420553,1153,4,98,5.699256,36.010225,0.0,0,71.64017,208.668811,93.401306,27,5.281245,2.220747,3.259589,13.734757,0.115676,1.114672,113,0.491018,2.29,8671708,0.785714
CONT_s4_dynamic_OfForestAndMen,14,140.0,1789604276.662,1789604286.662,2.297584,3.529118,0.0,14.789592,2902113,2332,4,98,17.365254,65.996769,0.0,0,84.973125,210.747425,92.907249,70,0.023922,2.252501,3.148664,10.704218,1.173153,2.04333,1179,0.611641,3.756426,11573821,0.408163
