run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s4_throughput_RedBullPlayStreets,0,0.0,1789482043.707,1789482087.533,0.385437,2.260891,0.0,43.68117,81.531582,222.459166,0.77821,14,325.434365,491.619261,183.886232,258,2117135,1799,5,429
CONT_s4_throughput_RedBullPlayStreets,1,10.0,1789482087.533,1789482097.533,0.467271,0.261514,0.0,0.854478,38.789963,74.143178,0.0,0,239.938435,310.597702,75.448026,76,587361,471,2,98
CONT_s4_throughput_RedBullPlayStreets,2,20.0,1789482097.533,1789482107.533,0.463588,0.244074,0.0,0.813346,32.133771,42.001674,0.0,0,237.754152,258.735515,57.755403,78,588471,474,2,99
CONT_s4_throughput_RedBullPlayStreets,3,30.0,1789482107.533,1789482117.533,0.375532,0.312337,0.0,1.225107,37.631943,94.016101,0.0,0,215.279304,310.660926,91.650159,64,472043,380,2,98
CONT_s4_throughput_RedBullPlayStreets,4,40.0,1789482117.533,1789482127.533,0.604992,2.05445,0.0,20.533204,57.115488,165.29653,4.94186,34,177.757996,310.66183,108.759554,64,761261,688,4,98
CONT_s4_throughput_RedBullPlayStreets,5,50.0,1789482127.533,1789482142.644,0.607936,0.140152,0.349817,0.943782,70.25889,98.506029,0.0,0,224.875048,296.448639,49.603205,148,1158103,1069,5,148
CONT_s4_throughput_RedBullPlayStreets,6,60.0,1789482142.644,1789482154.086,0.603387,0.117759,0.352527,0.94324,79.97046,103.76287,0.0,0,234.394365,296.37511,40.43164,112,872484,812,5,112
CONT_s4_throughput_RedBullPlayStreets,7,70.0,1789482154.086,1789482164.086,0.604045,0.162525,0.344522,0.925116,43.020236,104.719117,0.0,0,138.146562,296.196672,60.830044,98,764594,685,4,98
CONT_s4_throughput_RedBullPlayStreets,8,80.0,1789482164.086,1789482174.086,0.610061,3.287072,0.0,29.384264,5.391078,30.677583,0.940439,6,96.307378,119.032183,43.980662,18,763667,638,2,97
CONT_s4_throughput_RedBullPlayStreets,9,90.0,1789482174.086,1789482184.086,0.205458,1.423883,0.0,10.312016,0.986561,0.0,0.0,0,0.893518,0.969953,0.076436,2,259740,206,2,98
CONT_s4_throughput_RedBullPlayStreets,10,100.0,1789482184.086,1789482194.086,1.151054,2.975085,0.0,18.619228,6.142169,34.998642,0.0,0,85.440479,207.652194,101.317234,29,1458316,1180,2,98
CONT_s4_throughput_RedBullPlayStreets,11,110.0,1789482194.086,1789482204.086,1.916969,3.144968,0.0,18.510686,15.181081,51.926837,0.0,0,92.553435,209.561979,99.546093,64,2412503,1935,3,97
CONT_s4_throughput_RedBullPlayStreets,12,120.0,1789482204.086,1789482214.086,2.742528,5.667032,0.0,32.892214,12.39181,38.863459,0.0,0,88.314863,207.867341,99.504543,61,3489014,2815,4,98
CONT_s4_throughput_RedBullPlayStreets,13,130.0,1789482214.086,1789482224.086,0.271215,0.293365,0.0,1.281851,51.919344,184.891514,4.333333,13,263.173692,394.772505,148.948532,53,341272,300,2,97
CONT_s4_throughput_RedBullPlayStreets,14,140.0,1789482224.086,1789482234.086,0.336788,0.28564,0.0,0.77412,34.501051,64.519175,0.0,0,332.278887,358.57375,78.069024,57,424082,340,2,97
CONT_s4_throughput_RedBullPlayStreets,15,150.0,1789482234.086,1789482244.086,0.338192,0.295092,0.0,0.876374,31.861733,57.797483,0.0,0,318.695163,358.537759,95.578628,56,430192,346,2,98
CONT_s4_throughput_RedBullPlayStreets,16,160.0,1789482244.086,1789482254.086,0.341576,0.284619,0.0,0.779171,33.768139,58.092781,0.0,0,302.487297,358.465788,114.022097,58,430253,348,2,97
CONT_s4_throughput_RedBullPlayStreets,17,170.0,1789482254.086,1789482264.086,0.385989,1.130644,0.0,10.974104,27.424709,76.911615,2.512563,10,257.168964,358.44987,132.437386,45,486267,398,2,97
CONT_s4_throughput_RedBullPlayStreets,18,180.0,1789482264.086,1789482274.086,0.208229,0.400206,0.0,1.908593,33.946077,206.463761,0.0,0,109.137618,183.454375,59.27384,24,264898,216,4,98
CONT_s4_throughput_RedBullPlayStreets,19,190.0,1789482274.086,1789482284.086,0.789382,0.136086,0.465091,1.164726,61.677435,183.702748,0.0,0,130.878312,228.548314,53.276697,97,996301,950,4,97
CONT_s4_throughput_RedBullPlayStreets,20,200.0,1789482284.086,1789482294.086,1.53079,6.251918,0.0,62.393154,25.903731,142.081954,0.94399,15,97.431156,153.105198,31.296454,68,1930817,1589,2,97
CONT_s4_throughput_RedBullPlayStreets,21,210.0,1789482294.086,1789482305.22,1.641216,0.090288,1.162964,2.071854,28.22097,32.502767,0.0,0,109.206715,116.9845,16.250533,108,2308925,1966,5,108
CONT_s4_throughput_RedBullPlayStreets,22,220.0,1789482305.22,1789482316.225,2.86855,13.207538,0.628137,138.191954,29.895139,33.13389,0.954085,32,112.861514,124.548015,20.162739,106,3970344,3354,5,106
CONT_s4_throughput_RedBullPlayStreets,23,230.0,1789482316.225,1789482326.225,1.132837,0.134052,0.686485,1.509838,40.541318,48.154264,0.0,0,131.300132,176.164215,19.292276,96,1424408,1357,6,96
CONT_s4_throughput_RedBullPlayStreets,24,240.0,1789482326.225,1789482336.225,1.131672,0.092225,0.911045,1.358552,40.887075,43.424634,0.0,0,123.453357,131.161043,10.383497,96,1427366,1418,5,96
CONT_s4_throughput_RedBullPlayStreets,25,250.0,1789482336.225,1789482346.225,0.93656,0.434706,0.0,1.308669,33.567148,43.377532,0.0,0,118.555982,131.08152,19.465473,80,1183564,1164,4,96
