run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s5_throughput_BigBuckBunny,0,0.0,1789600286.391,1789600296.391,2.190894,0.214379,1.744447,2.837062,8.789969,11.418129,0.045086,1,83.962834,98.334555,23.418288,99,2771643,2218,4,99
CONT_s5_throughput_BigBuckBunny,1,10.0,1789600296.391,1789600306.391,1.813079,5.181231,0.0,52.274565,12.966986,42.128915,1.300728,25,103.408466,144.994019,25.073433,69,2295449,1922,2,99
CONT_s5_throughput_BigBuckBunny,2,20.0,1789600306.391,1789600316.391,1.191145,0.541888,0.0,1.955973,15.903478,34.267133,1.100514,15,97.817941,136.165412,23.883823,86,1507311,1363,2,99
CONT_s5_throughput_BigBuckBunny,3,30.0,1789600316.391,1789600326.391,1.26994,0.474887,0.0,1.955973,15.085091,34.204183,2.298851,34,93.948437,128.125111,19.734023,88,1591319,1479,2,98
CONT_s5_throughput_BigBuckBunny,4,40.0,1789600326.391,1789600336.391,0.700887,0.185016,0.0,1.542701,30.642589,42.197209,15.033948,155,89.77636,156.18746,32.841329,98,889297,1031,5,99
CONT_s5_throughput_BigBuckBunny,5,50.0,1789600336.391,1789600346.391,0.598616,0.24996,0.237741,1.365848,23.169237,29.497102,17.146018,155,51.551919,127.116644,32.519819,98,752514,904,4,98
CONT_s5_throughput_BigBuckBunny,6,60.0,1789600346.391,1789600356.391,0.691523,0.086396,0.473538,0.850838,36.831949,44.351185,14.455446,146,104.786304,157.494474,32.650961,99,880570,1010,5,99
CONT_s5_throughput_BigBuckBunny,7,70.0,1789600356.391,1789600366.391,0.698364,0.092577,0.392607,1.09235,25.579212,30.967781,16.853933,180,81.921787,184.610615,38.955155,98,881472,1068,6,98
CONT_s5_throughput_BigBuckBunny,8,80.0,1789600366.391,1789600376.391,0.608332,0.211255,0.12515,1.321739,26.377373,39.424976,16.391639,149,63.433488,131.71186,32.130622,98,770123,909,4,98
CONT_s5_throughput_BigBuckBunny,9,90.0,1789600376.391,1789600386.391,0.272905,0.303329,0.0,1.461065,39.769315,151.239287,12.137203,46,109.886911,229.720758,79.022224,56,341936,379,2,97
CONT_s5_throughput_BigBuckBunny,10,100.0,1789600386.391,1789600396.391,0.290633,0.268763,0.0,1.380563,60.865977,166.114353,0.298507,1,232.869144,361.266351,111.966878,63,368112,335,4,98
CONT_s5_throughput_BigBuckBunny,11,110.0,1789600396.391,1789600407.292,0.368802,0.10925,0.139846,0.635753,124.299272,161.393438,0.0,0,349.75133,580.703249,122.627764,106,506184,490,5,106
CONT_s5_throughput_BigBuckBunny,12,120.0,1789600407.292,1789600417.292,0.369365,0.118595,0.230326,0.703012,118.024741,157.839287,0.0,0,340.057542,587.964525,118.030028,98,468916,444,4,98
CONT_s5_throughput_BigBuckBunny,13,130.0,1789600417.292,1789600427.292,0.433718,2.652936,0.0,26.330723,71.625891,203.766489,2.330508,11,420.18053,763.549203,289.216848,45,545366,472,4,97
CONT_s5_throughput_BigBuckBunny,14,140.0,1789600427.292,1789600437.292,0.192802,0.150565,0.0,0.696978,145.361397,282.087346,0.429185,1,690.86108,1145.496667,307.774902,65,242954,233,4,97
CONT_s5_throughput_BigBuckBunny,15,150.0,1789600437.292,1789600451.345,0.149963,0.16106,0.0,1.206065,88.702621,277.811025,0.0,0,388.786488,918.593367,285.600708,79,265655,275,5,136
CONT_s5_throughput_BigBuckBunny,16,160.0,1789600451.345,1789600461.345,0.240714,0.341938,0.0,1.523225,50.1908,246.982673,0.0,0,192.793057,306.83591,105.761005,40,304527,257,2,97
CONT_s5_throughput_BigBuckBunny,17,170.0,1789600461.345,1789600471.345,0.473291,0.237198,0.0,0.92751,47.437569,99.017419,0.0,0,222.655401,306.929676,91.455807,84,599084,506,4,97
CONT_s5_throughput_BigBuckBunny,18,180.0,1789600471.345,1789600481.345,1.414626,9.346013,0.0,92.429084,54.404716,136.809229,0.272294,4,248.217205,442.573645,118.667994,68,1777817,1469,4,96
CONT_s5_throughput_BigBuckBunny,19,190.0,1789600481.345,1789600491.345,0.977133,0.258856,0.348478,1.617165,40.871426,55.77328,0.092851,1,145.310225,176.98113,37.813057,97,1240101,1077,6,97
CONT_s5_throughput_BigBuckBunny,20,200.0,1789600491.345,1789600501.345,0.975201,0.145346,0.779945,1.170687,59.476433,56.469562,0.0,0,144.394058,157.699673,15.574764,96,1227421,1142,6,96
CONT_s5_throughput_BigBuckBunny,21,210.0,1789600501.345,1789600511.345,0.977076,0.149755,0.674995,1.345635,36.148893,56.127801,0.0,0,95.425879,157.620096,35.456421,97,1241874,1116,6,97
CONT_s5_throughput_BigBuckBunny,22,220.0,1789600511.345,1789600521.345,0.874238,0.646434,0.0,2.661374,17.121273,34.074148,0.0,0,81.828369,135.418301,24.313172,73,1100373,947,4,96
CONT_s5_throughput_BigBuckBunny,23,230.0,1789600521.345,1789600531.345,2.379783,0.256309,1.846177,3.114443,21.936205,26.668433,0.0,0,82.380165,100.26044,9.723152,96,3004038,2564,6,96
CONT_s5_throughput_BigBuckBunny,24,240.0,1789600531.345,1789600541.345,2.367804,0.213406,1.841751,2.918631,11.474716,26.430875,0.0,0,56.833422,85.677083,13.546472,96,2989846,2418,4,96
CONT_s5_throughput_BigBuckBunny,25,250.0,1789600541.345,1789600551.345,1.896973,0.952252,0.0,3.209734,8.97725,19.47156,0.0,0,48.094112,50.280871,9.302931,79,2399128,1917,2,96
CONT_s5_throughput_BigBuckBunny,26,260.0,1789600551.345,1789600561.345,3.547679,7.450506,0.0,53.115218,14.651567,38.96498,0.409948,15,80.828863,207.612044,67.172368,74,4490485,3659,4,96
CONT_s5_throughput_BigBuckBunny,27,270.0,1789600561.345,1789600571.345,3.836926,12.816997,0.0,104.966294,9.375435,41.809964,0.0,0,147.924948,431.41991,148.91867,44,4814218,3888,4,95
CONT_s5_throughput_BigBuckBunny,28,280.0,1789600571.345,1789600581.345,2.796734,8.420372,0.0,69.209015,20.62698,67.017454,0.0,0,96.842817,211.078194,110.753555,58,3549560,2873,4,96
CONT_s5_throughput_BigBuckBunny,29,290.0,1789600581.345,1789600591.345,1.099177,2.337157,0.0,13.158412,23.640584,67.020718,0.0,0,85.715427,207.609988,93.428576,40,1382473,1128,4,95
