run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s5_throughput_TearsOfSteel,0,2.204901,2581.0,2911917.0,103.0,1.0,0.036,0.01,10.463,2.216703,2.226449,275164.69308,40165.771769,28271.038835,7790419.645536,2791.132323,0.098728,0.723139,4.144585,21257.0,41494.0,25.058252,17.800495,4.219063,0.16837,1.624632,7.378818,17.0,48.0,2581.0,2911917.0,103.0,1.0,0.036,0.01,10.463,2.216703,2.226449,275164.69308,40165.771769,28271.038835,7790419.645536,2791.132323,0.098728,0.723139,4.144585,21257.0,41494.0,25.058252,17.800495,4.219063,0.16837,1.624632,7.378818,17.0,48.0,2581.0,2911917.0,103.0,1.0,0.036,0.01,10.463,2.216703,2.226449,275164.69308,40165.771769,28271.038835,7790419.645536,2791.132323,0.098728,0.723139,4.144585,21257.0,41494.0,25.058252,17.800495,4.219063,0.16837,1.624632,7.378818,17.0,48.0,0
CONT_s5_throughput_TearsOfSteel,1,2.169914,2270.0,2699890.0,84.0,0.865979,0.092,0.779,9.129,2.159912,2.36599,311969.694882,-11055.111197,27833.917526,4423233535.305627,66507.394591,2.389437,9.351567,87.682068,0.0,668582.0,23.402062,3253.784579,57.041955,2.437476,9.406101,88.371368,0.0,574.0,4851.0,5611807.0,187.0,0.935,0.036,0.779,19.694,2.189012,2.279601,289207.579641,-37780.343328,28059.035,2137862247.973644,46237.022482,1.647848,13.375504,183.005927,0.0,668582.0,24.255,1579.477362,39.742639,1.638534,13.317907,181.913021,0.0,574.0,4851.0,5611807.0,187.0,0.935,0.036,0.779,19.694,2.189012,2.279601,289207.579641,-37780.343328,28059.035,2137862247.973644,46237.022482,1.647848,13.375504,183.005927,0.0,668582.0,24.255,1579.477362,39.742639,1.638534,13.317907,181.913021,0.0,574.0,1
CONT_s5_throughput_TearsOfSteel,2,0.744428,825.0,935866.0,56.0,0.571429,0.968,0.001,9.031,0.748693,0.829025,90757.061089,-10372.60526,9549.653061,92388104.538186,9611.873102,1.006515,0.184129,-1.707552,0.0,25656.0,8.418367,75.17368,8.670276,1.029924,0.382643,-1.235586,0.0,28.0,5676.0,6547673.0,243.0,0.815436,0.036,0.001,30.472,1.716916,1.719001,226605.601324,494215.059914,21972.057047,1538483075.569127,39223.501572,1.785154,15.076701,246.53091,0.0,668582.0,19.04698,1138.395092,33.740111,1.771415,14.976575,244.277264,0.0,574.0,5676.0,6547673.0,243.0,0.815436,0.036,0.001,30.472,1.716916,1.719001,226605.601324,494215.059914,21972.057047,1538483075.569127,39223.501572,1.785154,15.076701,246.53091,0.0,668582.0,19.04698,1138.395092,33.740111,1.771415,14.976575,244.277264,0.0,574.0,2
CONT_s5_throughput_TearsOfSteel,3,0.992425,1119.0,1234465.0,73.0,0.752577,0.102,0.46,9.438,0.987572,1.046378,122712.944182,47235.978327,12726.443299,79197743.686856,8899.311416,0.699277,-0.417429,-1.314495,0.0,27772.0,11.536082,72.251289,8.500076,0.736825,0.03202,-0.582727,0.0,33.0,4214.0,4870221.0,213.0,0.729452,0.092,0.46,29.448,1.298726,1.32307,142063.021536,864196.402293,16678.839041,1579936346.382939,39748.41313,2.383164,15.169411,246.499584,0.0,668582.0,14.431507,1164.101822,34.118936,2.364198,15.168587,246.487245,0.0,574.0,6795.0,7782138.0,316.0,0.8,0.036,0.46,40.013,1.536871,1.555922,188331.65968,938825.452643,19701.61519,1194893304.861699,34567.22877,1.754538,16.77527,312.96679,0.0,668582.0,17.202532,886.212684,29.769325,1.73052,16.597072,308.43107,0.0,574.0,3
CONT_s5_throughput_TearsOfSteel,4,0.697811,1010.0,868787.0,88.0,0.907216,0.771,0.088,9.141,0.69503,0.760343,89750.774851,-5927.053987,8956.56701,23824422.5814,4881.026796,0.544966,0.686245,2.318876,0.0,27104.0,10.412371,27.453179,5.239578,0.503207,0.152049,1.636228,0.0,28.0,2954.0,3039118.0,217.0,0.743151,0.968,0.088,28.944,0.810431,0.839999,107651.103943,-66246.469952,10407.938356,67524792.862166,8217.34707,0.789527,0.099277,-1.254202,0.0,27772.0,10.116438,59.622134,7.721537,0.763266,0.168753,-0.52597,0.0,33.0,7805.0,8650925.0,404.0,0.821138,0.036,0.088,50.385,1.370199,1.373571,163482.14894,1312220.015398,17583.180894,981805223.460083,31333.771293,1.782031,18.25987,377.280328,0.0,668582.0,15.863821,723.816448,26.903837,1.695924,18.17953,375.048613,0.0,574.0,4
CONT_s5_throughput_TearsOfSteel,5,0.590859,887.0,743745.0,98.0,1.0,0.014,0.019,9.967,0.594996,0.596966,70937.778809,36469.22447,7589.234694,8132979.583526,2851.837931,0.375774,0.634233,1.285886,1500.0,17268.0,9.05102,12.70871,3.564928,0.39387,0.867831,2.201572,1.0,22.0,3016.0,2846997.0,259.0,0.886986,0.102,0.019,29.879,0.759199,0.762274,92411.261186,228179.746716,9749.989726,41432950.683743,6436.843223,0.66019,0.513653,-0.203586,0.0,27772.0,10.328767,38.166455,6.177901,0.598126,0.420243,0.965634,0.0,33.0,8692.0,9394670.0,502.0,0.850847,0.036,0.019,60.454,1.242086,1.243216,144663.352983,1658327.125693,15923.169492,833646138.450003,28872.930895,1.813265,19.615965,441.050699,0.0,668582.0,14.732203,611.917976,24.736976,1.679109,19.624551,441.379636,0.0,574.0,5
CONT_s5_throughput_TearsOfSteel,6,0.705082,1115.0,898749.0,99.0,1.0,0.084,0.03,10.095,0.70428,0.712233,87274.874725,14260.60343,9078.272727,1171546.996289,1082.380246,0.119228,0.707537,5.113867,6169.0,14311.0,11.262626,3.644609,1.909086,0.169506,0.620264,0.484137,8.0,17.0,3012.0,2511281.0,285.0,0.969388,0.771,0.03,29.408,0.665042,0.683156,81120.604476,38639.310265,8541.772109,11347979.746523,3368.67626,0.394377,0.880237,5.762694,0.0,27104.0,10.244898,15.257226,3.90605,0.381268,0.243311,3.114736,0.0,28.0,9807.0,10293419.0,601.0,0.872279,0.036,0.03,70.652,1.164447,1.165535,130926.56311,1956584.085676,14939.650218,719628370.655092,26825.889932,1.795617,21.043558,510.116456,0.0,668582.0,14.233672,525.868283,22.931818,1.611096,21.150563,513.838298,0.0,574.0,6
CONT_s5_throughput_TearsOfSteel,7,0.693152,1094.0,923790.0,103.0,1.0,0.073,0.081,10.56,0.689782,0.699841,86609.891885,7831.10192,8968.834951,1363165.001904,1167.546574,0.130178,-0.059029,-0.113782,6168.0,11459.0,10.621359,2.59052,1.609509,0.151535,0.091536,-0.786755,7.0,14.0,3096.0,2566284.0,300.0,1.0,0.014,0.081,30.828,0.663916,0.665962,83392.844839,-36748.525633,8554.28,3942827.734047,1985.655492,0.232124,-0.213742,3.12254,1500.0,17268.0,10.32,7.054448,2.656021,0.257366,0.12431,2.617924,1.0,22.0,10901.0,11217209.0,704.0,0.888889,0.036,0.081,81.315,1.101995,1.103581,121195.039306,2201718.056738,14163.142677,630136320.838026,25102.516225,1.772383,22.426695,581.731733,0.0,668582.0,13.763889,459.204611,21.42906,1.556904,22.60717,588.402623,0.0,574.0,7
CONT_s5_throughput_TearsOfSteel,8,0.632999,976.0,820159.0,100.0,1.0,0.022,0.068,10.264,0.633694,0.639251,78767.971109,31358.884828,8201.59,6210790.729192,2492.145808,0.303861,-0.507124,1.84121,52.0,17092.0,9.76,9.093333,3.015515,0.308967,-0.099384,1.342972,1.0,21.0,3185.0,2642698.0,302.0,1.0,0.084,0.068,31.125,0.675947,0.679248,85889.161842,27211.859516,8750.655629,3037870.485666,1742.94879,0.199179,-0.952924,5.294965,52.0,17092.0,10.546358,5.431399,2.330536,0.22098,-0.293891,2.396657,1.0,21.0,11877.0,12037368.0,804.0,0.901345,0.036,0.068,91.682,1.049168,1.050358,114359.345487,2398050.227065,13494.807175,563645653.610365,23741.222665,1.759286,23.614675,648.366869,0.0,668582.0,13.315022,410.274387,20.255231,1.521231,23.82775,656.745222,0.0,574.0,8
CONT_s5_throughput_TearsOfSteel,9,0.523324,743.0,657596.0,96.0,0.989691,0.035,0.015,9.95,0.526077,0.52872,69307.634877,22136.83336,6779.340206,11768621.455971,3430.542443,0.506029,0.937707,1.501607,0.0,19228.0,7.659794,18.289304,4.2766,0.558318,0.968522,0.990322,0.0,22.0,2813.0,2401545.0,299.0,0.996667,0.073,0.015,30.98,0.618397,0.620154,79410.008672,65596.900904,8005.15,7120286.656355,2668.386527,0.333334,-0.113423,1.707321,0.0,19228.0,9.376667,11.305808,3.362411,0.358593,-0.026695,0.911765,0.0,22.0,12620.0,12694964.0,900.0,0.91001,0.036,0.015,101.735,0.997777,0.998277,108779.873814,2577347.033275,12836.16178,513444818.210644,22659.32078,1.765272,24.576354,707.676553,0.0,668582.0,12.760364,374.603448,19.354675,1.516781,24.708706,713.431157,0.0,574.0,9
CONT_s5_throughput_TearsOfSteel,10,0.371447,438.0,462267.0,92.0,0.958333,0.088,0.06,9.852,0.369814,0.375369,46099.676013,6896.936458,4815.28125,4237919.320066,2058.620732,0.427518,-0.519723,-0.068585,0.0,9104.0,4.5625,3.027632,1.740009,0.381372,-0.466908,0.895985,0.0,9.0,2157.0,1940022.0,288.0,0.982935,0.022,0.06,30.272,0.511306,0.512691,63474.79469,141815.41407,6621.235495,9289507.61216,3047.869356,0.460317,0.425678,1.057397,0.0,19228.0,7.361775,14.656342,3.82836,0.520032,0.711743,0.659418,0.0,22.0,13058.0,13157231.0,992.0,0.914286,0.036,0.06,111.69,0.941601,0.942411,103257.100564,2773345.611337,12126.480184,473538504.642828,21760.939884,1.794498,25.381675,761.752095,0.0,668582.0,12.035023,347.118698,18.631122,1.548075,25.354683,761.36056,0.0,574.0,10
