run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s6_bola_Valkaama,0,0.0,3.9714,0.616,Degraded
CONT_s6_bola_Valkaama,1,10.0,3.7602,0,Good
CONT_s6_bola_Valkaama,2,20.0,2.9895,0,Degraded
CONT_s6_bola_Valkaama,3,30.0,2.8728,0,Degraded
CONT_s6_bola_Valkaama,4,40.0,2.8728,0,Degraded
CONT_s6_bola_Valkaama,5,50.0,3.5798,0,Good
CONT_s6_bola_Valkaama,6,60.0,3.3853,0,Good
CONT_s6_bola_Valkaama,7,70.0,3.7269,0,Good
CONT_s6_bola_Valkaama,8,80.0,3.7269,0,Good
CONT_s6_bola_Valkaama,9,90.0,2.3195,0.873,Degraded
CONT_s6_bola_Valkaama,10,100.0,2.3913,0,Degraded
CONT_s6_bola_Valkaama,11,110.0,2.7375,0,Degraded
CONT_s6_bola_Valkaama,12,120.0,2.4531,2.744,Critical
CONT_s6_bola_Valkaama,13,130.0,1.6061,0,Critical
CONT_s6_bola_Valkaama,14,140.0,2.4226,0,Degraded
CONT_s6_bola_Valkaama,15,150.0,1.6997,1.275,Critical
CONT_s6_bola_Valkaama,16,160.0,1.6123,0,Critical
CONT_s6_bola_Valkaama,17,170.0,1.5834,0,Critical
CONT_s6_bola_Valkaama,18,180.0,1.5834,0,Critical
CONT_s6_bola_Valkaama,19,190.0,1.8239,0,Critical
CONT_s6_bola_Valkaama,20,200.0,1.4899,10.049,Critical
CONT_s6_bola_Valkaama,21,210.0,1.7143,0,Critical
CONT_s6_bola_Valkaama,22,220.0,1.9801,0,Critical
CONT_s6_bola_Valkaama,23,230.0,1.6556,0,Critical
CONT_s6_bola_Valkaama,24,240.0,1.6556,0,Critical
CONT_s6_bola_Valkaama,25,250.0,1.635,0,Critical
CONT_s6_bola_Valkaama,26,260.0,1.8896,4.399,Critical
CONT_s6_bola_Valkaama,27,270.0,1.7908,0,Critical
