run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s6_bola_Valkaama,0,0.0,1789592208.949,1789592218.949,0.565862,0.37751,0.0,1.341117,714774,846,4,99,34.5097,64.762901,18.20331,154,136.288172,151.212833,30.486384,85,1.085176,0.662541,0.382347,1.231059,0.565862,0.0,846,0.565905,0.999924,714774,0.121212
CONT_s6_bola_Valkaama,1,10.0,1789592218.949,1789592228.949,0.446112,0.294569,0.0,1.085176,563447,666,2,99,36.554987,56.122391,14.114114,94,138.890661,153.655044,26.719537,91,0.483291,0.36915,0.255933,0.860765,-0.11975,0.788376,-180,0.506033,0.881587,1278221,0.090909
CONT_s6_bola_Valkaama,2,20.0,1789592228.949,1789592238.949,0.523985,0.40018,0.0,1.348012,661889,774,2,99,31.810153,58.802466,16.795866,130,139.691996,152.178861,20.158534,79,0.605837,0.363059,0.382637,0.981312,0.077873,1.174559,108,0.512034,1.02334,1940110,0.212121
CONT_s6_bola_Valkaama,3,30.0,1789592238.949,1789592248.949,0.424575,0.405519,0.0,1.332137,536405,631,2,99,31.000469,93.532423,17.908082,113,146.653221,154.872527,5.39145,65,0.0,0.496788,0.314773,1.216,-0.09941,0.810281,-143,0.490133,0.866244,2476515,0.323232
CONT_s6_bola_Valkaama,4,40.0,1789592248.949,1789592258.949,0.356781,0.39927,0.0,1.488689,451301,510,4,99,47.977255,186.912878,10.0,51,215.638675,290.212385,68.42684,49,0.722661,0.786508,0.108196,0.968462,-0.067794,0.840325,-121,0.46351,0.769737,2927816,0.484848
CONT_s6_bola_Valkaama,5,50.0,1789592258.949,1789592268.949,0.871896,0.228224,0.0,1.418438,1094284,1036,5,98,44.303848,58.795844,2.220077,23,159.733306,280.698339,58.154839,96,1.295922,0.936662,0.20789,1.418438,0.515115,2.443785,526,0.531198,1.641377,4022100,0.020408
CONT_s6_bola_Valkaama,6,60.0,1789592268.949,1789592278.949,0.796573,0.401753,0.0,1.580117,1009831,835,2,99,23.73653,53.848874,0.0,0,127.337673,167.844897,39.435981,85,0.706498,0.4855,0.510544,1.580117,-0.075323,0.91361,-201,0.56925,1.399338,5031931,0.141414
CONT_s6_bola_Valkaama,7,70.0,1789592278.949,1789592288.949,0.454873,0.515729,0.0,1.418438,576161,476,2,99,25.055719,97.450412,0.0,0,131.151584,155.400798,34.510602,48,0.0,0.667196,0.495101,1.412995,-0.3417,0.571037,-359,0.554867,0.819787,5608092,0.515152
CONT_s6_bola_Valkaama,8,80.0,1789592288.949,1789592298.949,0.849281,0.330317,0.0,1.557187,1069141,979,4,98,43.658329,59.757876,0.102145,1,159.772279,192.917687,32.230019,89,1.178915,0.930055,0.154397,1.184654,0.394408,1.867073,503,0.587503,1.445577,6677233,0.091837
CONT_s6_bola_Valkaama,9,90.0,1789592298.949,1789592309.822,0.60005,0.470767,0.0,1.385394,824913,783,4,107,26.071824,64.662965,0.0,0,110.251835,192.827174,54.488977,69,0.0,0.128961,0.345854,1.385394,-0.249231,0.706539,-196,0.588867,1.018991,7502146,0.364486
