run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s6_l2a_TearsOfSteel,0,0.0,3.8633,0.64,Degraded
CONT_s6_l2a_TearsOfSteel,1,10.0,2.7007,6.043,Critical
CONT_s6_l2a_TearsOfSteel,2,20.0,2.4969,0,Degraded
CONT_s6_l2a_TearsOfSteel,3,30.0,2.4969,0,Degraded
CONT_s6_l2a_TearsOfSteel,4,40.0,2.6576,5.872,Critical
CONT_s6_l2a_TearsOfSteel,5,50.0,3.2201,0,Good
CONT_s6_l2a_TearsOfSteel,6,60.0,3.3695,0,Good
CONT_s6_l2a_TearsOfSteel,7,70.0,3.4155,0,Good
CONT_s6_l2a_TearsOfSteel,8,80.0,2.738,0,Degraded
CONT_s6_l2a_TearsOfSteel,9,90.0,2.9102,0,Degraded
CONT_s6_l2a_TearsOfSteel,10,100.0,3.4155,0,Good
CONT_s6_l2a_TearsOfSteel,11,110.0,2.8644,11.347,Critical
CONT_s6_l2a_TearsOfSteel,12,120.0,2.4969,2.669,Critical
CONT_s6_l2a_TearsOfSteel,13,130.0,2.4969,2.328,Critical
CONT_s6_l2a_TearsOfSteel,14,140.0,2.4969,0.225,Degraded
CONT_s6_l2a_TearsOfSteel,15,150.0,2.5773,12.601,Critical
CONT_s6_l2a_TearsOfSteel,16,160.0,2.9791,14.281,Critical
CONT_s6_l2a_TearsOfSteel,17,170.0,2.8184,15.325,Critical
CONT_s6_l2a_TearsOfSteel,18,180.0,2.4969,1.774,Critical
CONT_s6_l2a_TearsOfSteel,19,190.0,3.2316,14.179,Critical
CONT_s6_l2a_TearsOfSteel,20,200.0,4.2369,0,Excellent
CONT_s6_l2a_TearsOfSteel,21,210.0,4.5889,0,Excellent
