run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s7_dynamic_ElephantsDream,0,0.0,1789593363.868,1789593373.868,1.928956,9.656691,0.0,65.207045,2416231,1994,2,98,3.568944,0.251586,1.203611,24,24.050353,108.367455,42.349641,5,0.0,1.209383,6.512726,36.281487,1.928956,0.0,1994,1.928491,1.000241,2416231,0.94898
CONT_s7_dynamic_ElephantsDream,1,10.0,1789593373.868,1789593383.868,0.967607,4.529763,0.0,33.557532,1226753,1006,2,99,0.945803,4.066872,0.0,0,46.156557,206.316562,85.500245,9,5.312,2.104857,6.844744,33.557532,-0.961349,0.501622,-988,1.446928,0.668732,3642984,0.929293
CONT_s7_dynamic_ElephantsDream,2,20.0,1789593383.868,1789593393.868,2.82065,6.582985,0.0,37.16878,3575767,2899,4,99,12.66743,35.643436,0.0,0,89.001435,207.373962,100.131206,60,0.0,2.779777,6.53934,35.522105,1.853043,2.915078,1893,1.906797,1.479261,7218751,0.616162
CONT_s7_dynamic_ElephantsDream,3,30.0,1789593393.868,1789593403.868,2.187713,5.807775,0.0,40.789141,2747688,2241,4,98,17.96319,66.899108,1.383311,31,106.354926,240.104247,99.637239,62,1.414294,2.394804,7.61868,40.789141,-0.632937,0.775606,-658,1.976287,1.106981,9966439,0.459184
CONT_s7_dynamic_ElephantsDream,4,40.0,1789593403.868,1789593413.868,1.170699,0.243035,0.0,1.887938,1476009,1586,5,98,38.429238,77.822706,6.620429,105,318.507902,383.092229,59.525523,97,1.062636,1.168659,0.18327,1.887938,-1.017014,0.535125,-655,1.815185,0.644947,11442448,0.010204
CONT_s7_dynamic_ElephantsDream,5,50.0,1789593413.868,1789593426.23,0.790868,0.554413,0.0,1.650428,1232993,1217,5,121,91.255373,116.998711,4.026294,49,289.696552,380.184188,75.334884,93,0.0,0.575101,0.642529,1.639146,-0.379831,0.675552,-369,1.611923,0.490636,12675441,0.231405
CONT_s7_dynamic_ElephantsDream,6,60.0,1789593426.23,1789593436.23,0.991337,0.572988,0.0,2.27899,1252402,1204,2,98,18.286466,33.963974,2.491694,30,256.548074,335.644887,70.442149,86,1.530718,1.091483,0.538233,2.115228,0.200469,1.25348,-13,1.52595,0.649652,13927843,0.112245
CONT_s7_dynamic_ElephantsDream,7,70.0,1789593436.23,1789593446.23,0.95748,0.569929,0.0,2.227299,1211887,1261,5,98,17.64096,33.212373,4.044409,51,261.048762,378.491359,85.216047,83,1.179517,1.003845,0.559319,2.227299,-0.033857,0.965847,57,1.456741,0.657275,15139730,0.142857
CONT_s7_dynamic_ElephantsDream,8,80.0,1789593446.23,1789593456.23,0.886446,0.610865,0.0,3.012947,1124799,1164,4,98,30.972597,79.11736,5.498282,64,250.883975,384.386188,103.195167,81,0.233911,0.383884,0.721391,3.012947,-0.071034,0.925812,-97,1.39466,0.6356,16264529,0.163265
CONT_s7_dynamic_ElephantsDream,9,90.0,1789593456.23,1789593466.23,0.850528,0.487648,0.0,2.645477,1069808,1265,2,97,17.830261,30.367719,18.26087,231,47.699029,54.210512,8.072869,88,0.0,0.577696,0.450843,1.19714,-0.035918,0.959481,101,1.341721,0.633908,17334337,0.103093
