run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s7_throughput_OfForestAndMen,0,0.941562,2,358645.0,0.0,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,5,358868.4,0.9394,363284.0,4.191,0.0,4.191,0.693456
CONT_s7_throughput_OfForestAndMen,1,1.613226,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,2,2.270924,0,0.0,0.0,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,3,1.952803,0,0.0,0.0,0,0.0,0.0,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,4,1.149853,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,5,0.760178,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,6,1.03751,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,359834.0,0.051,4,359239.5,0.0255,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,7,359144.286,0.685571,358901.0,2.148,0.102,2.046,1.336689
CONT_s7_throughput_OfForestAndMen,7,0.595289,2,5350741.0,29.1705,2,5350741.0,29.1705,2,5350741.0,29.1705,2,5350741.0,29.1705,2,5350741.0,29.1705,2,5350741.0,29.1705,4,2855287.5,14.61075,6,2023073.333,9.7405,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,9,1468388.0,7.015556,202216.0,3.3,2.785,0.515,0.490221
CONT_s7_throughput_OfForestAndMen,8,0.869149,1,1237201.0,9.951,3,3979561.0,22.764,3,3979561.0,22.764,3,3979561.0,22.764,3,3979561.0,22.764,3,3979561.0,22.764,3,3979561.0,22.764,5,2531670.2,13.6788,7,1910805.857,9.770571,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,10,1445269.3,7.3091,1237201.0,11.09,9.951,1.139,0.89248
CONT_s7_throughput_OfForestAndMen,9,0.663353,3,322497.333,2.626333,4,551173.25,4.4575,6,2151029.167,12.695167,6,2151029.167,12.695167,6,2151029.167,12.695167,6,2151029.167,12.695167,6,2151029.167,12.695167,6,2151029.167,12.695167,8,1703230.375,9.534125,10,1434313.3,7.6273,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,13,1186168.077,6.228462,212482.0,4.25,1.245,3.005,0.399966
