run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s8_dynamic_TearsOfSteel,0,0.0,2.8644,5.635,Critical
CONT_s8_dynamic_TearsOfSteel,1,10.0,2.4969,41.279,Critical
CONT_s8_dynamic_TearsOfSteel,2,20.0,2.4969,8.532,Critical
CONT_s8_dynamic_TearsOfSteel,3,30.0,2.4969,13.957,Critical
CONT_s8_dynamic_TearsOfSteel,4,40.0,2.4969,15.252,Critical
CONT_s8_dynamic_TearsOfSteel,5,50.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,6,60.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,7,70.0,2.4969,5.936,Critical
CONT_s8_dynamic_TearsOfSteel,8,80.0,2.4969,3.234,Critical
CONT_s8_dynamic_TearsOfSteel,9,90.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,10,100.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,11,110.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,12,120.0,2.4969,23.325,Critical
CONT_s8_dynamic_TearsOfSteel,13,130.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,14,140.0,2.4969,0,Degraded
CONT_s8_dynamic_TearsOfSteel,15,150.0,2.4969,15.428,Critical
CONT_s8_dynamic_TearsOfSteel,16,160.0,2.4969,0,Degraded
