run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s8_l2a_OfForestAndMen,0,0.135429,1,469383.0,25.662,1,469383.0,25.662,1,469383.0,25.662,2,398905.0,21.9315,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,3,270610.667,14.960333,469383.0,28.114,25.662,2.452,0.133566
CONT_s8_l2a_OfForestAndMen,1,0.149219,6,36756.167,1.448667,7,98560.0,4.907714,7,98560.0,4.907714,7,98560.0,4.907714,8,127293.375,6.569375,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,9,114707.667,5.952556,13895.0,0.715,0.306,0.409,0.155469
CONT_s8_l2a_OfForestAndMen,2,0.145302,5,29741.8,1.2066,11,33567.818,1.338636,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,3,0.151475,0,0.0,0.0,5,29741.8,1.2066,11,33567.818,1.338636,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,4,0.859925,0,0.0,0.0,0,0.0,0.0,4,31125.25,1.2785,11,33567.818,1.338636,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,5,0.123538,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,32913.667,1.364,10,28185.3,1.0941,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,6,0.124095,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,32913.667,1.364,10,28185.3,1.0941,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,7,0.120861,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,32913.667,1.364,10,28185.3,1.0941,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,8,0.123366,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,32913.667,1.364,10,28185.3,1.0941,12,69885.75,3.365583,12,69885.75,3.365583,12,69885.75,3.365583,13,89773.538,4.506769,13,89773.538,4.506769,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,14,84362.714,4.257571,32343.0,1.639,1.23,0.409,0.157867
CONT_s8_l2a_OfForestAndMen,9,0.185604,1,2099498.0,65.58,1,2099498.0,65.58,1,2099498.0,65.58,1,2099498.0,65.58,1,2099498.0,65.58,1,2099498.0,65.58,1,2099498.0,65.58,4,549559.75,17.418,11,216486.455,6.956455,13,226009.769,8.151308,13,226009.769,8.151308,13,226009.769,8.151308,14,233325.286,8.869143,14,233325.286,8.869143,15,218705.067,8.345733,15,218705.067,8.345733,15,218705.067,8.345733,15,218705.067,8.345733,15,218705.067,8.345733,15,218705.067,8.345733,2099498.0,66.096,65.58,0.516,0.254115
