run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s8_throughput_BigBuckBunny,1789571759.512,0.1001,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571759.613,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571759.715,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571759.816,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571759.918,0.1017,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.019,0.1017,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.121,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.222,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.323,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.425,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.526,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.628,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.73,0.1021,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.832,0.1018,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571760.933,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.035,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.136,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.237,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.34,0.1021,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.442,0.1025,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.543,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.645,0.1012,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.746,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.848,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571761.95,0.1021,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.051,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.152,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.254,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.355,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.457,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.558,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.659,0.1013,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.761,0.1014,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.862,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571762.964,0.1015,0,0,0,0,0,0
CONT_s8_throughput_BigBuckBunny,1789571763.065,0.1014,0,0,0,0,0,0
