run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s9_dynamic_OfForestAndMen,0,1.990778,3586.0,4032615.0,158.0,1.0,0.065,0.059,16.098,1.988714,2.004033,273926.822995,-587485.607665,25522.879747,15609486459.010925,124937.930426,4.895135,12.018729,145.196213,9104.0,1565898.0,22.696203,10243.066355,101.208035,4.45925,11.957953,144.041247,8.0,1268.0,3586.0,4032615.0,158.0,1.0,0.065,0.059,16.098,1.988714,2.004033,273926.822995,-587485.607665,25522.879747,15609486459.010925,124937.930426,4.895135,12.018729,145.196213,9104.0,1565898.0,22.696203,10243.066355,101.208035,4.45925,11.957953,144.041247,8.0,1268.0,3586.0,4032615.0,158.0,1.0,0.065,0.059,16.098,1.988714,2.004033,273926.822995,-587485.607665,25522.879747,15609486459.010925,124937.930426,4.895135,12.018729,145.196213,9104.0,1565898.0,22.696203,10243.066355,101.208035,4.45925,11.957953,144.041247,8.0,1268.0,0
CONT_s9_dynamic_OfForestAndMen,1,0.551455,558.0,693046.0,44.0,0.44898,0.043,0.617,9.34,0.554437,0.593615,57193.666975,118706.761942,7071.897959,68048784.85546,8249.168737,1.166472,0.451505,-1.540776,0.0,21389.0,5.693878,44.049653,6.636991,1.165636,0.442866,-1.567789,0.0,18.0,4144.0,4725661.0,202.0,0.789062,0.065,0.617,25.54,1.441739,1.480238,219787.182169,-177392.297637,18459.613281,9717181686.042019,98575.766221,5.340078,15.259233,236.226399,0.0,1565898.0,16.1875,6391.839216,79.948979,4.938933,15.157389,233.832964,0.0,1268.0,4144.0,4725661.0,202.0,0.789062,0.065,0.617,25.54,1.441739,1.480238,219787.182169,-177392.297637,18459.613281,9717181686.042019,98575.766221,5.340078,15.259233,236.226399,0.0,1565898.0,16.1875,6391.839216,79.948979,4.938933,15.157389,233.832964,0.0,1268.0,1
CONT_s9_dynamic_OfForestAndMen,2,0.62574,617.0,778339.0,51.0,0.525773,2.461,0.049,7.49,0.622671,0.831337,76286.17301,-118600.800131,8024.113402,63723886.684923,7982.724265,0.994842,0.136928,-1.663118,0.0,22656.0,6.360825,39.920533,6.31827,0.99331,0.118229,-1.716154,0.0,18.0,4761.0,5504000.0,253.0,0.716714,0.065,0.049,36.108,1.215615,1.219453,160900.3555,420118.835403,15592.067989,7078577942.64877,84134.285179,5.395967,17.87104,325.665862,0.0,1565898.0,13.487252,4660.636911,68.268858,5.061732,17.743291,322.156203,0.0,1268.0,4761.0,5504000.0,253.0,0.716714,0.065,0.049,36.108,1.215615,1.219453,160900.3555,420118.835403,15592.067989,7078577942.64877,84134.285179,5.395967,17.87104,325.665862,0.0,1565898.0,13.487252,4660.636911,68.268858,5.061732,17.743291,322.156203,0.0,1268.0,2
CONT_s9_dynamic_OfForestAndMen,3,1.215244,1206.0,1511572.0,97.0,1.0,0.053,0.099,9.848,1.209258,1.227922,151443.387402,17298.010117,15583.216495,3040885.900558,1743.813608,0.111903,3.605762,11.369259,15104.0,22604.0,12.43299,1.727234,1.314243,0.105706,3.121569,8.381242,12.0,18.0,2381.0,2982957.0,192.0,0.657534,0.043,0.099,29.858,0.795455,0.799238,91976.029952,-179958.873362,10215.606164,59241309.620993,7696.837638,0.753439,-0.406904,-1.466295,0.0,22656.0,8.15411,37.635962,6.134816,0.752359,-0.423795,-1.497812,0.0,18.0,5967.0,7015572.0,350.0,0.777778,0.065,0.099,46.058,1.214239,1.218563,143850.353084,646368.311664,15590.16,5550003044.143607,74498.34256,4.778549,20.174105,415.883053,0.0,1565898.0,13.26,3654.330913,60.451062,4.558904,20.040032,411.680171,0.0,1268.0,3
CONT_s9_dynamic_OfForestAndMen,4,1.211922,1271.0,1525338.0,98.0,1.0,0.004,0.031,9.965,1.22027,1.224556,151716.849002,14242.88254,15564.673469,8064758.284031,2839.851807,0.182455,0.70624,0.424654,10552.0,22656.0,12.969388,5.535136,2.352687,0.181403,0.772101,0.240756,8.0,18.0,3094.0,3815249.0,246.0,0.842466,2.461,0.031,27.508,1.0174,1.109568,138927.730201,-449815.855213,13065.921233,37401989.10374,6115.716565,0.468066,-1.260769,0.681297,0.0,22656.0,10.59589,24.585275,4.958354,0.467951,-1.268335,0.665007,0.0,18.0,7238.0,8540910.0,448.0,0.817518,0.065,0.031,56.126,1.215312,1.217391,140484.650613,701863.251359,15585.60219,4557100001.183322,67506.296011,4.331324,22.252455,506.792351,0.0,1565898.0,13.208029,3000.618436,54.777901,4.147318,22.106637,501.737759,0.0,1268.0,4
CONT_s9_dynamic_OfForestAndMen,5,1.018674,1012.0,1269263.0,69.0,0.71134,0.072,0.576,9.352,1.01541,1.085768,114224.863874,92059.042349,13085.185567,490248322.215206,22141.551938,1.692108,8.041241,71.736545,0.0,216311.0,10.43299,323.0814,17.974465,1.722849,8.129992,72.80535,0.0,176.0,3489.0,4306173.0,264.0,0.90411,0.053,0.576,29.371,1.148313,1.172905,145485.583558,72809.425091,14747.167808,166801626.126383,12915.170387,0.875773,12.954628,201.745267,0.0,216311.0,11.94863,110.193228,10.497296,0.878536,13.008502,202.856824,0.0,176.0,8250.0,9810173.0,517.0,0.80155,0.065,0.576,65.581,1.185126,1.196709,139262.824774,727524.415592,15209.570543,3944585075.757826,62805.931852,4.129369,23.534662,575.489438,0.0,1565898.0,12.790698,2597.808609,50.968702,3.984826,23.380564,569.74243,0.0,1268.0,5
CONT_s9_dynamic_OfForestAndMen,6,1.288325,1280.0,1607896.0,46.0,0.474227,2.406,0.084,7.51,1.286317,1.712805,147530.149496,-251949.508102,16576.247423,353223591.625644,18794.243577,1.133806,0.372023,-1.64118,0.0,49708.0,13.195876,220.700816,14.856003,1.125806,0.399532,-1.50012,0.0,48.0,3563.0,4402497.0,213.0,0.729452,0.004,0.084,29.912,1.173999,1.177453,126561.236335,177241.079498,15077.044521,283098810.05643,16825.540409,1.115971,6.103467,68.392477,0.0,216311.0,12.202055,182.807831,13.520645,1.108063,6.31518,72.121374,0.0,176.0,9530.0,11418069.0,563.0,0.75876,0.065,0.084,76.073,1.198401,1.200749,136170.114946,799671.098382,15388.233154,3474196688.060277,58942.316616,3.83035,24.736351,644.692546,0.0,1565898.0,12.843666,2286.356093,47.815856,3.722913,24.606377,639.381342,0.0,1268.0,6
CONT_s9_dynamic_OfForestAndMen,7,2.84922,2904.0,3558742.0,97.0,1.0,0.019,0.092,9.889,2.846994,2.87895,356455.371833,31400.158978,36688.061856,24153067.808634,4914.577073,0.133956,0.037421,-0.403428,25656.0,50044.0,29.938144,21.933634,4.683336,0.156434,0.565192,0.844528,20.0,46.0,5196.0,6435901.0,212.0,0.728522,0.072,0.092,29.836,1.71624,1.725674,201766.705583,-650981.496224,22116.498282,395783362.995687,19894.304788,0.899523,3.091609,29.114743,0.0,216311.0,17.85567,261.79289,16.180015,0.906156,3.140187,29.323403,0.0,176.0,12434.0,14976811.0,660.0,0.786651,0.065,0.092,86.065,1.389605,1.39214,146245.481696,524378.844624,17850.787843,3121262314.083816,55868.258556,3.129736,25.559007,701.935485,0.0,1565898.0,14.820024,2054.133441,45.322549,3.058197,25.42492,696.161122,0.0,1268.0,7
CONT_s9_dynamic_OfForestAndMen,8,2.330954,2314.0,2914547.0,97.0,1.0,0.011,0.089,9.9,2.331638,2.35519,302315.453512,178966.078957,30046.876289,97802719.547036,9889.525749,0.329137,-0.316453,-1.22421,10604.0,46708.0,23.85567,55.812285,7.470762,0.313165,-0.357792,-1.133963,9.0,36.0,6498.0,8081185.0,240.0,0.824742,2.406,0.089,27.505,2.154983,2.350463,313039.497996,-1099128.562819,27770.395189,227547520.805356,15084.678346,0.543193,-0.8772,-0.588509,0.0,50044.0,22.329897,146.842517,12.117859,0.542674,-0.820047,-0.497802,0.0,48.0,14748.0,17891358.0,757.0,0.808761,0.065,0.089,96.068,1.487507,1.489891,162679.893908,26200.983094,19114.698718,2821326065.584001,53116.156352,2.778812,26.586224,767.64875,0.0,1565898.0,15.75641,1854.353435,43.062204,2.732996,26.503018,763.518068,0.0,1268.0,8
CONT_s9_dynamic_OfForestAndMen,9,1.39656,1404.0,1746036.0,97.0,1.0,0.014,0.088,9.898,1.396829,1.411223,175111.874967,15430.414289,18000.371134,12101173.131658,3478.674048,0.193256,-0.318131,-0.664671,10604.0,24156.0,14.474227,7.397766,2.719884,0.187912,-0.191874,-0.978273,9.0,19.0,6622.0,8219325.0,291.0,1.0,0.019,0.088,29.893,2.19182,2.199665,278063.183631,639211.179985,28245.103093,104411937.975542,10218.215988,0.361769,-0.005379,-1.376572,10604.0,50044.0,22.756014,68.785093,8.293678,0.364461,0.104714,-1.138988,9.0,46.0,16152.0,19637394.0,854.0,0.826718,0.065,0.088,106.069,1.47897,1.481103,173748.813033,-344461.659512,19010.061955,2557374729.84112,50570.492679,2.660196,27.915868,846.925237,0.0,1565898.0,15.636012,1680.886764,40.998619,2.622064,27.830651,842.447862,0.0,1268.0,9
