run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s9_dynamic_TheSwissAccount,0,0.0,1789557175.954,1789557185.954,1.053979,0.136823,0.597849,1.433098,45.257115,53.3422,0.232019,3,142.34525,187.169538,21.277933,99,1334951,1293,6,99
CONT_s9_dynamic_TheSwissAccount,1,10.0,1789557185.954,1789557195.954,2.320321,12.169537,0.0,122.1568,33.126127,46.381551,0.790514,20,106.46408,140.885441,38.129986,96,2914339,2530,5,98
CONT_s9_dynamic_TheSwissAccount,2,20.0,1789557195.954,1789557205.954,0.39779,0.598777,0.0,1.841092,29.463696,152.81147,0.0,0,93.02537,135.805917,34.012631,32,505390,411,2,99
CONT_s9_dynamic_TheSwissAccount,3,30.0,1789557205.954,1789557215.954,0.304851,0.551027,0.0,1.76655,20.55466,121.379405,0.0,0,111.851466,148.458797,37.071891,24,383484,310,2,98
CONT_s9_dynamic_TheSwissAccount,4,40.0,1789557215.954,1789557225.954,0.777618,0.62234,0.0,1.768273,27.231535,114.359891,0.0,0,112.204386,148.132229,28.670519,63,978018,783,2,98
CONT_s9_dynamic_TheSwissAccount,5,50.0,1789557225.954,1789557235.954,1.21497,0.278551,0.706498,1.887188,29.801259,48.958394,0.0,0,129.418846,168.230579,25.096025,99,1543782,1311,4,99
CONT_s9_dynamic_TheSwissAccount,6,60.0,1789557235.954,1789557245.954,1.161138,0.344777,0.0,1.76655,18.415962,23.441921,0.0,0,118.626637,148.494429,30.325985,94,1461513,1180,2,98
CONT_s9_dynamic_TheSwissAccount,7,70.0,1789557245.954,1789557255.954,0.541412,1.049001,0.0,3.412086,10.130634,48.384594,0.0,0,69.973768,124.451786,30.202463,24,687968,537,2,99
CONT_s9_dynamic_TheSwissAccount,8,80.0,1789557255.954,1789557265.954,2.645801,0.800808,0.0,3.634864,9.101342,20.506789,0.95518,26,74.483584,93.571875,13.509302,91,3337490,2722,4,98
CONT_s9_dynamic_TheSwissAccount,9,90.0,1789557265.954,1789557275.954,2.062917,1.104337,0.0,3.744311,12.164761,22.933113,0.949668,20,79.487999,119.294749,23.342037,83,2606038,2106,4,98
CONT_s9_dynamic_TheSwissAccount,10,100.0,1789557275.954,1789557285.954,1.400579,0.32184,0.710456,2.111193,15.553821,16.496823,0.0,0,106.327266,127.975743,20.362263,98,1769493,1428,2,98
CONT_s9_dynamic_TheSwissAccount,11,110.0,1789557285.954,1789557295.954,1.338911,0.38991,0.0,1.879844,15.143078,16.383167,0.0,0,104.595002,127.859595,21.916346,94,1691017,1367,2,98
CONT_s9_dynamic_TheSwissAccount,12,120.0,1789557295.954,1789557305.954,1.254038,0.48071,0.0,1.923728,32.741948,42.461049,0.0,0,123.160038,149.056579,17.592087,86,1570575,1380,4,97
CONT_s9_dynamic_TheSwissAccount,13,130.0,1789557305.954,1789557315.954,1.006294,0.679351,0.0,2.081395,22.116501,47.616988,0.0,0,107.302958,143.870408,28.375774,72,1274044,1062,4,98
CONT_s9_dynamic_TheSwissAccount,14,140.0,1789557315.954,1789557325.954,0.696029,0.71808,0.0,1.918141,19.695914,79.533546,0.0,0,95.171256,127.718166,27.058091,49,880721,703,2,98
CONT_s9_dynamic_TheSwissAccount,15,150.0,1789557325.954,1789557335.954,0.667067,0.355529,0.0,1.44186,34.131883,75.549048,11.072261,95,98.967962,103.56993,20.081987,87,845235,858,2,98
CONT_s9_dynamic_TheSwissAccount,16,160.0,1789557335.954,1789557345.954,0.49596,0.238421,0.0,1.043452,43.010817,65.846227,11.666667,77,96.340317,103.347867,4.291971,92,621530,660,2,97
CONT_s9_dynamic_TheSwissAccount,17,170.0,1789557345.954,1789557355.954,0.816926,1.299378,0.0,5.268837,40.175042,55.577978,7.422267,74,88.855573,102.387942,22.10302,97,1033854,997,2,98
CONT_s9_dynamic_TheSwissAccount,18,180.0,1789557355.954,1789557365.954,1.100732,2.036668,0.0,5.946925,7.041602,27.39765,0.0,0,33.283528,49.961852,11.894837,25,1398119,1148,2,98
CONT_s9_dynamic_TheSwissAccount,19,190.0,1789557365.954,1789557375.954,0.604442,1.6022,0.0,5.826847,2.609061,13.532093,0.151286,1,45.341601,63.926214,14.811054,13,766042,661,2,98
CONT_s9_dynamic_TheSwissAccount,20,200.0,1789557375.954,1789557385.954,3.391176,2.290027,0.0,5.981372,6.16002,20.441555,0.700571,27,47.075705,69.560223,14.988167,70,4258019,3854,4,97
CONT_s9_dynamic_TheSwissAccount,21,210.0,1789557385.954,1789557395.954,5.03209,0.245898,4.298956,5.868516,1.783609,3.967171,0.246184,15,45.400843,60.457436,8.417804,98,6388133,6093,2,98
CONT_s9_dynamic_TheSwissAccount,22,220.0,1789557395.954,1789557405.954,3.437752,2.275678,0.0,5.960077,5.730591,18.920193,0.281426,12,42.501067,64.505734,16.159542,71,4317948,4264,4,97
CONT_s9_dynamic_TheSwissAccount,23,230.0,1789557405.954,1789557415.954,4.975821,2.244454,0.0,10.286023,8.013073,18.647084,0.526811,28,51.208678,65.443716,40.569141,89,6323782,5315,5,98
CONT_s9_dynamic_TheSwissAccount,24,240.0,1789557415.954,1789557425.954,5.615429,1.447022,0.0,6.964617,6.609384,11.087355,0.216819,14,49.446953,65.083934,20.826776,93,7075514,6457,5,97
CONT_s9_dynamic_TheSwissAccount,25,250.0,1789557425.954,1789557435.954,5.214401,2.093647,0.0,7.227437,0.613316,3.078555,0.296275,21,34.755899,46.807589,7.077578,84,6577621,7088,2,97
CONT_s9_dynamic_TheSwissAccount,26,260.0,1789557435.954,1789557445.954,3.553744,2.900462,0.0,7.005813,3.095625,16.542774,0.519657,23,36.904213,53.842433,37.24374,62,4483128,4426,4,97
CONT_s9_dynamic_TheSwissAccount,27,270.0,1789557445.954,1789557455.954,4.151863,2.069832,0.0,6.839962,10.72958,28.642027,1.223964,57,66.012278,101.689121,39.03105,89,5249788,4657,4,97
