run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s10_bola_RedBullPlayStreets,0,0.0,3.6682,0.076,Degraded
CONT_s10_bola_RedBullPlayStreets,1,10.0,3.2705,0,Good
CONT_s10_bola_RedBullPlayStreets,2,20.0,3.6413,0,Good
CONT_s10_bola_RedBullPlayStreets,3,30.0,3.7828,0,Good
CONT_s10_bola_RedBullPlayStreets,4,40.0,3.7542,0,Good
CONT_s10_bola_RedBullPlayStreets,5,50.0,3.7542,0,Good
CONT_s10_bola_RedBullPlayStreets,6,60.0,3.9259,0,Good
CONT_s10_bola_RedBullPlayStreets,7,70.0,3.8114,0,Good
CONT_s10_bola_RedBullPlayStreets,8,80.0,3.7542,0,Good
CONT_s10_bola_RedBullPlayStreets,9,90.0,3.7542,0,Good
CONT_s10_bola_RedBullPlayStreets,10,100.0,3.9259,0,Good
CONT_s10_bola_RedBullPlayStreets,11,110.0,3.1337,0,Good
CONT_s10_bola_RedBullPlayStreets,12,120.0,3.2596,0,Good
CONT_s10_bola_RedBullPlayStreets,13,130.0,2.3913,0,Degraded
CONT_s10_bola_RedBullPlayStreets,14,140.0,2.103,1.65,Critical
CONT_s10_bola_RedBullPlayStreets,15,150.0,2.6596,0,Degraded
CONT_s10_bola_RedBullPlayStreets,16,160.0,2.8748,0,Degraded
CONT_s10_bola_RedBullPlayStreets,17,170.0,2.863,0,Degraded
CONT_s10_bola_RedBullPlayStreets,18,180.0,2.8728,0,Degraded
CONT_s10_bola_RedBullPlayStreets,19,190.0,2.8728,0,Degraded
CONT_s10_bola_RedBullPlayStreets,20,200.0,2.8728,0,Degraded
CONT_s10_bola_RedBullPlayStreets,21,210.0,2.2419,1.405,Critical
CONT_s10_bola_RedBullPlayStreets,22,220.0,1.6189,0,Critical
CONT_s10_bola_RedBullPlayStreets,23,230.0,1.654,0,Critical
CONT_s10_bola_RedBullPlayStreets,24,240.0,1.6189,0,Critical
CONT_s10_bola_RedBullPlayStreets,25,250.0,1.6189,0,Critical
CONT_s10_bola_RedBullPlayStreets,26,260.0,1.6628,0,Critical
CONT_s10_bola_RedBullPlayStreets,27,270.0,1.6277,0.433,Degraded
CONT_s10_bola_RedBullPlayStreets,28,280.0,1.6189,3.509,Critical
CONT_s10_bola_RedBullPlayStreets,29,290.0,1.6189,0,Critical
