run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s10_throughput_Valkaama,0,0.968393,1313.0,1224470.0,94.0,0.949495,0.095,0.078,10.013,0.961689,0.978304,126756.104481,-46003.697917,12368.383838,22507757.585859,4744.234141,0.383578,-0.68204,1.47399,0.0,25757.0,13.262626,30.562977,5.528379,0.416839,0.008642,1.260853,0.0,30.0,1313.0,1224470.0,94.0,0.949495,0.095,0.078,10.013,0.961689,0.978304,126756.104481,-46003.697917,12368.383838,22507757.585859,4744.234141,0.383578,-0.68204,1.47399,0.0,25757.0,13.262626,30.562977,5.528379,0.416839,0.008642,1.260853,0.0,30.0,1313.0,1224470.0,94.0,0.949495,0.095,0.078,10.013,0.961689,0.978304,126756.104481,-46003.697917,12368.383838,22507757.585859,4744.234141,0.383578,-0.68204,1.47399,0.0,25757.0,13.262626,30.562977,5.528379,0.416839,0.008642,1.260853,0.0,30.0,0
CONT_s10_throughput_Valkaama,1,1.021743,1274.0,1281168.0,98.0,1.0,0.024,0.047,9.929,1.024934,1.032263,127391.748971,16176.824798,13073.142857,17454805.752577,4177.894895,0.319578,-0.480634,0.626434,61.0,21066.0,13.0,15.443299,3.929796,0.302292,-0.276605,0.592366,1.0,22.0,2587.0,2505638.0,192.0,0.974619,0.095,0.047,20.044,0.99302,1.000055,127405.488238,-48694.599861,12718.974619,20017028.16772,4474.039357,0.351761,-0.628524,1.274969,0.0,25757.0,13.13198,22.941676,4.789747,0.364739,-0.041746,1.576944,0.0,30.0,2587.0,2505638.0,192.0,0.974619,0.095,0.047,20.044,0.99302,1.000055,127405.488238,-48694.599861,12718.974619,20017028.16772,4474.039357,0.351761,-0.628524,1.274969,0.0,25757.0,13.13198,22.941676,4.789747,0.364739,-0.041746,1.576944,0.0,30.0,1
CONT_s10_throughput_Valkaama,2,0.619413,809.0,776469.0,58.0,0.591837,0.055,0.016,9.929,0.621175,0.625617,68520.693791,160083.732894,7923.153061,62017564.935094,7875.12317,0.993938,0.468142,-0.515838,0.0,31878.0,8.255102,64.666211,8.04153,0.974129,0.424421,-0.512353,0.0,34.0,3396.0,3282107.0,250.0,0.847458,0.095,0.016,30.075,0.869836,0.873046,118867.802237,31611.683301,11125.786441,38926015.726346,6239.071704,0.560776,-0.426612,0.018483,0.0,31878.0,11.511864,41.924178,6.474888,0.562453,-0.270808,0.238142,0.0,34.0,3396.0,3282107.0,250.0,0.847458,0.095,0.016,30.075,0.869836,0.873046,118867.802237,31611.683301,11125.786441,38926015.726346,6239.071704,0.560776,-0.426612,0.018483,0.0,31878.0,11.511864,41.924178,6.474888,0.562453,-0.270808,0.238142,0.0,34.0,2
CONT_s10_throughput_Valkaama,3,1.084685,1388.0,1349437.0,97.0,1.0,0.086,0.064,9.85,1.07955,1.095989,135566.433506,13591.92902,13911.721649,5876875.557131,2424.226796,0.174258,0.346782,2.439192,6401.0,22447.0,14.309278,6.195017,2.488979,0.173942,0.051152,0.16609,8.0,21.0,3471.0,3407074.0,253.0,0.863481,0.024,0.064,29.912,0.908553,0.911226,105064.586969,148957.216134,11628.238908,35372248.326289,5947.457299,0.511467,-0.652953,0.446553,0.0,31878.0,11.846416,35.43866,5.953038,0.502518,-0.669753,0.608833,0.0,34.0,4784.0,4631544.0,347.0,0.885204,0.095,0.064,40.027,0.922021,0.925684,112413.851604,101083.102573,11815.163265,32161109.0321,5671.076532,0.479983,-0.691628,0.706609,0.0,31878.0,12.204082,34.505559,5.874143,0.481326,-0.537373,0.860804,0.0,34.0,3
CONT_s10_throughput_Valkaama,4,1.084296,1367.0,1351894.0,97.0,1.0,0.039,0.089,9.872,1.081515,1.095538,135449.895856,13780.892135,13937.051546,7826359.341065,2797.563108,0.200728,-0.612089,4.865177,3052.0,23599.0,14.092784,7.376718,2.716011,0.192724,-0.731767,2.866076,3.0,21.0,3564.0,3477800.0,252.0,0.863014,0.055,0.089,29.856,0.927413,0.931886,115305.545345,-134505.075183,11910.273973,33251390.213341,5766.401843,0.484154,-0.850435,0.918028,0.0,31878.0,12.205479,33.95076,5.826728,0.477386,-0.888968,1.006866,0.0,34.0,6151.0,5983438.0,444.0,0.907975,0.095,0.089,50.002,0.953802,0.957312,115392.805261,55812.556142,12236.06953,28025462.351713,5293.908041,0.432648,-0.859091,1.293955,0.0,31878.0,12.578732,29.666432,5.44669,0.433008,-0.705389,1.432883,0.0,34.0,4
CONT_s10_throughput_Valkaama,5,0.98547,1257.0,1242846.0,90.0,0.918367,0.014,0.413,9.573,0.994277,1.038626,127367.739537,32025.582016,12682.102041,29051900.236903,5389.981469,0.425007,-1.023835,0.557752,0.0,21441.0,12.826531,27.732485,5.266164,0.410568,-1.081084,0.762958,0.0,22.0,4012.0,3944177.0,284.0,0.972603,0.086,0.413,29.501,1.051781,1.069571,134238.536974,25727.748583,13507.455479,14550026.551276,3814.449705,0.282396,-1.342547,3.751645,0.0,23599.0,13.739726,14.151956,3.761909,0.273798,-1.43654,3.694215,0.0,22.0,7408.0,7226284.0,534.0,0.90971,0.095,0.413,59.678,0.960527,0.968703,118748.157807,-5166.917821,12310.534923,28175258.686065,5308.037178,0.431178,-0.885252,1.153867,0.0,31878.0,12.620102,29.304237,5.413339,0.428946,-0.76369,1.3301,0.0,34.0,5
CONT_s10_throughput_Valkaama,6,0.599708,855.0,748580.0,63.0,0.649485,0.41,0.018,9.572,0.598864,0.625641,75722.442769,-4922.637123,7717.319588,44728232.74055,6687.916921,0.866611,0.026263,-1.311074,0.0,24093.0,8.814433,61.17354,7.821352,0.887335,0.337587,-0.393372,0.0,31.0,3479.0,3343320.0,250.0,0.856164,0.039,0.018,29.943,0.891552,0.893249,113622.286481,188377.654835,11449.726027,34238915.443581,5851.402861,0.511052,-0.883555,-0.087595,0.0,24093.0,11.914384,36.923916,6.076505,0.510014,-0.70036,0.43794,0.0,31.0,8263.0,7974864.0,597.0,0.872807,0.095,0.018,70.073,0.908998,0.910464,117232.124096,28908.907147,11659.157895,33032014.660245,5747.34849,0.492947,-0.779955,0.362478,0.0,31878.0,12.080409,35.50597,5.958689,0.493252,-0.613101,0.680424,0.0,34.0,6
CONT_s10_throughput_Valkaama,7,0.784252,1087.0,973255.0,87.0,0.90625,0.085,0.092,9.823,0.778604,0.792634,96271.257677,-2283.543435,10138.072917,20298604.847259,4505.397302,0.444404,-0.858163,0.632638,0.0,19762.0,11.322917,24.684101,4.96831,0.438784,-0.785859,0.748315,0.0,22.0,3199.0,2964681.0,240.0,0.824742,0.014,0.092,29.894,0.790582,0.793385,90919.088564,216846.008113,10187.907216,35318200.75343,5942.911808,0.58333,-0.544858,-0.615443,0.0,24093.0,10.993127,40.372366,6.353925,0.577991,-0.411811,-0.0545,0.0,31.0,9350.0,8948119.0,684.0,0.876923,0.095,0.092,79.999,0.892736,0.894823,114066.121463,107769.418925,11471.947436,31686792.524833,5629.102284,0.490684,-0.74712,0.369886,0.0,31878.0,11.987179,34.20266,5.848304,0.48788,-0.613629,0.711307,0.0,34.0,7
CONT_s10_throughput_Valkaama,8,0.815709,1058.0,1024904.0,92.0,0.948454,0.012,0.041,9.947,0.819923,0.824292,104602.76085,16405.034703,10566.020619,10748445.228737,3278.482153,0.310285,-1.234448,4.50046,0.0,21500.0,10.907216,11.314218,3.363661,0.308389,-1.373624,4.120129,0.0,21.0,3000.0,2746739.0,242.0,0.834483,0.41,0.041,29.549,0.732464,0.743643,94456.752694,-125566.322144,9471.513793,26683288.133027,5165.586911,0.545381,-0.667457,-0.104452,0.0,24093.0,10.344828,33.403174,5.779548,0.55869,-0.308174,0.689067,0.0,31.0,10408.0,9973023.0,776.0,0.884835,0.095,0.041,90.05,0.884663,0.885999,111904.843401,168630.527644,11371.748005,29436832.572271,5425.572096,0.47711,-0.73679,0.55057,0.0,31878.0,11.867731,31.770156,5.636502,0.474944,-0.600942,0.902105,0.0,34.0,8
CONT_s10_throughput_Valkaama,9,0.85279,1097.0,1060516.0,95.0,0.989583,0.062,0.093,9.845,0.848413,0.86177,106404.457219,10421.359867,11047.041667,13669934.229825,3697.287415,0.334686,-0.210835,0.613759,0.0,19566.0,11.427083,11.489364,3.389596,0.296628,-0.312181,0.960878,0.0,19.0,3242.0,3058675.0,274.0,0.948097,0.085,0.093,29.822,0.815647,0.820515,103073.670035,-31893.524901,10583.650519,14925576.721189,3863.363395,0.365031,-0.808545,1.725788,0.0,21500.0,11.217993,15.754397,3.969181,0.353823,-0.825522,1.954812,0.0,22.0,11505.0,11033539.0,871.0,0.89517,0.095,0.093,99.998,0.881044,0.882701,110291.82877,219377.645003,11339.711202,27874930.168568,5279.671407,0.465591,-0.718265,0.637441,0.0,31878.0,11.824255,29.77258,5.456426,0.46146,-0.589525,1.045759,0.0,34.0,9
CONT_s10_throughput_Valkaama,10,0.73701,1032.0,926207.0,94.0,0.969072,0.011,0.04,9.949,0.740966,0.744764,93129.71498,46831.513735,9548.525773,17659454.939433,4202.315426,0.440101,1.158456,5.110739,0.0,30125.0,10.639175,17.441366,4.176286,0.392539,1.000504,6.374867,0.0,32.0,3187.0,3011627.0,281.0,0.968966,0.012,0.04,29.948,0.803101,0.804495,102764.216712,25067.260466,10384.92069,14321547.658048,3784.382071,0.364411,0.12196,3.158411,0.0,30125.0,10.989655,13.435879,3.665498,0.333541,0.015871,4.676719,0.0,32.0,12537.0,11959746.0,965.0,0.901869,0.095,0.04,110.051,0.868331,0.869397,109086.789509,261487.781927,11177.33271,27196199.099677,5214.997517,0.466569,-0.593788,0.666725,0.0,31878.0,11.716822,28.753225,5.362203,0.45765,-0.499487,1.186977,0.0,34.0,10
CONT_s10_throughput_Valkaama,11,0.585799,837.0,728295.0,92.0,0.958333,0.064,0.092,9.844,0.582636,0.591869,73146.513838,7574.713006,7586.40625,12035267.991118,3469.188376,0.45729,0.663084,3.326037,0.0,20999.0,8.71875,11.930592,3.454069,0.396166,-0.136748,1.568399,0.0,18.0,2966.0,2715018.0,281.0,0.972318,0.062,0.092,29.846,0.724005,0.727741,90990.974485,128783.604509,9394.525952,16373654.222414,4046.437226,0.430723,0.562004,2.394948,0.0,30125.0,10.262976,14.833381,3.851413,0.375273,0.336834,3.60168,0.0,32.0,13374.0,12688041.0,1057.0,0.906518,0.095,0.092,119.999,0.84456,0.845876,107222.161378,332899.00172,10881.681818,26911643.04803,5187.643304,0.476732,-0.469281,0.490769,0.0,31878.0,11.469983,28.036437,5.294944,0.461635,-0.412997,1.099582,0.0,34.0,11
CONT_s10_throughput_Valkaama,12,0.583202,815.0,732974.0,94.0,0.969072,0.012,0.037,9.951,0.586379,0.589267,73047.886495,5889.47246,7556.43299,11218058.685567,3349.337052,0.443243,-0.051581,0.463969,0.0,16342.0,8.402062,9.409579,3.067504,0.365089,-0.635879,1.068763,0.0,17.0,2684.0,2387476.0,280.0,0.965517,0.011,0.037,29.952,0.63666,0.637681,76142.158137,135604.823678,8232.675862,14422137.700799,3797.64897,0.46129,0.828894,4.154591,0.0,30125.0,9.255172,13.823935,3.718055,0.401727,0.517442,4.949598,0.0,32.0,14189.0,13421015.0,1151.0,0.911322,0.095,0.037,130.054,0.824729,0.825566,104957.687802,426982.103461,10626.298496,26481125.398151,5145.981481,0.484268,-0.379057,0.381631,0.0,31878.0,11.234363,27.265157,5.221605,0.464789,-0.333661,1.051921,0.0,34.0,12
CONT_s10_throughput_Valkaama,13,1.935177,2150.0,2462946.0,95.0,0.969388,0.171,0.049,9.972,1.933239,1.975889,238997.133392,-476057.453053,25132.102041,30793553162.25752,175480.919653,6.982342,9.742235,92.944831,0.0,1744285.0,21.938776,19107.563223,138.23011,6.300721,9.738867,92.901598,0.0,1376.0,3802.0,3924215.0,281.0,0.965636,0.064,0.049,30.079,1.039803,1.043709,95045.970541,-204230.085544,13485.274914,10376684977.86899,101866.014833,7.55387,16.943079,285.381273,0.0,1744285.0,13.065292,6438.309515,80.239077,6.141392,16.927925,285.040522,0.0,1376.0,16339.0,15883961.0,1246.0,0.915503,0.095,0.049,140.234,0.905211,0.90614,103669.158841,483364.880007,11670.801616,2234948530.128263,47275.242254,4.050728,36.208385,1324.55618,0.0,1744285.0,12.005143,1395.781591,37.36016,3.112013,35.793601,1304.364968,0.0,1376.0,13
CONT_s10_throughput_Valkaama,14,0.450771,662.0,638248.0,89.0,0.816514,0.055,0.14,11.121,0.451218,0.45913,56979.969094,4537.237939,5855.486239,17628275.955827,4198.604048,0.717038,0.416815,-0.22721,0.0,18145.0,6.073394,18.420489,4.29191,0.706674,0.53181,0.493572,0.0,21.0,3627.0,3834168.0,278.0,0.914474,0.012,0.14,31.356,0.97351,0.978229,148110.179956,-477361.291939,12612.394737,9943143020.992176,99715.309863,7.906136,17.313073,298.164767,0.0,1744285.0,11.930921,6175.213034,78.582524,6.586459,17.289768,297.628399,0.0,1376.0,17001.0,16522209.0,1335.0,0.908163,0.095,0.14,151.459,0.871344,0.872696,105267.35803,406706.465816,11239.597959,2072734294.292305,45527.291752,4.050616,37.559929,1427.297641,0.0,1744285.0,11.565306,1295.985862,35.999804,3.112741,37.072942,1402.674603,0.0,1376.0,14
CONT_s10_throughput_Valkaama,15,0.468522,646.0,584943.0,86.0,0.895833,0.07,0.047,9.883,0.467954,0.473494,57802.584892,13591.957616,6093.15625,15359733.985855,3919.149651,0.643205,0.557937,0.392302,0.0,16219.0,6.729167,12.536404,3.540678,0.526169,-0.227053,0.362583,0.0,18.0,3458.0,3686137.0,270.0,0.891089,0.171,0.047,31.29,0.935924,0.942445,123688.674703,374661.895455,12165.468647,9982432161.720037,99912.122196,8.212764,17.281412,297.101044,0.0,1744285.0,11.412541,6200.94514,78.74608,6.89996,17.25891,296.583972,0.0,1376.0,17647.0,17107152.0,1421.0,0.907407,0.095,0.047,161.552,0.846396,0.84714,105103.960874,415499.687183,10924.10728,1948046405.750783,44136.67869,4.040301,38.714857,1517.96997,0.0,1744285.0,11.268838,1218.595412,34.908386,3.09778,38.190161,1490.59554,0.0,1376.0,15
CONT_s10_throughput_Valkaama,16,0.278873,445.0,348223.0,51.0,0.53125,0.057,0.055,9.888,0.278578,0.281734,30944.474416,54036.291078,3627.322917,19299213.589364,4393.087023,1.21111,1.570349,3.380371,0.0,20175.0,4.635417,25.918311,5.091003,1.098284,0.794297,0.138158,0.0,21.0,1753.0,1571414.0,226.0,0.750831,0.055,0.055,31.206,0.401434,0.402849,53232.32814,42267.112687,5220.644518,18523928.943212,4303.943418,0.824408,0.73112,0.60677,0.0,20175.0,5.82392,19.545559,4.421036,0.759117,0.36043,0.120182,0.0,21.0,18092.0,17455375.0,1472.0,0.88568,0.095,0.055,171.544,0.813325,0.814036,103923.433739,481089.450038,10502.632371,1839459448.970727,42888.919886,4.083635,39.782734,1605.754775,0.0,1744285.0,10.88568,1152.043515,33.941767,3.11802,39.177652,1573.270383,0.0,1376.0,16
CONT_s10_throughput_Valkaama,17,0.130148,214.0,162611.0,29.0,0.302083,0.049,0.691,9.26,0.130089,0.140485,16924.306458,-2261.693754,1693.864583,10722826.391996,3274.572704,1.933196,2.291571,6.196179,0.0,16974.0,2.229167,15.167982,3.894609,1.747115,1.503975,1.129094,0.0,16.0,1305.0,1095777.0,166.0,0.576389,0.07,0.691,29.239,0.292207,0.299812,35740.537729,168254.730651,3804.78125,18274509.133166,4274.869487,1.123552,1.170483,1.522253,0.0,20175.0,4.53125,21.141877,4.59803,1.014738,0.569723,-0.3322,0.0,21.0,18306.0,17617986.0,1501.0,0.853811,0.095,0.691,180.908,0.775721,0.779092,101694.064901,611975.919123,10021.607509,1743541889.581776,41755.740798,4.166571,40.788082,1691.614931,0.0,1744285.0,10.412969,1093.78838,33.072472,3.176085,40.075782,1652.339139,0.0,1376.0,17
CONT_s10_throughput_Valkaama,18,0.196023,314.0,244897.0,39.0,0.40625,1.391,0.079,8.53,0.195918,0.229681,24273.014793,-1855.949994,2551.010417,15994048.157785,3999.255951,1.567714,1.986748,5.050467,0.0,20034.0,3.270833,21.167982,4.600868,1.406635,1.182353,0.799579,0.0,20.0,973.0,755731.0,119.0,0.413194,0.057,0.079,29.864,0.201528,0.202446,21444.803843,101610.352271,2624.065972,15859698.438141,3982.423689,1.517654,1.909764,4.668847,0.0,20175.0,3.378472,21.580998,4.645535,1.37504,1.145235,0.673838,0.0,21.0,18620.0,17862883.0,1540.0,0.830636,0.095,0.079,191.52,0.745475,0.746152,98833.727228,789169.061345,9634.780475,1656774340.961496,40703.492982,4.224641,41.779973,1778.066247,0.0,1744285.0,10.04315,1040.712654,32.260078,3.212147,40.975944,1732.585076,0.0,1376.0,18
CONT_s10_throughput_Valkaama,19,0.16703,276.0,208417.0,66.0,0.6875,0.025,0.092,9.883,0.166734,0.168707,20161.46022,-5215.228258,2171.010417,5157915.31568,2271.104426,1.046105,2.229745,10.347912,0.0,15444.0,2.875,7.5,2.738613,0.952561,1.231987,2.504235,0.0,14.0,804.0,615925.0,134.0,0.465278,0.049,0.092,29.859,0.164247,0.165022,20986.062437,-25313.195301,2138.628472,10674291.237793,3267.153384,1.527686,2.266762,7.303444,0.0,20034.0,2.791667,14.695122,3.833422,1.373166,1.381749,1.643395,0.0,20.0,18896.0,18071300.0,1606.0,0.82359,0.095,0.092,201.507,0.716781,0.717446,95671.470896,995480.415276,9267.333333,1578028489.849837,39724.406727,4.286498,42.758921,1865.087035,0.0,1744285.0,9.690256,992.223148,31.499574,3.250644,41.880276,1814.145376,0.0,1376.0,19
CONT_s10_throughput_Valkaama,20,0.196995,336.0,261384.0,66.0,0.647059,0.012,0.243,10.303,0.198056,0.202958,25297.911704,1024.617436,2562.588235,10408840.71986,3226.273504,1.25899,1.564683,2.187092,0.0,13403.0,3.294118,12.942341,3.597547,1.092112,1.396728,2.296025,0.0,18.0,926.0,714698.0,171.0,0.581633,1.391,0.243,28.924,0.187106,0.197676,23166.289419,10.88142,2430.945578,10479069.416823,3237.139079,1.331638,2.049737,6.032053,0.0,20034.0,3.14966,13.793225,3.713923,1.179151,1.369365,2.129546,0.0,20.0,19232.0,18332684.0,1672.0,0.814815,0.095,0.243,211.914,0.690978,0.69208,92209.562835,1233102.362571,8934.05653,1502187306.120643,38758.061176,4.338238,43.77294,1957.412132,0.0,1744285.0,9.37232,945.448829,30.748152,3.280741,42.81681,1900.582245,0.0,1376.0,20
CONT_s10_throughput_Valkaama,21,0.205679,384.0,278791.0,86.0,0.826923,0.069,0.238,10.531,0.205788,0.211787,25331.664528,10413.064896,2680.682692,5789492.898338,2406.136509,0.897583,1.028374,1.231321,0.0,10890.0,3.692308,10.059746,3.17171,0.859005,1.070611,1.196559,0.0,15.0,996.0,748592.0,218.0,0.721854,0.025,0.238,31.133,0.190748,0.19236,24717.011035,-29270.060769,2478.781457,7148378.463708,2673.645164,1.078613,1.634785,3.813011,0.0,15444.0,3.298013,10.263053,3.2036,0.971373,1.28887,2.198186,0.0,18.0,19616.0,18611475.0,1758.0,0.815399,0.095,0.238,222.757,0.667407,0.668405,88716.086829,1485290.130404,8632.409555,1431764822.932418,37838.668356,4.383326,44.794703,2052.238832,0.0,1744285.0,9.09833,901.784294,30.029724,3.300575,43.772032,1989.961005,0.0,1376.0,21
CONT_s10_throughput_Valkaama,22,0.188475,276.0,235634.0,46.0,0.479167,0.074,0.339,9.587,0.188507,0.196628,24669.427008,6383.433354,2454.520833,14958520.54693,3867.624665,1.575715,1.532384,1.298195,0.0,14750.0,2.875,17.078947,4.132668,1.43745,1.543966,2.184213,0.0,20.0,996.0,775809.0,198.0,0.655629,0.012,0.339,31.045,0.197684,0.199919,25264.869975,2241.293221,2568.903974,10203420.744901,3194.279378,1.243441,1.513152,2.056571,0.0,14750.0,3.298013,13.286308,3.645039,1.105223,1.339007,2.002259,0.0,20.0,19892.0,18847109.0,1804.0,0.801066,0.095,0.339,232.656,0.646861,0.648068,85581.237087,1722416.936636,8369.05373,1372892948.989115,37052.570073,4.427331,45.69262,2138.209153,0.0,1744285.0,8.833037,865.627375,29.421546,3.330853,44.583897,2069.251779,0.0,1376.0,22
