run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s11_l2a_TearsOfSteel,0,0.661551,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s11_l2a_TearsOfSteel,1,0.458261,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,2,901217.5,10.7365,196239.0,4.2,2.46,1.74,0.373789
CONT_s11_l2a_TearsOfSteel,2,0.625002,1,168007.0,2.255,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,168007.0,3.892,2.255,1.637,0.345338
CONT_s11_l2a_TearsOfSteel,3,0.865866,0,0.0,0.0,1,168007.0,2.255,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,3,656814.0,7.909333,168007.0,3.892,2.255,1.637,0.345338
CONT_s11_l2a_TearsOfSteel,4,0.776803,1,2789414.0,26.429,1,2789414.0,26.429,2,1478710.5,14.342,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,4,1189964.0,12.53925,2789414.0,27.556,26.429,1.127,0.809817
CONT_s11_l2a_TearsOfSteel,5,0.488072,2,122891.0,1.1765,3,1011732.0,9.594,3,1011732.0,9.594,4,800800.75,7.75925,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,6,834273.0,8.751667,167281.0,2.251,1.433,0.818,0.594513
CONT_s11_l2a_TearsOfSteel,6,0.694366,1,1231274.0,10.985,3,492352.0,4.446,4,1066617.5,9.94175,4,1066617.5,9.94175,5,886895.4,8.4044,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,1231274.0,13.555,10.985,2.57,0.726683
CONT_s11_l2a_TearsOfSteel,7,0.941351,0,0.0,0.0,1,1231274.0,10.985,3,492352.0,4.446,4,1066617.5,9.94175,4,1066617.5,9.94175,5,886895.4,8.4044,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,1231274.0,13.555,10.985,2.57,0.726683
CONT_s11_l2a_TearsOfSteel,8,0.956116,0,0.0,0.0,0,0.0,0.0,1,1231274.0,10.985,3,492352.0,4.446,4,1066617.5,9.94175,4,1066617.5,9.94175,5,886895.4,8.4044,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,1231274.0,13.555,10.985,2.57,0.726683
CONT_s11_l2a_TearsOfSteel,9,1.600717,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1231274.0,10.985,3,492352.0,4.446,4,1066617.5,9.94175,4,1066617.5,9.94175,5,886895.4,8.4044,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,7,890987.429,9.070714,1231274.0,13.555,10.985,2.57,0.726683
CONT_s11_l2a_TearsOfSteel,10,0.564587,3,1694214.333,11.938667,3,1694214.333,11.938667,3,1694214.333,11.938667,3,1694214.333,11.938667,4,1578479.25,11.70025,6,1093283.167,8.192333,7,1335587.571,10.797571,7,1335587.571,10.797571,8,1189640.0,9.72975,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,35679.0,2.061,0.206,1.855,0.138492
CONT_s11_l2a_TearsOfSteel,11,0.849715,0,0.0,0.0,3,1694214.333,11.938667,3,1694214.333,11.938667,3,1694214.333,11.938667,3,1694214.333,11.938667,4,1578479.25,11.70025,6,1093283.167,8.192333,7,1335587.571,10.797571,7,1335587.571,10.797571,8,1189640.0,9.72975,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,10,1131955.5,9.9311,35679.0,2.061,0.206,1.855,0.138492
