run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s11_l2a_Valkaama,0,0.0,1789929122.37,1789929132.37,0.664684,0.341625,0.0,1.53564,833524,868,6,98,35.514001,69.249719,0.0,0,0.0,0.0,0.0,0,0.593516,0.665972,0.404563,1.302109,0.664684,0.0,868,0.66458,1.000156,833524,0.05102
CONT_s11_l2a_Valkaama,1,10.0,1789929132.37,1789929142.37,0.667865,0.330419,0.0,1.6418,846329,928,3,99,21.48211,29.601107,0.0,0,0.0,0.0,0.0,0,0.708672,0.670637,0.134037,1.037656,0.003181,1.004786,60,0.666212,1.002481,1679853,0.060606
CONT_s11_l2a_Valkaama,2,20.0,1789929142.37,1789929152.37,0.53499,0.420574,0.0,1.640078,678133,773,3,99,17.806313,34.606125,0.0,0,0.0,0.0,0.0,0,0.957827,0.371647,0.472444,1.563444,-0.132875,0.801045,-155,0.622336,0.859648,2357986,0.262626
CONT_s11_l2a_Valkaama,3,30.0,1789929152.37,1789929162.37,0.708635,0.398111,0.0,1.560391,889022,958,3,98,17.086552,32.46823,0.0,0,0.0,0.0,0.0,0,0.463828,0.843645,0.30176,1.560391,0.173645,1.324576,185,0.643828,1.100659,3247008,0.183673
CONT_s11_l2a_Valkaama,4,40.0,1789929162.37,1789929172.37,0.833759,0.337349,0.0,1.671937,1056468,1102,3,99,18.656636,24.089146,0.0,0,0.0,0.0,0.0,0,1.036644,0.868924,0.165838,1.193828,0.125124,1.17657,144,0.681963,1.222587,4303476,0.060606
CONT_s11_l2a_Valkaama,5,50.0,1789929172.37,1789929182.37,0.864611,0.378563,0.0,1.670528,1096037,1135,3,99,19.380338,30.157957,0.0,0,0.0,0.0,0.0,0,0.922813,0.866502,0.22539,1.423047,0.030852,1.037003,33,0.712515,1.213464,5399513,0.050505
CONT_s11_l2a_Valkaama,6,60.0,1789929182.37,1789929192.37,1.824204,8.933991,0.004747,89.773801,2293422,2130,5,98,34.012861,58.777172,0.0,0,0.0,0.0,0.0,0,1.370973,0.979944,0.324066,1.551237,0.959593,2.109855,995,0.870661,2.095194,7692935,0.010204
CONT_s11_l2a_Valkaama,7,70.0,1789929192.37,1789929202.37,0.827593,0.469286,0.0,1.642651,1041621,1065,3,98,17.93491,25.175094,0.0,0,0.0,0.0,0.0,0,1.04888,0.963954,0.361263,1.626407,-0.996611,0.453673,-1065,0.865255,0.956473,8734556,0.142857
CONT_s11_l2a_Valkaama,8,80.0,1789929202.37,1789929212.444,0.964913,0.250051,0.236589,1.769553,1228407,1271,5,99,20.865939,45.121468,0.0,0,0.0,0.0,0.0,0,1.154762,0.980574,0.253828,1.497709,0.13732,1.165927,206,0.876413,1.10098,9962963,0.0
CONT_s11_l2a_Valkaama,9,90.0,1789929212.444,1789929223.663,2.322156,14.58099,0.0,154.50035,3289194,2862,5,110,36.569298,57.693657,0.0,0,0.0,0.0,0.0,0,0.970165,0.900298,0.312501,1.636047,1.357243,2.406596,1591,1.036564,2.240244,13252157,0.027273
CONT_s11_l2a_Valkaama,10,100.0,1789929223.663,1789929233.663,0.886557,0.359772,0.0,1.534743,1121157,1116,5,98,33.008907,59.809807,0.0,0,0.0,0.0,0.0,0,0.0,0.861711,0.545969,1.534743,-1.435599,0.381782,-1746,1.023068,0.866567,14373314,0.040816
CONT_s11_l2a_Valkaama,11,110.0,1789929233.663,1789929243.663,0.89477,0.432916,0.0,1.619399,1130759,1113,3,98,19.789086,28.71105,0.0,0,0.0,0.0,0.0,0,0.911891,0.891917,0.481905,1.530242,0.008213,1.009264,-3,1.01246,0.883758,15504073,0.081633
CONT_s11_l2a_Valkaama,12,120.0,1789929243.663,1789929255.551,0.519314,0.386902,0.0,1.7875,780692,865,3,117,24.994113,37.225412,0.0,0,0.0,0.0,0.0,0,0.265296,0.405484,0.379023,1.284117,-0.375456,0.580388,-248,0.968358,0.536283,16284765,0.111111
CONT_s11_l2a_Valkaama,13,130.0,1789929255.551,1789929265.551,0.40193,0.360692,0.0,1.520698,502864,566,4,97,30.893649,51.438103,0.0,0,0.0,0.0,0.0,0,0.0,0.392154,0.315608,1.234341,-0.117384,0.773963,-299,0.929078,0.432612,16787629,0.216495
CONT_s11_l2a_Valkaama,14,140.0,1789929265.551,1789929278.751,0.407855,0.288955,0.0,1.246544,680998,769,5,129,59.375943,120.334178,0.0,0,0.0,0.0,0.0,0,0.487091,0.413999,0.200254,0.967413,0.005925,1.014741,203,0.884965,0.460871,17468627,0.139535
CONT_s11_l2a_Valkaama,15,150.0,1789929278.751,1789929289.736,0.420273,0.216367,0.0,1.271514,584017,657,5,107,75.103106,125.905428,0.0,0,0.0,0.0,0.0,0,0.228866,0.420404,0.242235,0.934696,0.012418,1.030447,-112,0.854399,0.491893,18052644,0.074766
CONT_s11_l2a_Valkaama,16,160.0,1789929289.736,1789929299.736,0.422388,0.309476,0.0,1.371473,533110,569,5,97,58.286086,100.205993,0.0,0,0.0,0.0,0.0,0,0.0,0.436165,0.383654,1.371473,0.002115,1.005032,-88,0.830072,0.508857,18585754,0.164948
CONT_s11_l2a_Valkaama,17,170.0,1789929299.736,1789929309.736,0.426273,0.36459,0.0,1.289933,537564,570,3,97,30.495377,55.990944,0.0,0,0.0,0.0,0.0,0,0.0,0.412123,0.31342,1.139385,0.003885,1.009198,1,0.808531,0.527219,19123318,0.237113
CONT_s11_l2a_Valkaama,18,180.0,1789929309.736,1789929319.736,0.413586,0.324596,0.0,1.255869,522355,547,4,97,46.403166,111.596861,0.0,0,0.0,0.0,0.0,0,1.255869,0.427512,0.389406,1.255869,-0.012687,0.970237,-23,0.788512,0.524515,19645673,0.206186
CONT_s11_l2a_Valkaama,19,190.0,1789929319.736,1789929329.736,8.850361,39.713335,0.0,239.178879,11297244,9240,2,97,17.272751,101.066364,0.0,0,0.0,0.0,0.0,0,0.0,29.275276,68.410251,239.178879,8.436775,21.399083,8693,1.181949,7.487938,30942917,0.659794
