run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s12_dynamic_RedBullPlayStreets,0,0.208263,458.0,333254.0,78.0,0.624,0.054,0.287,12.496,0.207683,0.213351,25621.306954,11618.116483,2666.032,14652122.337677,3827.809078,1.43577,1.894358,3.049719,0.0,15491.0,3.664,21.079742,4.591268,1.253075,1.532469,2.063268,0.0,21.0,458.0,333254.0,78.0,0.624,0.054,0.287,12.496,0.207683,0.213351,25621.306954,11618.116483,2666.032,14652122.337677,3827.809078,1.43577,1.894358,3.049719,0.0,15491.0,3.664,21.079742,4.591268,1.253075,1.532469,2.063268,0.0,21.0,458.0,333254.0,78.0,0.624,0.054,0.287,12.496,0.207683,0.213351,25621.306954,11618.116483,2666.032,14652122.337677,3827.809078,1.43577,1.894358,3.049719,0.0,15491.0,3.664,21.079742,4.591268,1.253075,1.532469,2.063268,0.0,21.0,0
CONT_s12_dynamic_RedBullPlayStreets,1,0.204782,296.0,257495.0,64.0,0.653061,0.226,0.123,9.651,0.205996,0.213445,25771.36624,2879.916628,2627.5,12157457.798969,3486.754623,1.327024,1.842812,3.347521,0.0,16249.0,3.020408,11.360404,3.37052,1.115915,1.18872,0.907419,0.0,15.0,754.0,590749.0,142.0,0.636771,0.054,0.123,22.66,0.206945,0.208561,25453.54723,12298.714069,2649.098655,13496478.089323,3673.755312,1.386794,1.882619,3.212081,0.0,16249.0,3.381166,16.840545,4.103723,1.213701,1.550429,2.451274,0.0,21.0,754.0,590749.0,142.0,0.636771,0.054,0.123,22.66,0.206945,0.208561,25453.54723,12298.714069,2649.098655,13496478.089323,3673.755312,1.386794,1.882619,3.212081,0.0,16249.0,3.381166,16.840545,4.103723,1.213701,1.550429,2.451274,0.0,21.0,1
CONT_s12_dynamic_RedBullPlayStreets,2,0.851753,1139.0,1216024.0,94.0,0.846847,0.287,0.032,11.111,0.85111,0.875546,139568.018935,-256917.973927,10955.171171,5436709371.379524,73734.04486,6.730524,10.368872,105.680451,0.0,780212.0,10.261261,3268.140213,57.16765,5.571211,10.332862,105.183448,0.0,606.0,1893.0,1806773.0,236.0,0.706587,0.054,0.032,34.181,0.421811,0.422872,44617.181964,-186910.554433,5409.5,1820261903.584085,42664.527462,7.886963,18.012331,324.60805,0.0,780212.0,5.667665,1101.32766,33.186257,5.855367,17.803444,319.547099,0.0,606.0,1893.0,1806773.0,236.0,0.706587,0.054,0.032,34.181,0.421811,0.422872,44617.181964,-186910.554433,5409.5,1820261903.584085,42664.527462,7.886963,18.012331,324.60805,0.0,780212.0,5.667665,1101.32766,33.186257,5.855367,17.803444,319.547099,0.0,606.0,2
CONT_s12_dynamic_RedBullPlayStreets,3,0.409654,628.0,527763.0,98.0,0.98,0.071,0.023,10.205,0.409953,0.413729,51227.160489,4126.867254,5277.63,4166285.144545,2041.147997,0.386755,0.096864,1.599049,0.0,10997.0,6.28,6.062222,2.462158,0.392063,0.094996,1.034692,0.0,14.0,2063.0,2001282.0,256.0,0.828479,0.226,0.023,31.48,0.504594,0.508585,75173.823998,-301628.411502,6476.640777,1959259217.217943,44263.520163,6.834333,17.369017,301.118781,0.0,780212.0,6.676375,1181.654667,34.375204,5.148782,17.233422,297.969367,0.0,606.0,2521.0,2334536.0,334.0,0.769585,0.054,0.023,44.489,0.41907,0.419796,56681.785988,-339261.605262,5379.115207,1400833751.520184,37427.713683,6.957968,20.513914,422.180364,0.0,780212.0,5.808756,848.432163,29.127859,5.014475,20.227843,414.291616,0.0,606.0,3
CONT_s12_dynamic_RedBullPlayStreets,4,0.40892,626.0,511708.0,90.0,0.927835,0.08,0.011,9.909,0.409366,0.413126,51155.945697,3792.396736,5275.340206,8353785.205971,2890.291543,0.547887,0.355367,0.343121,0.0,13221.0,6.453608,13.021263,3.608499,0.559144,0.321309,-0.174647,0.0,15.0,2393.0,2255495.0,282.0,0.915584,0.287,0.011,31.431,0.56869,0.574082,72406.027136,158722.609741,7323.035714,1959419898.106212,44265.335174,6.04467,17.366434,300.729897,0.0,780212.0,7.769481,1180.536264,34.358933,4.422295,17.219646,297.324209,0.0,606.0,3147.0,2846244.0,424.0,0.798493,0.054,0.011,54.501,0.417292,0.41779,58662.202514,-370731.421329,5360.158192,1145969493.548513,33852.171179,6.315517,22.647593,515.88564,0.0,780212.0,5.926554,695.573841,26.373734,4.450096,22.244717,503.611991,0.0,606.0,4
CONT_s12_dynamic_RedBullPlayStreets,5,0.40859,596.0,507213.0,91.0,0.947917,0.092,0.079,9.829,0.40577,0.41283,50998.877122,5702.347743,5283.46875,6662395.451645,2581.161648,0.488535,0.954916,3.58335,0.0,16538.0,6.208333,8.608772,2.934071,0.472602,0.751549,2.279286,0.0,17.0,1850.0,1546684.0,279.0,0.952218,0.071,0.079,30.149,0.408379,0.410411,51171.463505,4311.980511,5278.784983,6326563.587171,2515.266107,0.476486,0.528527,1.934899,0.0,16538.0,6.313993,9.147646,3.024508,0.479017,0.443744,0.985963,0.0,17.0,3743.0,3353457.0,515.0,0.821372,0.054,0.079,64.433,0.415507,0.416365,58414.953698,-365565.314783,5348.416268,971241593.137946,31164.749207,5.826912,24.572585,608.456645,0.0,780212.0,5.969697,590.221125,24.294467,4.069632,24.086145,592.365644,0.0,606.0,5
CONT_s12_dynamic_RedBullPlayStreets,6,0.195006,288.0,244720.0,41.0,0.42268,0.025,0.038,9.937,0.195776,0.197017,21738.188229,44067.79038,2522.886598,18536967.247423,4305.457844,1.70656,2.557493,8.611007,0.0,25737.0,2.969072,21.488617,4.635582,1.56129,1.939632,4.142546,0.0,23.0,1510.0,1263641.0,222.0,0.765517,0.08,0.038,29.882,0.336971,0.338302,45272.287529,56003.467445,4357.382759,12819899.399702,3580.48871,0.821706,1.177306,4.159917,0.0,25737.0,5.206897,16.829018,4.102319,0.787863,0.711365,0.99897,0.0,23.0,4031.0,3598177.0,556.0,0.767956,0.054,0.038,74.474,0.386039,0.386516,56559.417643,-321936.599417,4969.857735,844325647.50532,29057.282177,5.846703,26.285433,698.765702,0.0,780212.0,5.56768,514.934556,22.692169,4.075696,25.641726,675.916748,0.0,606.0,6
CONT_s12_dynamic_RedBullPlayStreets,7,0.124348,209.0,154586.0,54.0,0.5625,0.066,0.607,9.327,0.123669,0.132592,15042.291803,4954.546249,1610.270833,6312736.010088,2512.515873,1.560306,3.969227,20.451354,0.0,16686.0,2.177083,7.347259,2.710583,1.245052,2.311093,8.602334,0.0,16.0,1093.0,906519.0,186.0,0.643599,0.092,0.607,29.301,0.241738,0.247505,28797.091583,153267.06431,3136.743945,12898744.899486,3591.482271,1.144971,1.924635,6.549836,0.0,25737.0,3.782007,15.469675,3.933151,1.039964,1.319373,2.683599,0.0,23.0,4240.0,3752763.0,610.0,0.743902,0.054,0.607,83.905,0.355014,0.357811,52836.908983,-223396.909196,4576.540244,747257430.151003,27336.00977,5.973073,27.910213,789.38622,0.0,780212.0,5.170732,456.617946,21.368621,4.132611,27.160934,761.09447,0.0,606.0,7
CONT_s12_dynamic_RedBullPlayStreets,8,0.167034,242.0,209845.0,63.0,0.649485,0.014,0.036,9.95,0.167876,0.16872,22350.060561,-14208.067754,2163.350515,8927537.292526,2987.898474,1.381144,2.315298,5.890123,0.0,14750.0,2.494845,7.002577,2.646238,1.060682,1.16869,1.12897,0.0,11.0,739.0,609151.0,158.0,0.544828,0.025,0.036,29.939,0.16244,0.162771,17497.499709,62169.301549,2100.52069,11339316.617218,3367.390179,1.603122,2.983983,12.116683,0.0,25737.0,2.548276,11.985551,3.462015,1.358572,2.22133,7.113406,0.0,23.0,4482.0,3962608.0,673.0,0.733915,0.054,0.036,94.476,0.335225,0.335544,48859.548496,-105327.351172,4321.273719,669613541.757965,25876.892042,5.988256,29.446111,880.350335,0.0,780212.0,4.887677,409.676234,20.24046,4.141121,28.615451,847.202122,0.0,606.0,8
CONT_s12_dynamic_RedBullPlayStreets,9,0.178958,244.0,222525.0,43.0,0.447917,0.068,0.291,9.641,0.17802,0.184649,22564.263528,1379.802556,2317.96875,16141378.220066,4017.63341,1.733256,1.937085,2.650608,0.0,14812.0,2.541667,13.87193,3.724504,1.465379,1.342155,0.547452,0.0,13.0,695.0,586956.0,160.0,0.553633,0.066,0.291,29.643,0.156522,0.158407,19905.855481,-27969.184188,2030.989619,10474939.239475,3236.50108,1.593559,2.525757,6.583893,0.0,16686.0,2.404844,9.359838,3.059385,1.272176,1.605292,2.689721,0.0,16.0,4726.0,4185133.0,716.0,0.706811,0.054,0.291,104.221,0.320191,0.321251,45477.671862,6268.534042,4131.424482,607952760.918451,24656.698094,5.968086,30.830421,967.816008,0.0,780212.0,4.66535,372.588492,19.302551,4.137428,29.895423,928.660148,0.0,606.0,9
