run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s12_l2a_BigBuckBunny,1789923299.478,0.1001,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923299.579,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923299.68,0.101,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923299.781,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923299.882,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923299.983,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.084,0.101,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.185,0.101,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.286,0.101,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.388,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.489,0.1012,141,1,0,0.0,0,1
CONT_s12_l2a_BigBuckBunny,1789923300.59,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.691,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.792,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.894,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923300.995,0.1014,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.096,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.197,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.298,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.4,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.501,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.602,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.704,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.805,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923301.906,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.007,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.108,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.209,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.31,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.412,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.513,0.1013,141,1,0,0.0,0,1
CONT_s12_l2a_BigBuckBunny,1789923302.614,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.715,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.816,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923302.918,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.019,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.12,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.221,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.322,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.424,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.525,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.626,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.727,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.829,0.102,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923303.93,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.032,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.133,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.234,0.1011,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.335,0.1013,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.436,0.1012,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.538,0.1013,141,1,0,93128.0,0,1
CONT_s12_l2a_BigBuckBunny,1789923304.639,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.741,0.1014,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.842,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923304.945,0.1029,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.047,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.148,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.25,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.351,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.455,0.1035,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.556,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.658,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.759,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.861,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923305.963,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.064,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.166,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.267,0.1014,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.369,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.471,0.1018,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.572,0.1015,141,1,0,202394.0,0,1
CONT_s12_l2a_BigBuckBunny,1789923306.674,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.775,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.877,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923306.978,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.08,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.181,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.283,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.385,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.486,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.588,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.689,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.791,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.892,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923307.994,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.096,0.1014,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.197,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.298,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.4,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.502,0.1016,141,1,0,207053.0,0,1
CONT_s12_l2a_BigBuckBunny,1789923308.603,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.705,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.806,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923308.908,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.01,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.111,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.212,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.314,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.416,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.517,0.1016,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.619,0.1017,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.72,0.1015,0,0,0,0,0,0
CONT_s12_l2a_BigBuckBunny,1789923309.822,0.1015,0,0,0,0,0,0
