run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s12_l2a_TearsOfSteel,0,0.0,1789844706.309,1789844716.858,0.206186,0.090803,0.0,0.453777,274692,412,4,104,52.713854,147.26892,0.0,0,0.0,0.0,0.0,0,0.238073,0.209681,0.081097,0.357229,0.206186,0.0,412,0.206163,1.000112,274692,0.057692
CONT_s12_l2a_TearsOfSteel,1,10.0,1789844716.858,1789844747.788,0.634797,5.663671,0.0,98.679184,2457442,2438,5,301,101.053686,220.577954,0.0,0,0.0,0.0,0.0,0,0.289786,0.413968,0.13172,0.693903,0.428611,3.078759,2026,0.525249,1.208564,2732134,0.086379
CONT_s12_l2a_TearsOfSteel,2,20.0,1789844747.788,1789844760.703,0.408228,0.274051,0.0,1.235934,664236,776,6,126,64.316652,107.508167,0.0,0,0.0,0.0,0.0,0,0.359922,0.423326,0.326579,1.235934,-0.226569,0.643084,-1662,0.497404,0.820717,3396370,0.142857
CONT_s12_l2a_TearsOfSteel,3,30.0,1789844760.703,1789844774.349,0.410599,0.240318,0.0,1.275276,706112,831,5,133,61.936973,113.963356,0.0,0,0.0,0.0,0.0,0,0.216966,0.418875,0.345694,1.275276,0.002371,1.005808,55,0.479907,0.85558,4102482,0.097744
CONT_s12_l2a_TearsOfSteel,4,40.0,1789844774.349,1789844796.098,0.187018,0.228519,0.0,1.246454,511386,604,3,211,39.309404,118.312785,0.0,0,0.0,0.0,0.0,0,0.0,0.186963,0.327342,1.138996,-0.223581,0.455476,-227,0.408912,0.457355,4613868,0.303318
CONT_s12_l2a_TearsOfSteel,5,50.0,1789844796.098,1789844817.502,0.18081,0.213207,0.0,1.152478,485186,565,3,207,48.688008,120.791706,0.0,0,0.0,0.0,0.0,0,0.0,0.17336,0.112616,0.350068,-0.006208,0.966805,-39,0.36509,0.495248,5099054,0.289855
CONT_s12_l2a_TearsOfSteel,6,60.0,1789844817.502,1789844827.502,0.198635,0.24974,0.0,1.269364,252526,295,4,98,50.357183,123.31413,0.0,0,0.0,0.0,0.0,0,0.235222,0.264136,0.161978,0.917688,0.017825,1.098584,-270,0.3512,0.565589,5351580,0.357143
CONT_s12_l2a_TearsOfSteel,7,70.0,1789844827.502,1789844846.02,0.255236,0.203075,0.0,1.14158,593106,617,5,179,87.044607,177.559015,0.0,0,0.0,0.0,0.0,0,0.0,0.243327,0.19944,0.586409,0.056601,1.28495,322,0.338498,0.754025,5944686,0.212291
CONT_s12_l2a_TearsOfSteel,8,80.0,1789844846.02,1789844856.346,19.155069,64.514857,0.0,346.42623,24892259,20149,4,100,47.186019,163.454757,0.0,0,0.0,0.0,0.0,0,0.0,59.493359,105.890969,346.42623,18.899833,75.048461,19532,1.634812,11.716986,30836945,0.41
CONT_s12_l2a_TearsOfSteel,9,90.0,1789844856.346,1789844866.346,10.478081,44.562225,0.0,300.426129,13220502,10607,3,97,8.192223,40.103144,0.0,0,0.0,0.0,0.0,0,10.480384,16.91023,58.925752,300.426129,-8.676988,0.547013,-9542,2.189125,4.786424,44057447,0.71134
CONT_s12_l2a_TearsOfSteel,10,100.0,1789844866.346,1789844876.346,13.592099,49.680873,0.0,279.141958,17180297,13813,4,97,3.722772,28.082258,0.0,0,0.0,0.0,0.0,0,0.0,15.697232,54.114174,244.358238,3.114018,1.297194,3206,2.862851,4.747749,61237744,0.773196
CONT_s12_l2a_TearsOfSteel,11,110.0,1789844876.346,1789844886.346,5.04357,33.972511,0.0,247.926059,6375454,5182,3,97,26.250173,148.03623,0.0,0,0.0,0.0,0.0,0,0.120038,0.200181,0.320877,1.307843,-8.548529,0.371066,-8631,2.984312,1.690028,67613198,0.71134
CONT_s12_l2a_TearsOfSteel,12,120.0,1789844886.346,1789844896.346,0.160325,0.110302,0.0,0.462989,203093,259,3,97,45.55023,75.125541,0.0,0,0.0,0.0,0.0,0,0.117405,0.160247,0.127394,0.455686,-4.883245,0.031788,-4923,2.834768,0.056557,67816291,0.164948
CONT_s12_l2a_TearsOfSteel,13,130.0,1789844896.346,1789844906.346,0.15591,0.193559,0.0,1.130575,195813,231,3,96,47.387497,87.402444,0.0,0,0.0,0.0,0.0,0,0.0,0.149708,0.279049,1.130575,-0.004415,0.972462,-28,2.701227,0.057718,68012104,0.385417
