run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s12_l2a_TearsOfSteel,0,0.202387,495.0,347403.0,129.0,0.962687,0.083,0.171,13.529,0.201641,0.205427,25518.512619,4449.128901,2592.559701,1444431.285883,1201.844951,0.463575,-0.187622,0.120759,0.0,5797.0,3.69403,4.499663,2.121241,0.574235,2.62047,14.670861,0.0,18.0,495.0,347403.0,129.0,0.962687,0.083,0.171,13.529,0.201641,0.205427,25518.512619,4449.128901,2592.559701,1444431.285883,1201.844951,0.463575,-0.187622,0.120759,0.0,5797.0,3.69403,4.499663,2.121241,0.574235,2.62047,14.670861,0.0,18.0,495.0,347403.0,129.0,0.962687,0.083,0.171,13.529,0.201641,0.205427,25518.512619,4449.128901,2592.559701,1444431.285883,1201.844951,0.463575,-0.187622,0.120759,0.0,5797.0,3.69403,4.499663,2.121241,0.574235,2.62047,14.670861,0.0,18.0,0
CONT_s12_l2a_TearsOfSteel,1,0.657602,2538.0,2546398.0,286.0,0.950166,0.034,0.027,30.869,0.658622,0.659924,101477.718372,-254765.908184,8459.79402,5322076180.810764,72952.561167,8.623444,17.234977,295.365307,0.0,1269261.0,8.431894,3296.519513,57.415325,6.809304,17.197791,294.510978,0.0,1000.0,3033.0,2893801.0,415.0,0.954023,0.083,0.027,44.603,0.517756,0.519033,76736.84121,-507236.885291,6652.416092,3686651753.123702,60717.804252,9.127181,20.742576,428.837689,0.0,1269261.0,6.972414,2284.874813,47.800364,6.855641,20.682025,427.160296,0.0,1000.0,3033.0,2893801.0,415.0,0.954023,0.083,0.027,44.603,0.517756,0.519033,76736.84121,-507236.885291,6652.416092,3686651753.123702,60717.804252,9.127181,20.742576,428.837689,0.0,1269261.0,6.972414,2284.874813,47.800364,6.855641,20.682025,427.160296,0.0,1000.0,1
CONT_s12_l2a_TearsOfSteel,2,0.407531,757.0,658389.0,106.0,0.848,0.076,0.02,12.819,0.407829,0.410883,51047.598272,4535.99266,5267.112,14904405.326065,3860.622401,0.732968,0.594728,-0.128101,0.0,15959.0,6.056,16.440387,4.054675,0.66953,0.584554,0.832682,0.0,20.0,3790.0,3552190.0,521.0,0.930357,0.083,0.02,57.525,0.49312,0.494003,73022.401132,-442910.455558,6343.196429,2865905805.252936,53534.155501,8.439618,23.507367,552.061319,0.0,1269261.0,6.767857,1777.7385,42.163236,6.229924,23.405673,548.863738,0.0,1000.0,3790.0,3552190.0,521.0,0.930357,0.083,0.02,57.525,0.49312,0.494003,73022.401132,-442910.455558,6343.196429,2865905805.252936,53534.155501,8.439618,23.507367,552.061319,0.0,1269261.0,6.767857,1777.7385,42.163236,6.229924,23.405673,548.863738,0.0,1000.0,2
CONT_s12_l2a_TearsOfSteel,3,0.366891,766.0,626283.0,121.0,0.916667,0.083,0.004,13.559,0.36716,0.369516,48329.562714,17140.011594,4744.568182,10279646.140354,3206.188725,0.67576,0.899435,1.50051,0.0,16467.0,5.80303,13.533426,3.67878,0.633941,1.104865,2.800131,0.0,22.0,4061.0,3831070.0,513.0,0.919355,0.034,0.004,57.453,0.533102,0.533454,70329.772389,174149.677867,6865.716846,2875216958.494185,53621.049584,7.809971,23.448153,549.540431,0.0,1269261.0,7.277778,1783.917315,42.236445,5.803481,23.331794,545.890258,0.0,1000.0,4556.0,4178473.0,642.0,0.927746,0.083,0.004,71.187,0.469004,0.469577,68123.869018,-338209.931874,6038.25578,2320782881.840412,48174.504479,7.978215,26.110807,682.17382,0.0,1269261.0,6.583815,1440.851141,37.958545,5.765433,25.959624,676.887234,0.0,1000.0,3
CONT_s12_l2a_TearsOfSteel,4,0.182301,560.0,493791.0,142.0,0.679426,0.1,0.079,21.57,0.181633,0.18314,22654.250529,2081.799142,2362.636364,9157506.770979,3026.137269,1.280831,1.917061,3.710387,0.0,14750.0,2.679426,7.603469,2.757439,1.029116,1.130184,0.884057,0.0,11.0,2083.0,1778463.0,369.0,0.791845,0.076,0.079,48.155,0.294508,0.295456,36743.695022,175752.78752,3816.444206,12726959.292579,3567.486411,0.934767,1.064434,0.826782,0.0,16467.0,4.469957,14.219526,3.770879,0.843605,0.996301,1.573316,0.0,22.0,5116.0,4672264.0,784.0,0.870144,0.083,0.079,92.861,0.401816,0.402517,58017.257994,-62195.996853,5185.642619,1786371531.945468,42265.488663,8.150482,29.741158,886.996103,0.0,1269261.0,5.678135,1110.729621,33.32761,5.869464,29.523478,878.315201,0.0,1000.0,4
CONT_s12_l2a_TearsOfSteel,5,0.182508,557.0,489740.0,144.0,0.695652,0.025,0.018,21.361,0.183046,0.183415,22777.285162,505.324877,2365.89372,8679293.843019,2946.064127,1.245223,2.362223,6.595024,0.0,14939.0,2.690821,7.08841,2.662407,0.98944,1.446652,2.949102,0.0,14.0,1883.0,1609814.0,407.0,0.742701,0.083,0.018,56.698,0.226738,0.227142,25545.81645,207096.163087,2937.616788,10250597.275184,3201.655396,1.089882,1.614275,2.853706,0.0,16467.0,3.436131,10.582751,3.253114,0.946737,1.329495,2.828261,0.0,22.0,5673.0,5162004.0,928.0,0.837545,0.083,0.018,114.326,0.360894,0.361213,49534.247795,228222.024919,4658.848375,1455158702.303998,38146.542469,8.187977,32.926482,1089.042472,0.0,1269261.0,5.120036,905.708252,30.094987,5.877886,32.649964,1076.818801,0.0,1000.0,5
CONT_s12_l2a_TearsOfSteel,6,0.221062,324.0,275409.0,75.0,0.78125,0.085,0.051,9.864,0.220327,0.223365,29124.501719,-21060.102885,2868.84375,6623164.364803,2573.550925,0.897069,1.945026,7.830944,0.0,16470.0,3.375,6.952632,2.636784,0.781269,1.223592,4.337197,0.0,16.0,1441.0,1258940.0,361.0,0.705078,0.1,0.051,53.002,0.189482,0.190022,22989.55473,-2962.00717,2458.867188,8496589.136925,2914.890931,1.185461,2.080208,5.323214,0.0,16470.0,2.814453,7.317755,2.705135,0.961158,1.246015,2.199102,0.0,16.0,5997.0,5437413.0,1003.0,0.833056,0.083,0.051,124.293,0.349597,0.349974,46490.779426,348651.925885,4516.123754,1339794641.224073,36603.205341,8.105005,34.305825,1182.852155,0.0,1269261.0,4.980897,834.204955,28.882606,5.798676,34.002143,1168.859839,0.0,1000.0,6
CONT_s12_l2a_TearsOfSteel,7,0.259227,627.0,599207.0,137.0,0.769663,0.052,0.073,18.393,0.258865,0.260624,32323.418775,3696.152078,3366.331461,9456010.833016,3075.062736,0.913476,1.149042,1.719525,0.0,14812.0,3.522472,7.697232,2.774389,0.787625,0.654817,0.436956,0.0,13.0,1508.0,1364356.0,356.0,0.740125,0.025,0.073,49.824,0.218638,0.219068,27256.171632,-57015.2415,2836.49896,8722421.33802,2953.374568,1.041204,1.752319,4.18599,0.0,16470.0,3.135135,7.408784,2.721908,0.868195,1.065615,1.927093,0.0,16.0,6624.0,6036620.0,1140.0,0.824891,0.083,0.073,142.789,0.337843,0.338212,42588.298299,520832.050464,4368.031838,1168466095.83099,34182.83335,7.825683,36.703172,1355.637672,0.0,1269261.0,4.793054,727.907902,26.979768,5.628931,36.357781,1338.595918,0.0,1000.0,7
CONT_s12_l2a_TearsOfSteel,8,19.769798,20548.0,25434475.0,48.0,0.484848,0.031,0.199,10.096,19.705191,20.154101,3539883.976529,-5326649.230558,256913.888889,714047102407.2423,845013.078246,3.289091,3.596343,12.182194,0.0,4490550.0,207.555556,462079.739229,679.764473,3.275096,3.584806,12.087186,0.0,3607.0,21499.0,26309091.0,260.0,0.697051,0.085,0.199,38.56,5.41841,5.458318,477001.058479,-5300081.834712,70533.756032,200700314686.2388,447995.886908,6.35151,7.52222,58.788895,0.0,4490550.0,57.63807,129878.575644,360.386703,6.252581,7.501792,58.439532,0.0,3607.0,27172.0,31471095.0,1188.0,0.802161,0.083,0.199,152.989,1.642638,1.645666,72849.447635,-991501.905984,21249.895341,52352938021.409996,228807.64415,10.767472,14.912242,237.875799,0.0,4490550.0,18.347063,33842.655142,183.963733,10.026877,14.884881,236.903708,0.0,3607.0,8
CONT_s12_l2a_TearsOfSteel,9,15.673746,15732.0,19582625.0,52.0,0.541667,0.009,0.089,9.902,15.6661,15.821147,1706674.355524,2502641.878008,203985.677083,521982860477.2102,722483.813298,3.541836,4.03084,15.338816,0.0,3909295.0,163.875,336747.542105,580.299528,3.541111,4.033427,15.351948,0.0,3138.0,36907.0,45616307.0,237.0,0.635389,0.052,0.089,38.703,9.39477,9.428997,1300853.263339,-11956014.286313,122295.729223,334728612901.4132,578557.354894,4.730806,5.499273,30.468265,0.0,4490550.0,98.946381,216315.916472,465.097749,4.700503,5.491792,30.365879,0.0,3607.0,42904.0,51053720.0,1240.0,0.786303,0.083,0.089,163.099,2.501545,2.504183,140345.43382,-4539650.356688,32373.950539,82538859077.1701,287295.769334,8.874288,11.546283,140.703884,0.0,4490550.0,27.206088,53291.563465,230.849656,8.485221,11.537443,140.423177,0.0,3607.0,9
