run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s12_throughput_ElephantsDream,0,0.0,1789803965.438,1789803975.632,0.202579,0.217869,0.0,1.041925,260351,307,5,100,103.429565,237.595655,0.0,0,0.0,0.0,0.0,0,0.119376,0.205303,0.145894,0.592171,0.202579,0.0,307,0.20274,0.999206,260351,0.31
CONT_s12_throughput_ElephantsDream,1,10.0,1789803975.632,1789803985.632,1.171526,7.484157,0.0,74.65757,1476483,1341,5,98,70.73412,198.336057,0.0,0,0.0,0.0,0.0,0,0.329243,0.415382,0.157431,0.719455,0.968947,5.783057,1034,0.682657,1.716127,1736834,0.071429
CONT_s12_throughput_ElephantsDream,2,20.0,1789803985.632,1789803995.632,0.40904,0.138114,0.004043,0.947417,516485,632,5,98,73.584391,109.559373,0.0,0,0.0,0.0,0.0,0,0.324505,0.40366,0.121454,0.696334,-0.762486,0.349151,-709,0.591921,0.691038,2253319,0.010204
CONT_s12_throughput_ElephantsDream,3,30.0,1789803995.632,1789804005.632,0.412394,0.174128,0.0,0.886512,521749,672,5,98,60.465422,89.123148,0.0,0,0.0,0.0,0.0,0,0.43876,0.415914,0.095944,0.603333,0.003354,1.0082,40,0.5471,0.753782,2775068,0.040816
CONT_s12_throughput_ElephantsDream,4,40.0,1789804005.632,1789804015.632,0.399784,0.17223,0.0,0.923679,501402,599,4,97,72.933304,100.597762,0.0,0,0.0,0.0,0.0,0,0.113766,0.380587,0.230106,0.923679,-0.01261,0.969422,-73,0.517896,0.771939,3276470,0.041237
CONT_s12_throughput_ElephantsDream,5,50.0,1789804015.632,1789804025.632,0.146931,0.271136,0.0,1.687892,186484,273,3,98,25.96886,136.148737,0.0,0,0.0,0.0,0.0,0,0.004077,0.098796,0.112016,0.335784,-0.252853,0.367526,-326,0.455875,0.322305,3462954,0.571429
CONT_s12_throughput_ElephantsDream,6,60.0,1789804025.632,1789804035.632,0.142699,0.221854,0.0,1.315188,179847,249,3,97,53.85184,193.039292,0.0,0,0.0,0.0,0.0,0,0.0,0.155246,0.208613,1.135861,-0.004232,0.971197,-24,0.411296,0.34695,3642801,0.360825
CONT_s12_throughput_ElephantsDream,7,70.0,1789804035.632,1789804045.632,0.18283,0.301837,0.0,1.247231,230389,242,3,97,50.988244,144.873597,0.0,0,0.0,0.0,0.0,0,0.0,0.16517,0.285424,1.146718,0.040131,1.281228,-7,0.382843,0.477559,3873190,0.536082
CONT_s12_throughput_ElephantsDream,8,80.0,1789804045.632,1789804055.632,0.180296,0.333898,0.0,1.248431,227334,235,3,97,47.824407,158.370039,0.0,0,0.0,0.0,0.0,0,0.0,0.175947,0.319209,1.122445,-0.002534,0.98614,-7,0.360387,0.500284,4100524,0.587629
CONT_s12_throughput_ElephantsDream,9,90.0,1789804055.632,1789804065.632,0.182138,0.311538,0.0,1.131088,230019,240,3,97,43.483422,146.184608,0.0,0,0.0,0.0,0.0,0,0.487931,0.190933,0.307681,1.120305,0.001842,1.010217,5,0.342623,0.531599,4330543,0.597938
CONT_s12_throughput_ElephantsDream,10,100.0,1789804065.632,1789804075.632,0.220706,0.239494,0.0,1.393506,278816,325,4,97,71.350757,178.882028,0.0,0,0.0,0.0,0.0,0,0.468934,0.260502,0.181061,0.693103,0.038568,1.211752,85,0.33156,0.665659,4609359,0.340206
CONT_s12_throughput_ElephantsDream,11,110.0,1789804075.632,1789804085.632,0.260587,0.193595,0.0,1.132591,329554,364,4,97,113.565004,195.767305,0.0,0,0.0,0.0,0.0,0,0.233716,0.265149,0.256661,1.132591,0.039881,1.180697,39,0.325642,0.800225,4938913,0.175258
CONT_s12_throughput_ElephantsDream,12,120.0,1789804085.632,1789804095.632,0.221938,0.198737,0.0,1.297258,280677,350,4,97,37.249646,96.614391,0.0,0,0.0,0.0,0.0,0,0.234094,0.260505,0.072963,0.485736,-0.038649,0.851685,-14,0.317664,0.698656,5219590,0.226804
CONT_s12_throughput_ElephantsDream,13,130.0,1789804095.632,1789804105.632,2.732541,17.243893,0.0,168.827332,3455471,2780,4,97,35.459587,220.580945,0.0,0,0.0,0.0,0.0,0,0.0,1.916574,4.528792,18.54622,2.510603,12.312182,2430,0.490176,5.574612,8675061,0.639175
CONT_s12_throughput_ElephantsDream,14,140.0,1789804105.632,1789804115.632,2.04691,4.243746,0.0,18.286973,2595757,2089,4,97,9.675377,39.933553,0.0,0,0.0,0.0,0.0,0,0.0,1.724345,3.78899,10.422159,-0.685631,0.749087,-691,0.594259,3.444475,11270818,0.752577
CONT_s12_throughput_ElephantsDream,15,150.0,1789804115.632,1789804125.632,0.283855,1.588545,0.0,10.271308,358595,300,2,96,2.390487,6.272826,0.0,0,0.0,0.0,0.0,0,0.010774,0.3217,1.698203,9.307736,-1.763055,0.138675,-1789,0.575044,0.493623,11629413,0.916667
CONT_s12_throughput_ElephantsDream,16,160.0,1789804125.632,1789804135.632,0.175841,0.836284,0.0,8.109647,220930,240,3,96,58.956489,281.891072,0.0,0,0.0,0.0,0.0,0,0.228604,0.161201,0.106918,0.364971,-0.108014,0.619475,-60,0.551667,0.318745,11850343,0.59375
CONT_s12_throughput_ElephantsDream,17,170.0,1789804135.632,1789804145.632,0.160988,0.167961,0.0,1.123595,204469,261,3,97,38.807172,80.41298,0.0,0,0.0,0.0,0.0,0,0.228823,0.167372,0.21174,1.123595,-0.014853,0.915532,21,0.529846,0.303839,12054812,0.206186
CONT_s12_throughput_ElephantsDream,18,180.0,1789804145.632,1789804155.632,0.159509,0.260151,0.0,1.131003,200408,231,4,96,35.369656,111.99375,0.0,0,0.0,0.0,0.0,0,1.12145,0.158455,0.343851,1.131003,-0.001479,0.990813,-30,0.510466,0.312477,12255220,0.4375
CONT_s12_throughput_ElephantsDream,19,190.0,1789804155.632,1789804165.632,0.151364,0.23069,0.0,1.12145,192543,260,4,97,64.74289,159.266797,0.0,0,0.0,0.0,0.0,0,0.02277,0.126939,0.236094,1.059828,-0.008145,0.948937,29,0.492393,0.307405,12447763,0.463918
