run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s13_bola_ElephantsDream,0,0.426905,849.0,737657.0,116.0,0.859259,0.093,0.091,13.721,0.424398,0.430089,49016.974517,68179.978808,5464.125926,18279543.782532,4275.458313,0.78246,0.610147,0.490096,0.0,21910.0,6.288889,21.221891,4.606722,0.732518,0.696552,1.278508,0.0,26.0,849.0,737657.0,116.0,0.859259,0.093,0.091,13.721,0.424398,0.430089,49016.974517,68179.978808,5464.125926,18279543.782532,4275.458313,0.78246,0.610147,0.490096,0.0,21910.0,6.288889,21.221891,4.606722,0.732518,0.696552,1.278508,0.0,26.0,849.0,737657.0,116.0,0.859259,0.093,0.091,13.721,0.424398,0.430089,49016.974517,68179.978808,5464.125926,18279543.782532,4275.458313,0.78246,0.610147,0.490096,0.0,21910.0,6.288889,21.221891,4.606722,0.732518,0.696552,1.278508,0.0,26.0,0
CONT_s13_bola_ElephantsDream,1,0.348874,563.0,437778.0,81.0,0.826531,0.012,0.052,9.936,0.350222,0.352478,44586.087187,5894.644103,4467.122449,11990838.355986,3462.778993,0.77517,0.316653,-0.777417,0.0,12311.0,5.744898,18.171365,4.262788,0.742013,0.484742,-0.206086,0.0,17.0,1412.0,1175435.0,197.0,0.845494,0.093,0.052,23.76,0.393369,0.395769,47201.393995,79548.432069,5044.785408,15814704.833062,3976.770654,0.788293,0.596986,0.43516,0.0,21910.0,6.060086,19.927409,4.464013,0.736625,0.631199,0.8216,0.0,26.0,1412.0,1175435.0,197.0,0.845494,0.093,0.052,23.76,0.393369,0.395769,47201.393995,79548.432069,5044.785408,15814704.833062,3976.770654,0.788293,0.596986,0.43516,0.0,21910.0,6.060086,19.927409,4.464013,0.736625,0.631199,0.8216,0.0,26.0,1
CONT_s13_bola_ElephantsDream,2,0.35367,533.0,443653.0,80.0,0.816327,0.05,0.011,9.939,0.354922,0.357101,42715.535249,-1061.67741,4527.071429,12033450.190722,3468.926374,0.766263,0.421122,-0.477903,0.0,13738.0,5.438776,15.753945,3.969124,0.729783,0.417147,-0.308588,0.0,15.0,1945.0,1619088.0,277.0,0.836858,0.093,0.011,33.801,0.382029,0.383205,45100.728947,99120.063433,4891.504532,14711351.687101,3835.537992,0.784122,0.580632,0.34021,0.0,21910.0,5.876133,18.720974,4.326774,0.73633,0.601548,0.664583,0.0,26.0,1945.0,1619088.0,277.0,0.836858,0.093,0.011,33.801,0.382029,0.383205,45100.728947,99120.063433,4891.504532,14711351.687101,3835.537992,0.784122,0.580632,0.34021,0.0,21910.0,5.876133,18.720974,4.326774,0.73633,0.601548,0.664583,0.0,26.0,2
CONT_s13_bola_ElephantsDream,3,0.292325,462.0,363652.0,83.0,0.85567,0.091,0.164,9.745,0.290922,0.298534,36290.490165,39631.605359,3748.989691,9552439.551976,3090.702113,0.824409,0.98129,1.277908,0.0,15427.0,4.762887,13.766108,3.710271,0.778996,0.961953,0.909102,0.0,17.0,1558.0,1245083.0,244.0,0.832765,0.012,0.164,29.824,0.332022,0.333981,43283.484869,9750.784846,4249.430034,11246169.321287,3353.530874,0.789172,0.552872,-0.214006,0.0,15427.0,5.317406,15.963977,3.995495,0.751399,0.615437,0.028757,0.0,17.0,2407.0,1982740.0,360.0,0.841121,0.093,0.164,43.648,0.361278,0.363405,44690.532074,105185.739603,4632.570093,13746374.97634,3707.610413,0.800336,0.682768,0.511065,0.0,21910.0,5.623832,17.780883,4.216738,0.749798,0.686533,0.721814,0.0,26.0,3
CONT_s13_bola_ElephantsDream,4,0.194355,343.0,294705.0,87.0,0.737288,0.041,0.096,12.026,0.193837,0.196045,24205.304172,4381.982825,2497.5,4735483.363248,2176.116579,0.871318,0.637206,0.374847,0.0,9079.0,2.90678,6.632261,2.575318,0.885969,0.917689,0.76759,0.0,11.0,1338.0,1102010.0,250.0,0.798722,0.05,0.096,32.017,0.274106,0.275356,34750.789921,76260.820296,3520.798722,9186465.308716,3030.918229,0.860861,0.882423,0.743171,0.0,15427.0,4.27476,12.828111,3.581635,0.837856,0.907373,0.678371,0.0,17.0,2750.0,2277445.0,447.0,0.818681,0.093,0.096,55.879,0.324955,0.326054,40830.90115,169504.560817,4171.144689,12560383.151504,3544.063085,0.849662,0.84324,0.861905,0.0,21910.0,5.03663,16.60783,4.075271,0.809126,0.845079,0.970847,0.0,26.0,4
CONT_s13_bola_ElephantsDream,5,1.803403,1898.0,2282098.0,70.0,0.714286,0.007,0.008,9.985,1.825678,1.828421,258644.846184,-628813.981966,23286.714286,21204079835.979378,145616.207326,6.253188,7.426532,55.625479,0.0,1250883.0,19.367347,12994.564696,113.993705,5.885871,7.520682,57.355929,0.0,992.0,2703.0,2940455.0,240.0,0.766773,0.091,0.008,32.064,0.731388,0.733646,54480.330124,-198048.17198,9394.42492,6685528408.80284,81765.08062,8.703575,13.500089,188.074418,0.0,1250883.0,8.635783,4099.950254,64.030854,7.414598,13.643809,193.165678,0.0,992.0,4648.0,4559543.0,517.0,0.802795,0.093,0.008,65.967,0.552103,0.552948,44890.953441,78378.713181,7080.035714,3256612040.964509,57066.733225,8.060232,19.373186,390.230779,0.0,1250883.0,7.217391,2000.913787,44.731575,6.197748,19.49653,398.449952,0.0,992.0,5
CONT_s13_bola_ElephantsDream,6,0.454601,640.0,563083.0,87.0,0.90625,0.095,0.103,9.802,0.450466,0.459566,56804.364364,4576.970841,5865.447917,14537140.291996,3812.760193,0.650037,0.781141,0.884917,0.0,16281.0,6.666667,14.45614,3.802123,0.570318,0.388288,1.585314,0.0,22.0,2881.0,3139886.0,244.0,0.782051,0.041,0.103,32.019,0.780993,0.784506,122156.097934,-716661.435115,10063.737179,6701971576.650961,81865.570154,8.134709,13.469278,187.309705,0.0,1250883.0,9.233974,4109.459549,64.105066,6.942305,13.612343,192.379291,0.0,992.0,5288.0,5122626.0,604.0,0.816216,0.093,0.103,75.872,0.538742,0.540133,59011.832507,-251789.074079,6922.467568,2835596508.270937,53250.319326,7.69239,20.753525,448.446301,0.0,1250883.0,7.145946,1742.877182,41.747781,5.842163,20.870328,457.43508,0.0,992.0,6
CONT_s13_bola_ElephantsDream,7,0.453765,644.0,567558.0,86.0,0.886598,0.0,0.095,9.905,0.454046,0.458401,56659.612499,3546.523472,5851.113402,15232949.518256,3902.941137,0.667042,0.815938,0.836667,0.0,16422.0,6.639175,12.837199,3.582904,0.539661,0.064555,0.252323,0.0,17.0,3182.0,3412739.0,243.0,0.835052,0.007,0.095,29.898,0.910064,0.913169,124036.00354,259049.241927,11727.62543,7170282604.200593,84677.521245,7.220347,12.995569,174.317727,0.0,1250883.0,10.934708,4391.675033,66.269714,6.060492,13.138549,179.151122,0.0,992.0,5932.0,5690184.0,690.0,0.824373,0.093,0.095,85.88,0.528901,0.530059,65331.934976,-420408.949332,6798.308244,2508452890.593867,50084.457575,7.367194,22.054653,507.081367,0.0,1250883.0,7.087216,1542.153867,39.270267,5.541,22.168144,516.909178,0.0,992.0,7
CONT_s13_bola_ElephantsDream,8,0.419079,585.0,524174.0,75.0,0.773196,0.008,0.087,9.905,0.419339,0.423361,53607.271036,12267.185091,5403.85567,21114611.062285,4595.063771,0.850331,0.973277,1.081593,0.0,19565.0,6.030928,20.25945,4.50105,0.746328,0.350279,-0.165378,0.0,18.0,1869.0,1654815.0,248.0,0.855172,0.095,0.087,29.818,0.441284,0.443977,56293.722815,8859.437516,5706.258621,16898728.912123,4110.806358,0.720403,0.858079,1.019047,0.0,19565.0,6.444828,15.832586,3.979018,0.617397,0.25108,0.479423,0.0,22.0,6517.0,6214358.0,765.0,0.819058,0.093,0.087,95.888,0.517497,0.518468,67925.431813,-498075.53348,6653.488223,2250013555.060419,47434.307785,7.129239,23.270206,565.288807,0.0,1250883.0,6.977516,1384.011284,37.202302,5.33174,23.370735,575.603952,0.0,992.0,8
CONT_s13_bola_ElephantsDream,9,0.401864,595.0,503130.0,67.0,0.690722,0.016,0.071,9.913,0.402504,0.406037,42040.062643,-12258.815593,5186.907216,23879232.585052,4886.638168,0.94211,0.932015,1.165055,0.0,24353.0,6.134021,30.533935,5.525752,0.900837,0.733799,0.570308,0.0,26.0,1824.0,1594862.0,228.0,0.783505,0.0,0.071,29.929,0.425297,0.426305,50204.397556,54626.820421,5480.62543,20013884.138524,4473.68798,0.816273,0.894225,1.124677,0.0,24353.0,6.268041,21.134803,4.59726,0.733444,0.496714,0.647803,0.0,26.0,7112.0,6717488.0,832.0,0.806984,0.093,0.071,105.904,0.506655,0.50744,68153.410224,-505262.829702,6515.507274,2040528211.322034,45172.206182,6.93303,24.414603,623.126151,0.0,1250883.0,6.898157,1256.578938,35.448257,5.138801,24.476008,632.962647,0.0,992.0,9
