run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s13_throughput_ElephantsDream,0,0.391561,0,0.0,0.0,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,624598.0,7.774,7.364,0.41,0.642756
CONT_s13_throughput_ElephantsDream,1,0.381272,0,0.0,0.0,0,0.0,0.0,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,624598.0,7.774,7.364,0.41,0.642756
CONT_s13_throughput_ElephantsDream,2,0.376447,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,624598.0,7.774,7.364,0.41,0.642756
CONT_s13_throughput_ElephantsDream,3,0.194423,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,624598.0,7.774,7.364,0.41,0.642756
CONT_s13_throughput_ElephantsDream,4,0.193698,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,1,624598.0,7.364,624598.0,7.774,7.364,0.41,0.642756
CONT_s13_throughput_ElephantsDream,5,0.348696,1,2374245.0,60.61,1,2374245.0,60.61,1,2374245.0,60.61,1,2374245.0,60.61,1,2374245.0,60.61,1,2374245.0,60.61,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2,1499421.5,33.987,2374245.0,61.741,60.61,1.131,0.307639
CONT_s13_throughput_ElephantsDream,6,0.283134,2,358001.5,5.8815,3,1030082.667,24.124333,3,1030082.667,24.124333,3,1030082.667,24.124333,3,1030082.667,24.124333,3,1030082.667,24.124333,3,1030082.667,24.124333,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,4,928711.5,19.93425,105747.0,3.306,1.551,1.755,0.255891
CONT_s13_throughput_ElephantsDream,7,0.212534,2,88943.0,1.5495,4,223472.25,3.7155,5,653626.8,15.0944,5,653626.8,15.0944,5,653626.8,15.0944,5,653626.8,15.0944,5,653626.8,15.0944,5,653626.8,15.0944,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,6,648788.667,13.806,98937.0,4.027,1.652,2.375,0.196547
CONT_s13_throughput_ElephantsDream,8,0.249166,2,100713.5,1.5505,4,94828.25,1.55,6,182552.667,2.993833,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,93100.0,4.443,1.448,2.995,0.167634
CONT_s13_throughput_ElephantsDream,9,0.728091,0,0.0,0.0,2,100713.5,1.5505,4,94828.25,1.55,6,182552.667,2.993833,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,7,495651.571,11.224714,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,8,511769.875,10.742125,93100.0,4.443,1.448,2.995,0.167634
