run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s14_l2a_ElephantsDream,0,0.0,1789922990.14,1789923040.836,0.122285,0.145848,0.0,1.170341,775987,1016,4,495,61.869906,148.906602,0.0,0,0.0,0.0,0.0,0,0.0,0.109201,0.186509,0.935073,0.122285,0.0,1016,0.122291,0.999951,775987,0.280808
CONT_s14_l2a_ElephantsDream,1,10.0,1789923040.836,1789923125.549,0.293717,4.812353,0.0,137.845209,3101786,2991,4,819,96.212656,297.531379,0.0,0,0.0,0.0,0.0,0,0.455723,0.125395,0.166641,0.471823,0.171432,2.401905,1975,0.22887,1.283336,3877773,0.400488
CONT_s14_l2a_ElephantsDream,2,20.0,1789923125.549,1789923140.752,0.573519,5.20313,0.0,63.377829,1097277,956,5,147,104.308608,372.934991,0.0,0,0.0,0.0,0.0,0,0.234094,0.128827,0.156155,0.677967,0.279802,1.952624,-2035,0.263802,2.174051,4975050,0.380952
CONT_s14_l2a_ElephantsDream,3,30.0,1789923140.752,1789923152.653,0.123189,0.146693,0.0,0.681303,184993,209,4,115,141.880401,492.646542,0.0,0,0.0,0.0,0.0,0,0.0,0.121056,0.136869,0.573219,-0.45033,0.214795,-747,0.253428,0.486091,5160043,0.46087
CONT_s14_l2a_ElephantsDream,4,40.0,1789923152.653,1789923163.351,0.122924,0.2026,0.0,1.063355,165587,184,4,103,127.293707,474.181903,0.0,0,0.0,0.0,0.0,0,0.121456,0.136263,0.310604,1.063355,-0.000265,0.997849,-25,0.245334,0.501048,5325630,0.572816
CONT_s14_l2a_ElephantsDream,5,50.0,1789923163.351,1789923189.884,0.122618,0.186871,0.0,1.151786,407948,452,3,254,110.312393,528.270194,0.0,0,0.0,0.0,0.0,0,0.24687,0.12111,0.163037,0.563511,-0.000306,0.997511,268,0.229037,0.535363,5733578,0.484252
CONT_s14_l2a_ElephantsDream,6,60.0,1789923189.884,1789923200.44,0.139334,0.24198,0.0,1.014909,186360,233,3,102,89.569636,280.220867,0.0,0,0.0,0.0,0.0,0,0.066412,0.174515,0.230502,1.009771,0.016716,1.136326,-219,0.224485,0.620683,5919938,0.480392
CONT_s14_l2a_ElephantsDream,7,70.0,1789923200.44,1789923210.765,0.179052,0.249395,0.0,1.009771,232666,261,3,99,38.981722,102.717098,0.0,0,0.0,0.0,0.0,0,0.0,0.202282,0.306261,1.005115,0.039718,1.285056,28,0.222356,0.805249,6152604,0.464646
CONT_s14_l2a_ElephantsDream,8,80.0,1789923210.765,1789923220.765,0.176663,0.280817,0.0,1.1232,222976,245,5,96,78.197551,221.326356,0.0,0,0.0,0.0,0.0,0,0.0,0.171154,0.288774,1.117186,-0.002389,0.986658,-16,0.220353,0.801727,6375580,0.53125
CONT_s14_l2a_ElephantsDream,9,90.0,1789923220.765,1789923230.831,0.18366,0.268553,0.0,1.123962,234332,269,4,97,49.463923,132.370664,0.0,0,0.0,0.0,0.0,0,0.183954,0.210779,0.313381,1.111491,0.006997,1.039606,24,0.218801,0.839393,6609912,0.43299
CONT_s14_l2a_ElephantsDream,10,100.0,1789923230.831,1789923242.361,0.175826,0.165477,0.0,0.886252,255002,306,4,110,120.798928,259.119509,0.0,0,0.0,0.0,0.0,0,0.010733,0.165943,0.251856,0.886252,-0.007834,0.957345,37,0.216835,0.810875,6864914,0.3
CONT_s14_l2a_ElephantsDream,11,110.0,1789923242.361,1789923252.361,0.17888,0.311854,0.0,1.117877,226644,239,4,96,41.294887,128.594943,0.0,0,0.0,0.0,0.0,0,0.010702,0.160441,0.26093,1.003071,0.003054,1.017369,-67,0.215383,0.830521,7091558,0.583333
CONT_s14_l2a_ElephantsDream,12,120.0,1789923252.361,1789923262.361,0.487082,0.235771,0.0,1.148182,618850,674,5,96,76.163459,159.690283,0.0,0,0.0,0.0,0.0,0,0.584242,0.516478,0.158169,0.91421,0.308202,2.722954,435,0.225482,2.160181,7710408,0.083333
CONT_s14_l2a_ElephantsDream,13,130.0,1789923262.361,1789923272.361,0.507261,0.172303,0.0,1.151031,637881,667,4,95,49.741696,105.241633,0.0,0,0.0,0.0,0.0,0,0.472658,0.501049,0.086701,0.704318,0.020179,1.041428,-7,0.235476,2.154194,8348289,0.021053
