run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s14_throughput_Valkaama,0,0.125608,6,26545.0,0.921167,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,8,33914.75,1.32975,13227.0,0.513,0.0,0.513,0.206269
CONT_s14_throughput_Valkaama,1,0.117079,4,36664.0,1.5865,10,30592.6,1.1873,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,12,34831.167,1.415333,44637.0,2.866,1.946,0.92,0.124597
CONT_s14_throughput_Valkaama,2,0.083969,3,35073.333,1.500333,7,35982.286,1.549571,13,31626.615,1.259539,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,15,34879.6,1.432333,42784.0,3.785,2.047,1.738,0.090429
CONT_s14_throughput_Valkaama,3,0.0949,3,39577.667,1.603,6,37325.5,1.551667,10,37060.9,1.5656,16,33117.438,1.323938,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,18,35662.611,1.460778,11483.0,4.094,0.0,4.094,0.022439
CONT_s14_throughput_Valkaama,4,0.090953,2,56135.5,2.5625,5,46200.8,1.9868,8,42028.0,1.804375,12,40240.0,1.73175,18,35675.0,1.461556,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,20,37709.9,1.57095,73087.0,4.409,3.692,0.717,0.132614
CONT_s14_throughput_Valkaama,5,0.124402,1,112125.0,6.457,3,74798.667,3.860667,6,57188.167,2.731833,9,49816.556,2.321333,13,45769.615,2.095231,19,39698.684,1.724474,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,21,41253.476,1.803619,112125.0,6.869,6.457,0.412,0.130587
CONT_s14_throughput_Valkaama,6,0.124682,8,27116.625,1.09,9,36562.0,1.686333,11,40120.818,1.845636,14,40004.429,1.793643,17,39134.235,1.741882,20,40014.2,1.7877,27,35970.667,1.536482,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,29,37353.655,1.606759,11859.0,0.924,0.308,0.616,0.102675
CONT_s14_throughput_Valkaama,7,1.980337,7,350861.143,0.647286,15,178197.4,0.8834,16,174067.875,1.23175,18,160964.278,1.379611,21,143623.333,1.411524,24,130054.583,1.422625,27,120604.148,1.492037,34,100801.059,1.353412,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,36,98313.444,1.420194,14812.0,1.544,0.103,1.441,0.076746
CONT_s14_throughput_Valkaama,8,0.127417,4,38310.25,1.831,11,237206.273,1.077727,19,148747.474,1.082895,20,146916.35,1.3516,22,138663.545,1.461682,25,126773.24,1.47864,28,116948.25,1.480964,31,109985.581,1.535774,38,94223.079,1.403684,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,40,92313.125,1.461275,48843.0,2.993,2.581,0.412,0.130553
CONT_s14_throughput_Valkaama,9,0.099816,6,21748.833,0.722167,10,28373.4,1.1657,17,161162.471,0.952235,25,118267.8,0.99632,26,118031.538,1.206346,28,113610.393,1.303214,31,106445.935,1.332226,34,100148.353,1.347059,37,95676.919,1.403838,44,84340.227,1.31075,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,46,83109.087,1.36487,24203.0,3.607,0.619,2.988,0.05368
CONT_s14_throughput_Valkaama,10,0.09426,2,58808.0,2.479,8,31013.625,1.161375,12,33445.833,1.384583,19,150388.316,1.112947,27,113863.37,1.106148,28,113801.286,1.29725,30,109956.9,1.3816,33,103558.788,1.401727,36,97851.667,1.409944,39,93786.205,1.458974,46,83230.13,1.361543,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,48,82096.542,1.411292,93214.0,4.753,4.34,0.413,0.156893
