run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s1_dynamic_ElephantsDream,0,34.426115,35244.0,43679207.0,55.0,0.555556,0.043,0.115,9.926,34.652286,35.203875,2631731.789213,23534775.741401,441204.111111,1288961749099.0786,1135324.512683,2.573241,2.410166,4.086611,0.0,4211435.0,356.0,836746.489796,914.738482,2.56949,2.405361,4.055836,0.0,3387.0,35244.0,43679207.0,55.0,0.555556,0.043,0.115,9.926,34.652286,35.203875,2631731.789213,23534775.741401,441204.111111,1288961749099.0786,1135324.512683,2.573241,2.410166,4.086611,0.0,4211435.0,356.0,836746.489796,914.738482,2.56949,2.405361,4.055836,0.0,3387.0,35244.0,43679207.0,55.0,0.555556,0.043,0.115,9.926,34.652286,35.203875,2631731.789213,23534775.741401,441204.111111,1288961749099.0786,1135324.512683,2.573241,2.410166,4.086611,0.0,4211435.0,356.0,836746.489796,914.738482,2.56949,2.405361,4.055836,0.0,3387.0,0
CONT_s1_dynamic_ElephantsDream,1,2.187453,2192.0,2714648.0,8.0,0.082474,1.829,0.09,8.081,2.171718,2.687438,338410.643491,-354980.219319,27986.061856,29845488337.30864,172758.468207,6.173018,6.930531,50.596771,0.0,1463133.0,22.597938,19357.242912,139.130309,6.15677,6.925118,50.524784,0.0,1178.0,37436.0,46393855.0,63.0,0.321429,0.043,0.09,19.951,18.479926,18.60312,997576.642265,30864785.065149,236703.341837,705380798862.6669,839869.512998,3.548195,3.670773,12.103978,0.0,4211435.0,191.0,457977.302564,676.740203,3.543142,3.664858,12.047118,0.0,3387.0,37436.0,46393855.0,63.0,0.321429,0.043,0.09,19.951,18.479926,18.60312,997576.642265,30864785.065149,236703.341837,705380798862.6669,839869.512998,3.548195,3.670773,12.103978,0.0,4211435.0,191.0,457977.302564,676.740203,3.543142,3.664858,12.047118,0.0,3387.0,1
CONT_s1_dynamic_ElephantsDream,2,5.808397,5883.0,7306738.0,11.0,0.112245,0.729,0.064,9.207,5.84539,6.348855,606429.641022,720408.392475,74558.55102,102447552330.04373,320074.291892,4.292925,4.480589,19.302372,0.0,1851200.0,60.030612,66266.133074,257.422091,4.28818,4.478091,19.278166,0.0,1491.0,43319.0,53700593.0,74.0,0.251701,0.043,0.064,29.977,14.280174,14.331145,730590.194818,32968164.752533,182655.078231,509229838416.06525,713603.418165,3.906836,4.291435,17.719398,0.0,4211435.0,147.343537,330559.898644,574.943387,3.90206,4.285989,17.653824,0.0,3387.0,43319.0,53700593.0,74.0,0.251701,0.043,0.064,29.977,14.280174,14.331145,730590.194818,32968164.752533,182655.078231,509229838416.06525,713603.418165,3.906836,4.291435,17.719398,0.0,4211435.0,147.343537,330559.898644,574.943387,3.90206,4.285989,17.653824,0.0,3387.0,2
CONT_s1_dynamic_ElephantsDream,3,5.124947,5169.0,6420737.0,12.0,0.122449,1.98,0.039,7.981,5.13659,6.436022,796370.805583,-933506.522588,65517.72449,160950131929.10892,401185.906942,6.123319,6.649904,43.488588,0.0,3051594.0,52.744898,103850.356932,322.258215,6.109751,6.644658,43.419068,0.0,2449.0,13244.0,16442123.0,31.0,0.105802,1.829,0.039,28.132,4.384566,4.675707,586315.227838,-1808457.777608,56116.460751,97717440705.91367,312597.889798,5.57052,6.71318,49.144993,0.0,3051594.0,45.201365,63137.949039,251.272659,5.558962,6.703286,48.984119,0.0,2449.0,48488.0,60121330.0,86.0,0.219388,0.043,0.039,40.002,11.999068,12.023665,679691.710559,33523486.394414,153370.739796,424104886666.71454,651233.358073,4.246138,4.69635,21.58924,0.0,4211435.0,123.693878,275154.166919,524.551396,4.240722,4.691426,21.525024,0.0,3387.0,3
CONT_s1_dynamic_ElephantsDream,4,0.240621,403.0,299200.0,83.0,0.85567,0.166,0.093,9.741,0.23936,0.245724,30872.455181,-3492.582952,3084.536082,6723242.042955,2592.921527,0.84062,2.744955,12.261001,0.0,16993.0,4.154639,10.798754,3.286146,0.790958,2.236511,9.105093,0.0,22.0,11455.0,14026675.0,106.0,0.361775,0.729,0.093,29.178,3.740447,3.845822,504561.849939,1756018.490331,47872.610922,88510623351.11525,297507.350079,6.214563,7.455989,59.553719,0.0,3051594.0,39.095563,57130.031932,239.018895,6.113709,7.447539,59.408491,0.0,2449.0,48891.0,60420530.0,169.0,0.345603,0.043,0.093,49.948,9.651071,9.677349,601047.479951,34721869.001864,123559.366053,343405552228.1466,586008.150309,4.742725,5.312593,28.101487,0.0,4211435.0,99.981595,222740.694333,471.954123,4.72041,5.307374,28.024218,0.0,3387.0,4
CONT_s1_dynamic_ElephantsDream,5,0.240718,381.0,302816.0,94.0,0.959184,0.009,0.028,9.963,0.242253,0.243152,30143.148746,2444.508687,3089.959184,1786483.420997,1336.593963,0.43256,0.400069,1.641708,0.0,7475.0,3.887755,2.451189,1.565627,0.402707,-0.056157,0.50808,0.0,8.0,5953.0,7022753.0,189.0,0.645051,1.98,0.028,27.992,1.872734,2.007074,203363.682762,2441578.672209,23968.440273,54339684046.17194,233108.738674,9.725653,11.750708,139.762721,0.0,3051594.0,20.317406,35032.888634,187.170747,9.212335,11.741261,139.55194,0.0,2449.0,49272.0,60723346.0,263.0,0.448041,0.043,0.028,60.013,8.085127,8.094692,497990.205692,36605935.413836,103446.926746,287998118299.07837,536654.561426,5.187728,5.870137,34.684785,0.0,4211435.0,83.938671,186777.392137,432.177501,5.148729,5.864605,34.594018,0.0,3387.0,5
CONT_s1_dynamic_ElephantsDream,6,0.487505,656.0,607937.0,95.0,0.979381,0.074,0.05,9.876,0.48635,0.492456,71621.839402,-19264.49611,6267.391753,485742063.844932,22039.556798,3.516544,9.043659,82.770917,0.0,215577.0,6.762887,358.411942,18.931771,2.799362,8.967859,81.73848,0.0,186.0,1440.0,1209953.0,272.0,0.931507,0.166,0.05,29.784,0.322654,0.324994,39875.704411,-83410.722228,4143.674658,165309513.024373,12857.274712,3.102868,15.461063,249.69569,0.0,215577.0,4.931507,124.304571,11.149196,2.260809,14.916156,237.483291,0.0,186.0,49928.0,61331283.0,358.0,0.523392,0.043,0.05,69.991,7.000888,7.010191,413892.749893,38419328.279924,89665.618421,248315775764.89233,498312.929558,5.557458,6.371943,41.182939,0.0,4211435.0,72.994152,161027.481664,401.282297,5.497458,6.36576,41.075693,0.0,3387.0,6
CONT_s1_dynamic_ElephantsDream,7,0.290141,415.0,362603.0,91.0,0.938144,0.053,0.051,9.896,0.290082,0.293131,36196.758232,4669.423138,3738.175258,3690939.646048,1921.181836,0.513936,0.82783,2.40813,0.0,10634.0,4.278351,3.932131,1.98296,0.463487,0.665651,2.786889,0.0,12.0,1452.0,1273356.0,280.0,0.958904,0.009,0.051,29.94,0.339562,0.340242,46934.657871,-75557.262133,4360.808219,163942741.921857,12804.012727,2.936156,15.600104,252.859221,0.0,215577.0,4.972603,121.978628,11.044394,2.221049,15.319873,246.488919,0.0,186.0,50343.0,61693886.0,449.0,0.574904,0.043,0.051,79.99,6.162918,6.17016,348146.171654,40055922.122451,78993.451985,218240101344.1738,467161.750729,5.91393,6.838976,47.699685,0.0,4211435.0,64.459667,141517.028179,376.187491,5.836014,6.832449,47.578212,0.0,3387.0,7
CONT_s1_dynamic_ElephantsDream,8,0.281381,459.0,352249.0,86.0,0.886598,0.052,0.139,9.809,0.281799,0.287286,35659.305889,-571.721136,3631.43299,6492587.227234,2548.055578,0.701667,2.348159,10.978723,0.0,18070.0,4.731959,9.135739,3.022538,0.63875,2.560751,15.600632,0.0,24.0,1530.0,1322789.0,272.0,0.934708,0.074,0.139,29.787,0.352744,0.355266,41419.387867,139077.168785,4545.666667,165657656.505747,12870.806366,2.831445,15.373362,247.575934,0.0,215577.0,5.257732,124.14369,11.141979,2.119161,14.913054,237.193798,0.0,186.0,50802.0,62046135.0,535.0,0.609339,0.043,0.139,89.902,5.510069,5.521224,296600.174656,41510225.87048,70667.579727,194661282024.07294,441204.35404,6.243377,7.276107,54.216905,0.0,4211435.0,57.861048,126216.610089,355.269771,6.140051,7.269275,54.081716,0.0,3387.0,8
CONT_s1_dynamic_ElephantsDream,9,0.292639,606.0,506746.0,128.0,0.955224,0.171,0.045,13.648,0.29241,0.297038,36475.087727,5671.984346,3781.686567,5846098.186735,2417.870589,0.639363,0.919,2.625557,0.0,14891.0,4.522388,5.003254,2.236796,0.494605,0.654173,3.118808,0.0,15.0,1480.0,1221598.0,305.0,0.929878,0.053,0.045,33.766,0.288589,0.289427,35957.606438,3824.715394,3724.384146,5371394.977363,2317.627014,0.622285,1.467884,6.298467,0.0,18070.0,4.512195,5.901991,2.429401,0.538408,1.826859,13.036663,0.0,24.0,51408.0,62552881.0,663.0,0.655138,0.043,0.045,103.86,4.814167,4.818246,242994.537403,43231929.825295,61811.147233,169375690479.92395,411552.779701,6.658229,7.840052,63.221226,0.0,4211435.0,50.798419,109815.415309,331.38409,6.523512,7.832807,63.066727,0.0,3387.0,9
